id,bus_v,c_nf,f_khz,f_res_khz,phase_deg,i1_rms_a,i1_sine_peak_a,cap_ac_rms_v,cap_abs_sine_peak_v,ideal_equal_share_a,ocp_45a_overlap,cap_9p5a_proxy_overlap
kit_half_coupling_synthetic,390,330,44,32.316,79.135,18.423,26.054,201.934,480.578,6.141,NO,NO
cross_coil_cast_iron_synthetic,390,330,44,32.882,64.079,18.223,25.771,199.745,477.482,6.074,NO,NO
cross_coil_steel_synthetic,390,330,44,34.444,64.111,22.805,32.251,249.965,548.503,7.602,NO,NO
cross_coil_silargan_synthetic,390,330,44,37.484,59.075,36.361,51.422,398.554,758.641,12.120,YES,YES
kit_reference_l_minus_10pct,390,330,44,37.702,50.668,34.224,48.400,375.135,725.520,11.408,YES,YES
kit_reference_l_plus_10pct,390,330,44,34.103,65.949,22.006,31.121,241.210,536.123,7.335,NO,NO
kit_reference_vessel,390,330,47,35.767,66.443,21.581,30.520,221.449,508.177,7.194,NO,NO
kit_no_vessel,390,330,47,29.703,88.733,11.375,16.086,116.722,360.069,3.792,NO,NO
kit_half_coupling_synthetic,390,330,47,32.316,81.079,15.156,21.433,155.518,414.936,5.052,NO,NO
cross_coil_cast_iron_synthetic,390,330,47,32.882,68.521,15.264,21.587,156.635,416.516,5.088,NO,NO
cross_coil_steel_synthetic,390,330,47,34.444,69.192,18.554,26.239,190.390,464.252,6.185,NO,NO
cross_coil_silargan_synthetic,390,330,47,37.484,67.090,27.543,38.951,282.629,594.698,9.181,NO,NO
kit_reference_l_minus_10pct,390,330,47,37.702,60.235,26.806,37.910,275.069,584.006,8.935,NO,NO
kit_reference_l_plus_10pct,390,330,47,34.103,70.593,17.942,25.374,184.111,455.372,5.981,NO,NO
kit_reference_vessel,390,330,50,35.767,70.544,17.986,25.436,173.485,440.345,5.995,NO,NO
kit_no_vessel,390,330,50,29.703,88.894,9.925,14.036,95.731,330.384,3.308,NO,NO
kit_half_coupling_synthetic,390,330,50,32.316,82.390,12.943,18.304,124.843,371.555,4.314,NO,NO
cross_coil_cast_iron_synthetic,390,330,50,32.882,71.595,13.162,18.614,126.956,374.543,4.387,NO,NO
cross_coil_steel_synthetic,390,330,50,34.444,72.530,15.680,22.174,151.242,408.888,5.227,NO,NO
cross_coil_silargan_synthetic,390,330,50,37.484,71.732,22.179,31.366,213.932,497.545,7.393,NO,NO
kit_reference_l_minus_10pct,390,330,50,37.702,66.047,21.922,31.002,211.452,494.039,7.307,NO,NO
kit_reference_l_plus_10pct,390,330,50,34.103,73.658,15.193,21.486,146.546,402.247,5.064,NO,NO
kit_reference_vessel,330,270,44,39.542,44.461,32.610,46.117,436.871,782.830,10.870,YES,YES
kit_no_vessel,330,270,44,32.838,88.165,13.935,19.707,186.681,429.007,4.645,NO,NO
kit_half_coupling_synthetic,330,270,44,35.727,75.454,20.770,29.373,278.255,558.512,6.923,NO,NO
cross_coil_cast_iron_synthetic,330,270,44,36.353,55.938,19.757,27.940,264.679,539.313,6.586,NO,NO
cross_coil_steel_synthetic,330,270,44,38.079,53.181,26.485,37.456,354.819,666.790,8.828,NO,NO
cross_coil_silargan_synthetic,330,270,44,41.440,34.512,49.332,69.765,660.890,1099.639,16.444,YES,YES
kit_reference_l_minus_10pct,330,270,44,41.681,25.229,41.331,58.451,553.712,948.066,13.777,YES,YES
kit_reference_l_plus_10pct,330,270,44,37.702,56.160,25.443,35.982,340.861,647.050,8.481,NO,NO
kit_reference_vessel,330,270,47,39.542,57.869,24.300,34.366,304.770,596.010,8.100,NO,NO
kit_no_vessel,330,270,47,32.838,88.513,11.293,15.970,141.631,365.297,3.764,NO,NO
kit_half_coupling_synthetic,330,270,47,35.727,78.909,15.909,22.498,199.521,447.165,5.303,NO,NO
cross_coil_cast_iron_synthetic,330,270,47,36.353,63.434,15.776,22.310,197.856,444.811,5.259,NO,NO
cross_coil_steel_synthetic,330,270,47,38.079,62.886,20.142,28.485,252.615,522.251,6.714,NO,NO
cross_coil_silargan_synthetic,330,270,47,41.440,55.356,34.033,48.130,426.838,768.640,11.344,YES,YES
kit_reference_l_minus_10pct,330,270,47,41.681,46.322,31.553,44.623,395.735,724.654,10.518,NO,YES
kit_reference_l_plus_10pct,330,270,47,37.702,64.925,19.364,27.384,242.854,508.447,6.455,NO,NO
kit_reference_vessel,330,270,50,39.542,65.273,19.111,27.028,225.309,483.635,6.370,NO,NO
kit_no_vessel,330,270,50,32.838,88.742,9.555,13.513,112.652,324.313,3.185,NO,NO
kit_half_coupling_synthetic,330,270,50,35.727,80.969,12.982,18.359,153.043,381.435,4.327,NO,NO
cross_coil_cast_iron_synthetic,330,270,50,36.353,68.170,13.117,18.550,154.641,383.696,4.372,NO,NO
cross_coil_steel_synthetic,330,270,50,38.079,68.508,16.191,22.898,190.884,434.951,5.397,NO,NO
cross_coil_silargan_synthetic,330,270,50,41.440,65.213,25.100,35.496,295.904,583.472,8.367,NO,NO
kit_reference_l_minus_10pct,330,270,50,41.681,57.862,24.305,34.373,286.542,570.232,8.102,NO,NO
kit_reference_l_plus_10pct,330,270,50,37.702,70.025,15.608,22.073,184.004,425.222,5.203,NO,NO
kit_reference_vessel,330,300,44,37.513,54.334,26.640,37.674,321.199,619.244,8.880,NO,NO
kit_no_vessel,330,300,44,31.153,88.370,12.380,17.507,149.264,376.091,4.127,NO,NO
kit_half_coupling_synthetic,330,300,44,33.893,77.734,17.568,24.845,211.826,464.567,5.856,NO,NO
cross_coil_cast_iron_synthetic,330,300,44,34.487,60.908,17.151,24.255,206.792,457.449,5.717,NO,NO
cross_coil_steel_synthetic,330,300,44,36.125,60.033,22.075,31.219,266.164,541.412,7.358,NO,NO
cross_coil_silargan_synthetic,330,300,44,39.314,50.831,37.813,53.475,455.916,809.763,12.604,YES,YES
kit_reference_l_minus_10pct,330,300,44,39.542,41.452,34.245,48.430,412.899,748.927,11.415,YES,YES
kit_reference_l_plus_10pct,330,300,44,35.767,62.286,21.248,30.050,256.196,527.316,7.083,NO,NO
kit_reference_vessel,330,300,47,37.513,63.180,20.615,29.153,232.689,494.072,6.872,NO,NO
kit_no_vessel,330,300,47,31.153,88.643,10.310,14.581,116.376,329.581,3.437,NO,NO
kit_half_coupling_synthetic,330,300,47,33.893,80.217,14.052,19.873,158.616,389.317,4.684,NO,NO
cross_coil_cast_iron_synthetic,330,300,47,34.487,66.481,14.077,19.907,158.890,389.705,4.692,NO,NO
cross_coil_steel_synthetic,330,300,47,36.125,66.737,17.454,24.684,197.019,443.626,5.818,NO,NO
cross_coil_silargan_synthetic,330,300,47,39.314,62.882,27.289,38.593,308.030,600.621,9.096,NO,NO
kit_reference_l_minus_10pct,330,300,47,39.542,55.091,26.147,36.977,295.136,582.385,8.716,NO,NO
kit_reference_l_plus_10pct,330,300,47,35.767,68.378,16.836,23.809,190.033,433.747,5.612,NO,NO
kit_reference_vessel,330,300,50,37.513,68.465,16.771,23.718,177.949,416.657,5.590,NO,NO
kit_no_vessel,330,300,50,31.153,88.831,8.882,12.561,94.241,298.277,2.961,NO,NO
kit_half_coupling_synthetic,330,300,50,33.893,81.810,11.781,16.661,125.005,341.784,3.927,NO,NO
cross_coil_cast_iron_synthetic,330,300,50,34.487,70.191,11.954,16.905,126.834,344.370,3.985,NO,NO
cross_coil_steel_synthetic,330,300,50,36.125,70.916,14.449,20.435,153.314,381.818,4.816,NO,NO
cross_coil_silargan_synthetic,330,300,50,39.314,69.258,21.203,29.985,224.967,483.152,7.068,NO,NO
kit_reference_l_minus_10pct,330,300,50,39.542,62.902,20.812,29.433,220.823,477.291,6.937,NO,NO
kit_reference_l_plus_10pct,330,300,50,35.767,72.196,13.970,19.757,148.229,374.628,4.657,NO,NO
kit_reference_vessel,330,330,44,35.767,59.978,22.860,32.329,250.569,519.358,7.620,NO,NO
kit_no_vessel,330,330,44,29.703,88.506,11.344,16.043,124.341,340.845,3.781,NO,NO
kit_half_coupling_synthetic,330,330,44,32.316,79.135,15.589,22.046,170.867,406.643,5.196,NO,NO
cross_coil_cast_iron_synthetic,330,330,44,32.882,64.079,15.420,21.807,169.015,404.023,5.140,NO,NO
cross_coil_steel_synthetic,330,330,44,34.444,64.111,19.296,27.289,211.509,464.118,6.432,NO,NO
cross_coil_silargan_synthetic,330,330,44,37.484,59.075,30.767,43.511,337.238,641.927,10.256,NO,YES
kit_reference_l_minus_10pct,330,330,44,37.702,50.668,28.959,40.954,317.422,613.902,9.653,NO,YES
kit_reference_l_plus_10pct,330,330,44,34.103,65.949,18.621,26.333,204.101,453.642,6.207,NO,NO
kit_reference_vessel,330,330,47,35.767,66.443,18.261,25.824,187.380,429.996,6.087,NO,NO
kit_no_vessel,330,330,47,29.703,88.733,9.625,13.612,98.765,304.674,3.208,NO,NO
kit_half_coupling_synthetic,330,330,47,32.316,81.079,12.824,18.136,131.592,351.100,4.275,NO,NO
cross_coil_cast_iron_synthetic,330,330,47,32.882,68.521,12.916,18.266,132.538,352.436,4.305,NO,NO
cross_coil_steel_synthetic,330,330,47,34.444,69.192,15.699,22.202,161.099,392.828,5.233,NO,NO
cross_coil_silargan_synthetic,330,330,47,37.484,67.090,23.305,32.959,239.148,503.206,7.768,NO,NO
kit_reference_l_minus_10pct,330,330,47,37.702,60.235,22.682,32.077,232.751,494.159,7.561,NO,NO
kit_reference_l_plus_10pct,330,330,47,34.103,70.593,15.182,21.470,155.786,385.314,5.061,NO,NO
kit_reference_vessel,330,330,50,35.767,70.544,15.219,21.522,146.795,372.600,5.073,NO,NO
kit_no_vessel,330,330,50,29.703,88.894,8.398,11.876,81.003,279.556,2.799,NO,NO
kit_half_coupling_synthetic,330,330,50,32.316,82.390,10.952,15.488,105.636,314.393,3.651,NO,NO
cross_coil_cast_iron_synthetic,330,330,50,32.882,71.595,11.137,15.750,107.424,316.921,3.712,NO,NO
cross_coil_steel_synthetic,330,330,50,34.444,72.530,13.267,18.763,127.974,345.982,4.422,NO,NO
cross_coil_silargan_synthetic,330,330,50,37.484,71.732,18.767,26.540,181.019,421.000,6.256,NO,NO
kit_reference_l_minus_10pct,330,330,50,37.702,66.047,18.549,26.233,178.921,418.033,6.183,NO,NO
kit_reference_l_plus_10pct,330,330,50,34.103,73.658,12.855,18.180,124.000,340.363,4.285,NO,NO
