id,status,reason,run_ms,e_start_j,e_source_j,e_end_j,e_coil_j,e_pan_j,e_vd_bleed_j,e_vb_bleed_j,e_residual_j,unallocated_device_cap_switch_loss,vd_end_v,vb_end_v,vb_min_v,vd_max_v,vb_max_v,i_peak_a,vc_peak_v,local_c_start_j,diode_path_ms,gate_off_ms,last_current_above_ms
restart_cap_zero,CONDITIONAL,ideal fixed-topology waveform only,2.000000,172.096587000,3.600000000,174.152779089,0.308504555,1.234018218,0.000611797,0.000679774,0.000006433,UNMODELED,392.264733,392.264733,389.848392,392.294806,392.294806,67.339840,1004.211499,0.035743500,0.886700,na,na
restart_cap_half_bus,CONDITIONAL,ideal fixed-topology waveform only,2.000000,172.102290750,3.600000000,174.165606026,0.307079898,1.228319591,0.000611843,0.000679825,0.000006433,UNMODELED,392.279178,392.279178,389.872768,392.309255,392.309255,67.361651,963.951761,0.035743500,0.884550,na,na
restart_cap_reverse_half_bus,CONDITIONAL,ideal fixed-topology waveform only,2.000000,172.102290750,3.600000000,174.138777861,0.312445571,1.249782286,0.000611746,0.000679718,0.000006432,UNMODELED,392.248964,392.248964,389.807110,392.279034,392.279034,72.324633,1078.809028,0.035743500,0.888350,na,na
restart_cap_full_bus,CONDITIONAL,ideal fixed-topology waveform only,2.000000,172.119402000,3.600000000,174.183334289,0.306956486,1.227825945,0.000611906,0.000679896,0.000006522,UNMODELED,392.299143,392.299143,389.889052,392.329225,392.329225,67.313316,1004.467084,0.035743500,0.881950,na,na
restart_f2_open_vd_zero_vb_charged,CONDITIONAL,ideal fixed-topology waveform only,2.000000,170.387743500,0.000000000,168.860025808,0.305410266,1.221641064,0.000000000,0.000672694,0.000006332,UNMODELED,0.000000,388.189502,388.186770,0.000000,390.000000,67.333435,1004.116042,0.035743500,0.886850,na,na
