time v(acsrc) v(acn) i(Vac) v(load) v(vb) i(Lboost) v(vd) v(sw) v(gate) v(q) v(en) v(fault) v(vcomp) v(icomp)
1.93582204142721374e-6 6.21202761971183307e-2 -6.17287951654331493e-2 -6.41009324350849674e-6 1.65785801590235367e-21 8.72556850640708848e-12 1.67958721810806456e-7 3.51101406856848898e-10 2.94376793240168106e-4 3.70681695343280949e-7 0.00000000000000000e0 1.40779337255100529e-19 5.00000000025648728e0 -4.61096608957900301e-288 2.99773608419707571e0
2.00025899693249863e-6 6.41916442205062998e-2 -6.37799422501905688e-2 -6.41106033894001115e-6 1.78559613978417017e-21 9.39787442170228086e-12 1.79156498485179863e-7 3.68004867228233575e-10 3.14824923280781967e-4 3.90605110661563938e-7 0.00000000000000000e0 1.40779337255100529e-19 4.99999999974352871e0 -4.61068265528261060e-288 2.99821878083080140e0
2.07472510855738943e-6 6.65838820621510313e-2 -6.61518597250093515e-2 -6.41221203545594420e-6 1.94109245711775821e-21 1.02162760920345564e-11 1.91035816517536587e-7 3.89992701685125310e-10 3.40026933924565775e-4 4.16397942215235197e-7 0.00000000000000000e0 1.40779337255100529e-19 5.00000000025645797e0 -4.61035512815915583e-288 2.99865050672413469e0
2.15896853582136943e-6 6.92891788947940929e-2 -6.88362462491747401e-2 -6.41346466184744557e-6 2.12801377215984171e-21 1.12000724871798126e-11 2.01151748760892753e-7 4.16012496510018252e-10 3.70231499843818462e-4 4.45346788428481247e-7 0.00000000000000000e0 1.40779337255100529e-19 4.99999999974355536e0 -4.60998462516502887e-288 2.99901474264128964e0
2.25257516194120548e-6 7.22958410995213491e-2 -7.18183012356229805e-2 -6.41475486395925998e-6 2.34922523166445861e-21 1.23643433268990085e-11 2.07279121905976569e-7 4.43191239265485835e-10 4.05181741423021294e-4 4.72357290561530109e-7 0.00000000000000000e0 1.40779337255100529e-19 5.00000000025643487e0 -4.60957297772329966e-288 2.99930585896932911e0
2.34420899971034901e-6 7.52418655104940687e-2 -7.47347797907523398e-2 -6.41591532879459692e-6 2.57801187472922022e-21 1.35684835537844337e-11 2.09277320926072025e-7 4.65598526300860855e-10 4.40074174157698342e-4 4.90808942738565362e-7 0.00000000000000000e0 1.40779337255100529e-19 4.99999999974357667e0 -4.60917004150522720e-288 2.99950726301955539e0
2.41423135353876740e-6 7.74956858000623583e-2 -7.69608138430504796e-2 -6.41680030827318504e-6 2.75959760538170206e-21 1.45241979258211879e-11 2.09945680749133061e-7 4.79469722426998782e-10 4.66906885003986007e-4 4.99892221622538321e-7 0.00000000000000000e0 1.40779337255100529e-19 5.00000000025640823e0 -4.60886215998260473e-288 2.99962038216337934e0
2.48907510587187497e-6 7.99071297832836258e-2 -7.93376850503490771e-2 -6.41781981408628965e-6 2.95886654331820719e-21 1.55729818098967992e-11 2.12040101988014309e-7 4.92069566147544731e-10 4.95775555846043295e-4 5.07160750958820032e-7 0.00000000000000000e0 1.40779337255100529e-19 4.99999999974360598e0 -4.60853310199022926e-288 2.99971280246768490e0
2.57804925105173568e-6 8.27759439327699631e-2 -8.21612129505249755e-2 -6.41924367289492537e-6 3.20197516740258045e-21 1.68525008842681892e-11 2.18472627530230552e-7 5.06500638102599996e-10 5.30788158001461877e-4 5.16977387860163452e-7 0.00000000000000000e0 1.40779337255100529e-19 5.00000000025638336e0 -4.60814194890764215e-288 2.99979405590276205e0
2.67614159129802461e-6 8.59391198568606601e-2 -8.52737380499917624e-2 -6.42112951781959040e-6 3.47843115642544842e-21 1.83075324057176338e-11 2.31170104870908190e-7 5.25193920474417768e-10 5.71105313975163930e-4 5.34406005753400647e-7 0.00000000000000000e0 1.40779337255100529e-19 4.99999999974362730e0 -4.60771074841154178e-288 2.99985737444518508e0
2.75534340773636526e-6 8.84918625819332977e-2 -8.77881280135952707e-2 -6.42288516566891232e-6 3.70949591517154119e-21 1.95236627151386609e-11 2.44547891779436306e-7 5.44202724689892866e-10 6.05547239323528017e-4 5.55394174008456723e-7 0.00000000000000000e0 1.40779337255100529e-19 5.00000000025636027e0 -4.60736261753276857e-288 2.99989386078198805e0
2.82843479046415721e-6 9.08459764552038140e-2 -9.01102165344108141e-2 -6.42459502459002962e-6 3.93049018552871200e-21 2.06867904540816084e-11 2.57373565735331903e-7 5.65090005819265922e-10 6.39083484035920754e-4 5.79541869571211243e-7 0.00000000000000000e0 1.40779337255100529e-19 4.99999999974365394e0 -4.60704136836347089e-288 2.99991916814211290e0
2.91457544682823230e-6 9.36186613230298170e-2 -9.28485935123629647e-2 -6.42662196370658023e-6 4.20203789646033054e-21 2.21159889329406212e-11 2.70383438167022450e-7 5.92348431067251652e-10 6.80641663147656963e-4 6.10446061764051586e-7 0.00000000000000000e0 1.40779337255100529e-19 5.00000000025633362e0 -4.60666279417075259e-288 2.99994140886142358e0
3.01015143756646421e-6 9.66945489388449514e-2 -9.58874163981548594e-2 -6.42874843564955611e-6 4.51808644406196187e-21 2.37794023416863081e-11 2.79956996628611508e-7 6.22773513987747088e-10 7.28724111529766364e-4 6.42320409065913667e-7 0.00000000000000000e0 1.40779337255100529e-19 4.99999999974367793e0 -4.60624278964624634e-288 2.99995903037702405e0
3.12919860630072239e-6 1.00528679898218135e-1 -9.96696222794208747e-2 -6.43120618354364737e-6 4.93186921542130970e-21 2.59572064018861299e-11 2.85061196205793415e-7 6.55943475659360641e-10 7.90209187313082738e-4 6.71737933076283388e-7 0.00000000000000000e0 1.40779337255100529e-19 5.00000000025631408e0 -4.60571969564172467e-288 2.99997383149552066e0
3.20097418883364845e-6 1.02843145493265606e-1 -1.01947176773861378e-1 -6.43264380323360641e-6 5.19066700757022280e-21 2.73193000450339474e-11 2.86112589791334529e-7 6.72223641293632582e-10 8.27681958933866699e-4 6.83165650116251558e-7 0.00000000000000000e0 1.40779337255100529e-19 4.99999999974370013e0 -4.60540434200701031e-288 2.99997997185060106e0
3.27773109014101732e-6 1.05320934468230112e-1 -1.04380099888679037e-1 -6.43427574542609904e-6 5.47354088024553597e-21 2.88081099015026799e-11 2.88087191235694391e-7 6.86955787028667912e-10 8.67966839796286620e-4 6.92021593210297615e-7 0.00000000000000000e0 1.40779337255100529e-19 5.00000000025628655e0 -4.60506712632767866e-288 2.99998495695472700e0
3.38181191267543590e-6 1.08683813796249126e-1 -1.07676047626898572e-1 -6.43682903300746290e-6 5.86592262307705024e-21 3.08732769694293471e-11 2.95379688436437665e-7 7.05696545713947825e-10 9.23473804978384581e-4 7.04530353692283502e-7 0.00000000000000000e0 1.40779337255100529e-19 4.99999999974372411e0 -4.60460990807903713e-288 2.99998981874371617e0
3.48223349106019940e-6 1.11929325225870221e-1 -1.10855253787405503e-1 -6.43977882325286188e-6 6.25454218326395432e-21 3.29186430760648276e-11 3.08617425854010219e-7 7.26379152882338416e-10 9.78914841904464329e-4 7.23194387474801445e-7 0.00000000000000000e0 1.40779337255100529e-19 5.00000000025626701e0 -4.60416880763823647e-288 2.99999301169617283e0
3.58045875184709800e-6 1.15102184220532144e-1 -1.13966597251109192e-1 -6.44307000652322159e-6 6.64639598906959621e-21 3.49810315280653230e-11 3.25756016284428397e-7 7.52031077633207439e-10 1.03587230685726547e-3 7.50899307936748991e-7 0.00000000000000000e0 1.40779337255100529e-19 4.99999999974374365e0 -4.60373739539938704e-288 2.99999516274849887e0
3.66450129934654868e-6 1.17814752148091922e-1 -1.16630857594732684e-1 -6.44606835242811371e-6 6.99311465602764205e-21 3.68058666176649123e-11 3.40792243740246875e-7 7.78407443129255560e-10 1.08707841678057186e-3 7.80740486338178226e-7 0.00000000000000000e0 1.40779337255100529e-19 5.00000000025624391e0 -4.60336830674379249e-288 2.99999646565625966e0
3.76264640423273794e-6 1.20980757296703809e-1 -1.19743926144664545e-1 -6.44953727141350797e-6 7.41351110169819547e-21 3.90184794900355974e-11 3.54958200516322941e-7 8.11894241610466310e-10 1.14949687900520832e-3 8.17328486485647916e-7 0.00000000000000000e0 1.40779337255100529e-19 4.99999999974376674e0 -4.60293732153424948e-288 2.99999755280253533e0
3.86927415340133533e-6 1.24420884895442702e-1 -1.23125569834780929e-1 -6.45314519720496804e-6 7.88953772143899107e-21 4.15238827523052778e-11 3.64083319803405600e-7 8.47102880548604286e-10 1.21957878424909689e-3 8.51947437374969385e-7 0.00000000000000000e0 1.40779337255100529e-19 5.00000000025622438e0 -4.60246913219853932e-288 2.99999835987942909e0
4.00816397240629817e-6 1.28907507361230356e-1 -1.27524762955008530e-1 -6.45769438811782948e-6 8.53615315758011845e-21 4.49271218905367787e-11 3.69274555628231185e-7 8.85403465274010807e-10 1.31267915472216431e-3 8.82694363014209635e-7 0.00000000000000000e0 1.40779337255100529e-19 4.99999999974378362e0 -4.60185935554230348e-288 2.99999903096343346e0
4.10640664294939554e-6 1.32086259876778134e-1 -1.30631324947146243e-1 -6.46111339475119451e-6 9.00857735865682745e-21 4.74135650545708279e-11 3.72890556212648579e-7 9.07127456491759731e-10 1.37932187803381035e-3 8.96689438153464097e-7 0.00000000000000000e0 1.40779337255100529e-19 5.00000000025620661e0 -4.60142808341979163e-288 2.99999932928488544e0
4.21045211061974255e-6 1.35456294545193950e-1 -1.33917852495245210e-1 -6.46524794145619808e-6 9.52015859136065398e-21 5.01060978587867615e-11 3.81696156070591741e-7 9.28807473587693993e-10 1.45108197256364302e-3 9.11956039951372477e-7 0.00000000000000000e0 1.40779337255100529e-19 4.99999999974380405e0 -4.60097138189554795e-288 2.99999954599277663e0
4.32260316437596485e-6 1.39089649419629618e-1 -1.37459633985419022e-1 -6.47049942559263513e-6 1.00852841359701429e-20 5.30804428309807731e-11 3.98431970480807242e-7 9.55938100595709342e-10 1.53105214308234673e-3 9.36989795653343537e-7 0.00000000000000000e0 1.40779337255100529e-19 5.00000000025618796e0 -4.60047915216937813e-288 2.99999970214490785e0
4.42567606898632396e-6 1.42426948818655752e-1 -1.40716673849801688e-1 -6.47592921110273778e-6 1.06200350215230066e-20 5.58949211765305961e-11 4.18058588657002415e-7 9.87306533469892002e-10 1.60797676523442932e-3 9.70718464905956092e-7 0.00000000000000000e0 1.40779337255100529e-19 4.99999999974382181e0 -4.60002681280876982e-288 2.99999979762642832e0
4.52016506058301133e-6 1.45483912280506139e-1 -1.43704872605048245e-1 -6.48117834123329573e-6 1.11262184501007779e-20 5.85590444853408379e-11 4.35594181594157002e-7 1.02115387797050684e-9 1.68170574608810137e-3 1.00810534398775237e-6 0.00000000000000000e0 1.40779337255100529e-19 5.00000000025616576e0 -4.59961218337701944e-288 2.99999985790194090e0
4.64616657395479021e-6 1.49559183160984405e-1 -1.47690853315779608e-1 -6.48813891446220481e-6 1.18278934985146673e-20 6.22520710566419339e-11 4.52642836907006876e-7 1.06851415452179496e-9 1.78400617384447146e-3 1.05723141198944580e-6 0.00000000000000000e0 1.40779337255100529e-19 4.99999999974384224e0 -4.59905933127080396e-288 2.99999991166929769e0
4.76322813616864424e-6 1.53347962096593043e-1 -1.51391370371410011e-1 -6.49451796264077785e-6 1.25064760147778128e-20 6.58235579850212817e-11 4.61114827457559169e-7 1.10902921515772511e-9 1.88177653837563481e-3 1.09368239797614723e-6 0.00000000000000000e0 1.40779337255100529e-19 5.00000000025614888e0 -4.59854576423742050e-288 2.99999994314315099e0
