wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid	duplicate_count	backwards_count
10.063975	1.63025798468719486e-2	2.508089	1.619894708291e-3	228720	false	0	0
20.134825	2.46640442694678191e-2	3.794468	8.302640010555e-4	458615	false	0	0
30.181153	3.27884648841678186e-2	5.044379	8.086955635926e-4	687310	false	0	0
40.217376	4.07271678113411417e-2	6.265718	7.910050483405e-4	906865	false	0	0
50.306641	4.91057504497740896e-2	7.554731	8.304452390264e-4	1124761	false	0	0
60.355704	5.73477812976833159e-2	8.822736	8.201791117805e-4	1310564	false	0	0
70.377820	5.98962954032151995e-2	9.214815	2.542890186024e-4	1456977	false	0	0
80.427675	6.59920387192888536e-2	10.152621	6.065503395278e-4	1613404	false	0	0
90.475152	6.87246481654885943e-2	10.573023	2.719697343101e-4	1761510	false	0	0
100.528240	7.43138302683998136e-2	11.432897	5.559666828014e-4	1918651	false	0	0
110.597618	7.71453136571104703e-2	11.868510	2.811974425581e-4	2069411	false	0	0
120.656786	8.21603660067072028e-2	12.640056	4.985553721637e-4	2227583	false	0	0
130.705614	8.50457403154353392e-2	13.083960	2.871354096836e-4	2379354	false	0	0
140.757114	8.90335100936995721e-2	13.697463	3.967338102486e-4	2537031	false	0	0
150.828180	9.19624829427456575e-2	14.148074	2.908304642992e-4	2689824	false	0	0
160.885188	9.50006733616609450e-2	14.615488	3.020968394082e-4	2844721	false	0	0
170.959433	9.81175387749850109e-2	15.095006	3.093894753056e-4	2999319	false	0	0
181.028425	1.01086861501289149e-1	15.551825	2.948977301937e-4	3151933	false	0	0
191.084491	1.06119597454332942e-1	16.326092	5.004676462734e-4	3308549	false	0	0
201.152698	1.08476845016648712e-1	16.688745	2.341278569340e-4	3455544	false	0	0
211.231447	1.11348920415589067e-1	17.130603	2.849634644941e-4	3607895	false	0	0
221.288416	1.15485854669215751e-1	17.767055	4.113500276851e-4	3765024	false	0	0
231.339778	1.18390243611347576e-1	18.213884	2.889547443683e-4	3916263	false	0	0
241.419364	1.21729227194224604e-1	18.727573	3.312619890440e-4	4072270	false	0	0
251.492936	1.24733750183458975e-1	19.189808	2.982579505784e-4	4226350	false	0	0
