 time                     v(acsrc)                 v(acn)                   i(Vac)                   v(load)                  v(vb)                    i(Lboost)                v(vd)                    v(sw)                    v(gate)                  v(q)                     v(en)                    v(fault)                 v(vcomp)                 v(icomp)                
 2.00000000000000007e-10  1.17466059216422967e-05 -1.04889694025378689e-06 -1.04367887190309802e-06  1.93251650167266058e-36  1.01711394844202048e-26  6.05081094591067758e-19  1.18021770826339156e-28  2.65984759475180223e-19  2.45588130428314654e-21  0.00000000000000000e+00  1.40779337255100529e-19  0.00000000000000000e+00 -4.61948830681359946e-288  2.22057735011102833e-03 
 2.00159598510353944e-10  1.17559789620591800e-05 -1.04973461581684319e-06 -1.04451159033350548e-06  1.93405986704051707e-36  1.01792624600420440e-26  6.05564693387342198e-19  1.18188259583016629e-28  2.66197179847869148e-19  2.45784261669790653e-21  0.00000000000000000e+00  1.40779337255100529e-19  0.00000000000000000e+00 -4.61948830611026502e-288  2.22234935324960425e-03 
 2.00478795531061790e-10  1.17747237151905551e-05 -1.05141129464535048e-06 -1.04617676817565414e-06  1.93714906292725670e-36  1.01955213857648161e-26  6.06533333320828825e-19  1.18842431873424585e-28  2.66622345758164084e-19  2.46176824363326626e-21  0.00000000000000000e+00  1.40779337255100529e-19  0.00000000000000000e+00 -4.61948830470359541e-288  2.22589335743187582e-03 
 2.01117189572477509e-10  1.18122052595184984e-05 -1.05477261423716713e-06 -1.04950557021767514e-06  1.94334226918182155e-36  1.02281172081634567e-26  6.08480662051146870e-19  1.23733234252414792e-28  2.67474563378014531e-19  2.46963690728132708e-21  0.00000000000000000e+00  1.40779337255100529e-19  0.00000000000000000e+00 -4.61948830189025693e-288  2.23298135322714999e-03 
 2.02393977655308922e-10  1.18871365222535426e-05 -1.06152707934164099e-06 -1.05615696439120757e-06  1.95578817539652634e-36  1.02936219777269804e-26  6.12416505981406896e-19  1.56678977265445348e-28  2.69186232336984288e-19  2.48544101153385684e-21  0.00000000000000000e+00  1.40779337255100529e-19  0.00000000000000000e+00 -4.61948829626357995e-288  2.24715729454076814e-03 
 2.04947553820971772e-10  1.20368719434924669e-05 -1.07516311378176124e-06 -1.06943495200681102e-06  1.98091984909107726e-36  1.04258939445655367e-26  6.20439384271056710e-19  3.32842515080041679e-28  2.72638284876362613e-19  2.51731428797442087e-21  0.00000000000000000e+00  1.40779337255100529e-19  0.00000000000000000e+00 -4.61948828501022307e-288  2.27550897606147674e-03 
 2.10054706152297473e-10  1.23358359493040141e-05 -1.10294201932829993e-06 -1.09589203199389614e-06  2.03215773341695124e-36  1.06955670200161115e-26  6.37111375313705674e-19  1.12949919706641624e-27  2.79661458981668133e-19  2.58216002143690226e-21  0.00000000000000000e+00  1.40779337255100529e-19  0.00000000000000000e+00 -4.61948826250351151e-288  2.33221153468630114e-03 
 2.20269010814948876e-10  1.29317491623713583e-05 -1.16051462897712732e-06 -1.14841306015586955e-06  2.13865238648586245e-36  1.12560651941695083e-26  6.73158633891889308e-19  4.53649173474625843e-27  2.94219792829087340e-19  2.71657819437174407e-21  0.00000000000000000e+00  1.40779337255100529e-19  0.00000000000000000e+00 -4.61948821749009131e-288  2.44561343434565202e-03 
 2.40697620140251681e-10  1.41156157000335846e-05 -1.28361973674724431e-06 -1.25190196552398312e-06  2.36868319683931845e-36  1.24667536699440444e-26  7.57414940007398179e-19  1.96929254765691820e-26  3.25670190487569593e-19  3.00696203387491156e-21  0.00000000000000000e+00  1.40779337255100529e-19  0.00000000000000000e+00 -4.61948812746325163e-288  2.67240436391175595e-03 
 2.81554838790857290e-10  1.64522862003635566e-05 -1.56089252728194874e-06 -1.45281877714621114e-06  2.90464020422828725e-36  1.52875800251587840e-26  9.87205177740380728e-19  9.53203826948448742e-26  4.00677670589314948e-19  3.69952982373636685e-21  0.00000000000000000e+00  1.40779337255100529e-19  0.00000000000000000e+00 -4.61948794740957810e-288  3.12593474890192477e-03 
 3.63269276092068458e-10  2.10073249589016324e-05 -2.23374035047321903e-06 -1.83156898870019229e-06  4.34192449363814052e-36  2.28522341813847713e-26  1.82297991349695976e-18  2.06680466824792178e-25  6.48138185822214461e-19  5.98483373196977770e-21  0.00000000000000000e+00  1.40779337255100529e-19  0.00000000000000000e+00 -4.61948758730225220e-288  4.03278966125432663e-03 
 3.71496063288428902e-10  2.14573824565204074e-05 -2.31001224843064285e-06 -1.86803585967952234e-06  4.51581136031783765e-36  2.37674282167149584e-26  1.94001013438335944e-18  2.15477355118067428e-25  6.81774602633528028e-19  6.29549139587796665e-21  0.00000000000000000e+00  1.40779337255100529e-19  0.00000000000000000e+00 -4.61948755104762844e-288  4.12407413976447878e-03 
 3.75046294179305828e-10  2.16511405415401467e-05 -2.34338911103393243e-06 -1.88368280069835551e-06  4.59271586665814258e-36  2.41721887764776768e-26  1.99297288115782325e-18  2.20560773158083175e-25  6.96897318260314896e-19  6.43516191630041938e-21  0.00000000000000000e+00  1.40779337255100529e-19  0.00000000000000000e+00 -4.61948753540211789e-288  4.16346666321243050e-03 
 3.76028678845228109e-10  2.17047063661098004e-05 -2.35267381548573859e-06 -1.88800290784466128e-06  4.61419715571472849e-36  2.42852481925864550e-26  2.00789837901570467e-18  2.21144948056104700e-25  7.01191240409170487e-19  6.47482032817069185e-21  0.00000000000000000e+00  1.40779337255100529e-19  0.00000000000000000e+00 -4.61948753107284723e-288  4.17436687994523440e-03 
