 5.01576214184092706e-01  9.39961620095775459e+01 -1.01550058912140173e+00 -6.84362903137802903e+00  3.76854069387477296e+02  3.76883821024534143e+02  6.84363122550797787e+00  3.76884063723616521e+02  1.70698798400279100e-01  1.49820385680535608e+01  5.00000000000000000e+00  4.99999999999999467e+00  0.00000000000000000e+00  2.87859008463393184e+00  2.58791700307498740e+00  0.00000000000000000e+00  2.48059142934408783e+00  7.44177428803226348e+00  6.73861451278512114e+00  1.49999999999999716e+01  1.49985032140331498e+01  2.20488172164579055e-09  1.39162601274688158e-01 -6.73251574694444938e-02  4.99999999499999936e-09  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  1.04086116764488826e-01  4.99998696490420724e-01  1.37436503700600920e+00 
 5.01576214184325964e-01  9.39961620189266398e+01 -1.01550059213761301e+00 -6.84362914889542839e+00  3.76854069387272261e+02  3.76883821024329109e+02  6.84363134301613485e+00  3.76884063723411600e+02  1.70698801352529350e-01  1.49820385680535555e+01  5.00000000000000000e+00  4.99999999999999467e+00  0.00000000000000000e+00  2.87859008463493948e+00  2.58791700593816731e+00  0.00000000000000000e+00  2.47942514005671910e+00  7.43827542017015730e+00  6.73544624661077318e+00  1.49999999999999716e+01  1.49985032140331462e+01  2.20511497950326429e-09  1.10095619165411315e-01 -6.73251586449295780e-02  4.99999999499999936e-09  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  1.04086116764490033e-01  4.99998696490736028e-01  1.37436503700717361e+00 
 5.01576214184557667e-01  9.39961620282111170e+01 -1.01550059513448332e+00 -6.84362926563860441e+00  3.76854069387068591e+02  3.76883821024125439e+02  6.84363145976941833e+00  3.76884063723207987e+02  1.70698804285809747e-01  1.49820385680535555e+01  5.00000000000000000e+00  4.99999999999999467e+00  0.00000000000000000e+00  2.87859008463594090e+00  2.58791700878295483e+00  0.00000000000000000e+00  2.47826662233052275e+00  7.43479986699156825e+00  6.73229909215771993e+00  1.49999999999999716e+01  1.49985032140331445e+01  2.20534668304850356e-09  8.72322627160005276e-02 -6.73251598128633277e-02  4.99999999499999936e-09  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  1.04086116764491199e-01  4.99998696491049555e-01  1.37436503700833090e+00 
 5.01576214184790703e-01  9.39961620375547682e+01 -1.01550059814813665e+00 -6.84362938304596735e+00  3.76854069386863841e+02  3.76883821023920632e+02  6.84363157716642423e+00  3.76884063723003180e+02  1.70698807235261207e-01  1.49820385680535519e+01  5.00000000000000000e+00  4.99999999999999467e+00  0.00000000000000000e+00  2.87859008463694810e+00  2.58791701164342758e+00  0.00000000000000000e+00  2.47710144326617865e+00  7.43130432979853595e+00  6.72913384194355668e+00  1.49999999999999716e+01  1.49985032140331480e+01  2.20557971886137238e-09  6.90274403125370473e-02 -6.73251609872365236e-02  4.99999999499999936e-09  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  1.04086116764492378e-01  4.99998696491364747e-01  1.37436503700949464e+00 
 5.01576214185022629e-01  9.39961620468484682e+01 -1.01550060114780649e+00 -6.84362949991295544e+00  3.76854069386660001e+02  3.76883821023716791e+02  6.84363169401337412e+00  3.76884063722799453e+02  1.70698810170900495e-01  1.49820385680535448e+01  5.00000000000000000e+00  4.99999999999999467e+00  0.00000000000000000e+00  2.87859008463795041e+00  2.58791701449049771e+00  0.00000000000000000e+00  2.47594181531695767e+00  7.42782544595087302e+00  6.72598367153031873e+00  1.49999999999999716e+01  1.49985032140331498e+01  2.20581164445121658e-09  5.46823320434250276e-02 -6.73251621561073016e-02  4.99999999499999936e-09  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  1.04086116764492947e-01  4.99998696491678496e-01  1.37436503701065305e+00 
 5.01576214185255442e-01  9.39961620561774964e+01 -1.01550060416008137e+00 -6.84362961721544671e+00  3.76854069386455365e+02  3.76883821023512155e+02  6.84363181132987197e+00  3.76884063722594760e+02  1.70698813118338677e-01  1.49820385680535377e+01  5.00000000000000000e+00  4.99999999999999467e+00  0.00000000000000000e+00  2.87859008463895627e+00  2.58791701734900892e+00  0.00000000000000000e+00  2.47477774647563820e+00  7.42433323942691459e+00  6.72282143727634018e+00  1.49999999999999716e+01  1.49985032140331427e+01  2.20604445821948048e-09  4.32774843303480386e-02 -6.73251633296751556e-02  4.99999999499999936e-09  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  1.04086116764493503e-01  4.99998696491993411e-01  1.37436503701181523e+00 
 5.01576214185487479e-01  9.39961620654784156e+01 -1.01550060716050439e+00 -6.84362973414572817e+00  3.76854069386251410e+02  3.76883821023308201e+02  6.84363192824529776e+00  3.76884063722390692e+02  1.70698816055692121e-01  1.49820385680535342e+01  5.00000000000000000e+00  4.99999999999999467e+00  0.00000000000000000e+00  2.87859008463995858e+00  2.58791702019774839e+00  0.00000000000000000e+00  2.47361756341490491e+00  7.42085269024471472e+00  6.71966975888300944e+00  1.49999999999999716e+01  1.49985032140331391e+01  2.20627649483162713e-09  3.42789442512707876e-02 -6.73251644992308856e-02  4.99999999499999936e-09  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  1.04086116764494849e-01  4.99998696492306993e-01  1.37436503701297363e+00 
 5.01576214185720182e-01  9.39961620748063496e+01 -1.01550061016989446e+00 -6.84362985137678148e+00  3.76854069386047001e+02  3.76883821023103735e+02  6.84363204550309412e+00  3.76884063722186227e+02  1.70698819001642549e-01  1.49820385680535306e+01  5.00000000000000000e+00  4.99999999999999467e+00  0.00000000000000000e+00  2.87859008464096444e+00  2.58791702305482918e+00  0.00000000000000000e+00  2.47245404968509774e+00  7.41736214905529323e+00  6.71650903260912457e+00  1.49999999999999716e+01  1.49985032140331374e+01  2.20650919757758857e-09  2.71327436772124640e-02 -6.73251656722115149e-02  4.99999999499999936e-09  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  1.04086116764496001e-01  4.99998696492621908e-01  1.37436503701413582e+00 
 5.01576214185952329e-01  9.39961620841049665e+01 -1.01550061317261964e+00 -6.84362996834232984e+00  3.76854069385843161e+02  3.76883821022899895e+02  6.84363216246844974e+00  3.76884063721982443e+02  1.70698821940259371e-01  1.49820385680535271e+01  5.00000000000000000e+00  4.99999999999999467e+00  0.00000000000000000e+00  2.87859008464196808e+00  2.58791702590478412e+00  0.00000000000000000e+00  2.47129331151285214e+00  7.41387993453855643e+00  6.71335584623570103e+00  1.49999999999999716e+01  1.49985032140331320e+01  2.20674134521203769e-09  2.14889659044030686e-02 -6.73251668422667204e-02  4.99999999499999936e-09  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  1.04086116764497458e-01  4.99998696492936046e-01  1.37436503701529578e+00 
 5.01576214186184921e-01  9.39961620934253830e+01 -1.01550061618152654e+00 -6.84363008552818641e+00  3.76854069385638695e+02  3.76883821022695429e+02  6.84363227968346344e+00  3.76884063721778034e+02  1.70698824885158779e-01  1.49820385680535253e+01  5.00000000000000000e+00  4.99999999999999467e+00  0.00000000000000000e+00  2.87859008464297395e+00  2.58791702876082308e+00  0.00000000000000000e+00  2.47013035289455729e+00  7.41039105868367187e+00  6.71019662794190808e+00  1.49999999999999716e+01  1.49985032140331285e+01  2.20697393693569666e-09  1.70105820771446897e-02 -6.73251680148193865e-02  4.99999999499999936e-09  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  1.04086116764497846e-01  4.99998696493250849e-01  1.37436503701645840e+00 
