previous_time_s	5.09904583149746404e-1
current_time_s	5.09904583149746404e-1
previous_index	23174521
current_index	23174522
missing_mask	0
xu.raw	5.00000000000000000e0
xu.pwm_hold	8.09856071093406626e-1
pwm	2.42956821328021988e0
pwm_input	2.20000271281279769e0
xdriver.driver_req	1.49999999999999716e1
xdriver.drv_delay	-1.72011908073361685e-7
xu.phase	1.94425332722403255e-6
xu.blank	-6.40052966076146900e-26
isense	-4.51798396024275586e-2
xu.ov	4.99999999499999936e-9
xu.fault	0.00000000000000000e0
xu.pcl_hold	0.00000000000000000e0
xu.pcl_request	0.00000000000000000e0
disable	1.04086116764479791e-1
xu.m1	5.00222136612262669e-1
xu.m2	1.37519011399991808e0
