6.54401466666699960e-1 1.64409168429704721e2 -4.63204152612595443e0 -1.81316016866682617e2 3.84136936991566984e2 3.84167263591855772e2 1.81316020323987999e2 3.84167510964703865e2 1.81316019928886712e-1 7.71600457091980278e-7 5.00000000000000000e0 4.99999999999999378e0 0.00000000000000000e0 2.27738651282457605e0 5.98422078201236562e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 2.03310269417437371e-19 6.43022546910149549e-8 6.27508142569954686e-6 0.00000000000000000e0 -8.69085763309041304e-1 4.99999999499999936e-9 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.04086116764478737e-1 3.11821978514092268e-1 7.67408580492054848e-1 1.69041209955830681e2 1.81316019928886902e2 -1.52213153619297447e-9 5.00000000000000000e0 0.00000000000000000e0 5.00000000000000000e0 5.00000000000000000e0 1.64915232062412542e-2 6.57743157521114789e-8 6.57743217873752028e-8 5.00000000000000000e0
6.54401468666700126e-1 1.64409133887764483e2 -4.63206475654156691e0 -1.81317166116748240e2 3.84136935200593825e2 3.84167261800741187e2 1.81317169573986320e2 3.84167509173588144e2 1.81317169178886434e-1 7.71597362023008287e-7 5.00000000000000000e0 4.99999999999999378e0 0.00000000000000000e0 2.27738144075751325e0 5.98422127662841774e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 2.03310269417437371e-19 6.43019967603384115e-8 6.27708142586502760e-6 0.00000000000000000e0 -8.69086312735084965e-1 4.99999999499999936e-9 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.04086116764478612e-1 3.11820390957101679e-1 7.67404200638412193e-1 1.69041198644306064e2 1.81317169178886616e2 -1.52212931346794750e-9 5.00000000000000000e0 0.00000000000000000e0 5.00000000000000000e0 5.00000000000000000e0 1.64915231304500302e-2 6.57742250549598381e-8 6.57742268287723626e-8 5.00000000000000000e0
6.54401472666700457e-1 1.64409064803788993e2 -4.63211121717845753e0 -1.81319464607495888e2 3.84136931618647566e2 3.84167258218512131e2 1.81319468064762958e2 3.84167505591356701e2 1.81319467669665696e-1 7.71591171906344208e-7 5.00000000000000000e0 4.99999999999999378e0 0.00000000000000000e0 2.27737129664873494e0 5.98422226582447614e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 2.03310269417437371e-19 6.43014809008925649e-8 6.28108142619598908e-6 0.00000000000000000e0 -8.69087411571535240e-1 4.99999999499999936e-9 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.04086116764478959e-1 3.11817215851054097e-1 7.67395440981136545e-1 1.69041176020967441e2 1.81319467669665897e2 -1.52212455929008336e-9 5.00000000000000000e0 0.00000000000000000e0 5.00000000000000000e0 5.00000000000000000e0 1.64915229712884574e-2 6.57740198666420578e-8 6.57740196667696520e-8 5.00000000000000000e0
6.54401480666701119e-1 1.64408926635819398e2 -4.63220413731823921e0 -1.81324061533819304e2 3.84136924454755388e2 3.84167251054054418e2 1.81324064990996362e2 3.84167498426894269e2 1.81324064595904000e-1 7.71578791806814962e-7 5.00000000000000000e0 4.99999999999999378e0 0.00000000000000000e0 2.27735100858325579e0 5.98422424400034281e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 2.03310269417437371e-19 6.43004491933890180e-8 6.28908142685791205e-6 0.00000000000000000e0 -8.69089609156077803e-1 4.99999999499999936e-9 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.04086116764479014e-1 3.11810865686559135e-1 7.67377921910394001e-1 1.69041130773137638e2 1.81324064595904190e2 -1.52211582205508588e-9 5.00000000000000000e0 0.00000000000000000e0 5.00000000000000000e0 5.00000000000000000e0 1.64915226567548742e-2 6.57735991598581906e-8 6.57736007326596059e-8 5.00000000000000000e0
6.54401491666700030e-1 1.64408736654863617e2 -4.63233190000882100e0 -1.81330382185769452e2 3.84136914604406002e2 3.84167241202927357e2 1.81330385642984567e2 3.84167488575760956e2 1.81330385247899184e-1 7.71561769471751473e-7 5.00000000000000000e0 4.99999999999999378e0 0.00000000000000000e0 2.27732311282937294e0 5.98422696352093553e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 2.03310269417437371e-19 6.42990306206004224e-8 6.30008142576965469e-6 0.00000000000000000e0 -8.69092630647108177e-1 4.99999999499999936e-9 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.04086116764478889e-1 3.11802134315593726e-1 7.67353833818972597e-1 1.69041068554872425e2 1.81330385247899386e2 -1.52210319819913737e-9 5.00000000000000000e0 0.00000000000000000e0 5.00000000000000000e0 5.00000000000000000e0 1.64915222399031336e-2 6.57730308393983803e-8 6.57730246217246289e-8 5.00000000000000000e0
6.54401493266700163e-1 1.64408709021291372e2 -4.63235048340772870e0 -1.81331301540404013e2 3.84136913171627668e2 3.84167239770035906e2 1.81331304997621487e2 3.84167487142868538e2 1.81331304602537102e-1 7.71559293527790026e-7 5.00000000000000000e0 4.99999999999999378e0 0.00000000000000000e0 2.27731905530042589e0 5.98422735903647496e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 2.03310269417437371e-19 6.42988242853997005e-8 6.30168142590203928e-6 0.00000000000000000e0 -8.69093070117089694e-1 4.99999999499999936e-9 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.04086116764478973e-1 3.11800864309033310e-1 7.67350330356507349e-1 1.69041059504699092e2 1.81331304602537301e2 -1.52210163076737563e-9 5.00000000000000000e0 0.00000000000000000e0 5.00000000000000000e0 5.00000000000000000e0 1.64915221754805934e-2 6.57729462443931776e-8 6.57729446972718822e-8 5.00000000000000000e0
6.54401496466700427e-1 1.64408653754083474e2 -4.63238765008448361e0 -1.81333140243824573e2 3.84136910306070945e2 3.84167236904252945e2 1.81333143700994697e2 3.84167484277083759e2 1.81333143305912353e-1 7.71554341654291044e-7 5.00000000000000000e0 4.99999999999999378e0 0.00000000000000000e0 2.27731094025875347e0 5.98422815004449848e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 2.03310269417437371e-19 6.42984116162140668e-8 6.30488142616680847e-6 0.00000000000000000e0 -8.69093949047220926e-1 4.99999999499999936e-9 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.04086116764478973e-1 3.11798324300989971e-1 7.67343323087513407e-1 1.69041041404167970e2 1.81333143305912557e2 -1.52209782735514169e-9 5.00000000000000000e0 0.00000000000000000e0 5.00000000000000000e0 5.00000000000000000e0 1.64915220542146343e-2 6.57727834196825739e-8 6.57727805598936209e-8 5.00000000000000000e0
6.54401502866700957e-1 1.64408543219658213e2 -4.63246198270949350e0 -1.81336817615227005e2 3.84136904574957555e2 3.84167231172687138e2 1.81336821072338040e2 3.84167478545514314e2 1.81336820677259702e-1 7.71544437994734940e-7 5.00000000000000000e0 4.99999999999999378e0 0.00000000000000000e0 2.27729471027273656e0 5.98422973192220820e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 2.03310269417437371e-19 6.42975862851364808e-8 6.31128142669634684e-6 0.00000000000000000e0 -8.69095706851061189e-1 4.99999999499999936e-9 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.04086116764478959e-1 3.11793244315366647e-1 7.67329308705554602e-1 1.69041005202367700e2 1.81336820677259908e2 -1.52209083831560414e-9 5.00000000000000000e0 0.00000000000000000e0 5.00000000000000000e0 5.00000000000000000e0 1.64915218116827127e-2 6.57724485237675201e-8 6.57724483996137188e-8 5.00000000000000000e0
6.54401515666702016e-1 1.64408322150768356e2 -4.63261064504666997e0 -1.81344172216281493e2 3.84136893112731229e2 3.84167219709555866e2 1.81344175673413815e2 3.84167467082375822e2 1.81344175278343539e-1 7.71524631025223933e-7 5.00000000000000000e0 4.99999999999999378e0 0.00000000000000000e0 2.27726225069000821e0 5.98423289512437329e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 2.03310269417437371e-19 6.42959356521431048e-8 6.32408142775542359e-6 0.00000000000000000e0 -8.69099222238401081e-1 4.99999999499999936e-9 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.04086116764478973e-1 3.11783084465972471e-1 7.67301280565740651e-1 1.69040932795815024e2 1.81344175278343727e2 -1.52207624237581697e-9 5.00000000000000000e0 0.00000000000000000e0 5.00000000000000000e0 5.00000000000000000e0 1.64915213304084318e-2 6.57717809934893222e-8 6.57717786044997307e-8 5.00000000000000000e0
6.54401516666699989e-1 1.64408304879793093e2 -4.63262225910610503e0 -1.81344746785442283e2 3.84136892217246668e2 3.84167218814000591e2 1.81344750242459128e2 3.84167466186820036e2 1.81344749847389408e-1 7.71523083628155428e-7 5.00000000000000000e0 4.99999999999999378e0 0.00000000000000000e0 2.27725971481231726e0 5.98423314221795799e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 2.03310269417437371e-19 6.42958066983485621e-8 6.32508142572874021e-6 0.00000000000000000e0 -8.69099496865093246e-1 4.99999999499999936e-9 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.04086116764478806e-1 3.11782290736255352e-1 7.67299091181751214e-1 1.69040927138899207e2 1.81344749847389608e2 -1.52207532388462215e-9 5.00000000000000000e0 0.00000000000000000e0 5.00000000000000000e0 5.00000000000000000e0 1.64915212963023805e-2 6.57717216687108152e-8 6.57717407625961219e-8 5.00000000000000000e0
