sample	healthy	source_ab	open_mask	received_ab	state	run
0	false	11	00	11	WaitIdle	false
1	true	11	00	11	WaitIdle	false
2	true	11	00	11	WaitIdle	false
3	true	11	00	11	WaitIdle	false
