sample	healthy	source_ab	open_mask	received_ab	state	run
0	false	10	10	00	WaitIdle	false
1	true	10	10	00	WaitIdle	false
2	true	10	00	10	WaitIdle	false
3	true	10	00	10	WaitIdle	false
