scenario,vac_v,input_arms,apparent_va,real_input_w,auxiliary_ac_w,pfc_feed_w,dc_bus_w,inverter_output_w,pan_absorbed_w,input_arms_for_1800w_wall
loss_heavy_hypothesis,108,15.00,1620.0,1458.0,80.0,1378.0,1240.2,1054.2,790.6,18.52
loss_heavy_hypothesis,120,15.00,1800.0,1620.0,80.0,1540.0,1386.0,1178.1,883.6,16.67
loss_heavy_hypothesis,132,15.00,1980.0,1782.0,80.0,1702.0,1531.8,1302.0,976.5,15.15
middle_hypothesis,108,15.00,1620.0,1587.6,40.0,1547.6,1470.2,1352.6,1149.7,17.01
middle_hypothesis,120,15.00,1800.0,1764.0,40.0,1724.0,1637.8,1506.8,1280.8,15.31
middle_hypothesis,132,13.91,1836.7,1800.0,40.0,1760.0,1672.0,1538.2,1307.5,13.91
optimistic_hypothesis,108,15.00,1620.0,1603.8,20.0,1583.8,1536.3,1459.5,1313.5,16.84
optimistic_hypothesis,120,15.00,1800.0,1782.0,20.0,1762.0,1709.1,1623.7,1461.3,15.15
optimistic_hypothesis,132,13.77,1818.2,1800.0,20.0,1780.0,1726.6,1640.3,1476.2,13.77
