Ref,Disposition,Note
J1,MANUAL (THT/excluded-from-SMT),Hand-solder per assembly notes; verify J1/J2 pinout at freeze
J2,MANUAL (THT/excluded-from-SMT),Hand-solder per assembly notes; verify J1/J2 pinout at freeze
