Ref,Val,Package,PosX,PosY,Rot,Side
"C9","10uF 50V X7R","C_1210_3225Metric",20.000000,-16.000000,90.000000,top
"C10","100nF 50V X7R","C_0603_1608Metric",20.000000,-24.000000,0.000000,top
"C11","22uF 25V X7R","C_1210_3225Metric",42.000000,-16.000000,0.000000,top
"C12","22uF 25V X7R","C_1210_3225Metric",42.000000,-24.000000,0.000000,top
"C13","100nF 50V X7R","C_0603_1608Metric",42.000000,-20.000000,0.000000,top
"L2","5.6uH","L_Bourns_SRP1265A",31.000000,-20.000000,0.000000,top
"R16","100k","R_0603_1608Metric",14.000000,-17.000000,0.000000,top
"R17","22.1k","R_0603_1608Metric",14.000000,-21.000000,180.000000,top
"U3","LMR51430XDDCR","SOT-23-6",20.000000,-20.000000,180.000000,top
