# provenance: commit=5253c837745a6cd6dbf9bad74c1200db1e3274ab dirty=True
ref,pad,zone_net,zone_label,required_mm,clearance_at_best_mm,best_placement,envelope_cap_mm,grid_step_mm,grid_cells,grid_clear_cells,min_disp_to_clear_mm,min_disp_clearance_mm,clears_within_cap
C27,2,DC_BUS_RTN,zone Zone_46 net=DC_BUS_RTN,0.05,0.0,"{'x_mm': 28.62, 'y_mm': 222.0}",120.0,0.5,231361,14973,1.0,0.149,True
K3,2,SW_NODE,zone Zone_48 net=SW_NODE,0.05,0.0,"{'x_mm': 43.12, 'y_mm': 17.92}",120.0,0.5,231361,19709,26.0,0.228,True
K3,5,SW_NODE,zone Zone_48 net=SW_NODE,0.05,0.0,"{'x_mm': 43.12, 'y_mm': 17.92}",120.0,0.5,231361,21496,18.5,0.228,True
K3,4,SW_NODE,zone Zone_48 net=SW_NODE,0.05,0.0,"{'x_mm': 43.12, 'y_mm': 17.92}",120.0,0.5,231361,22936,14.0,0.287,True
K3,1,SW_NODE,zone Zone_48 net=SW_NODE,0.05,0.0,"{'x_mm': 43.12, 'y_mm': 17.92}",120.0,0.5,231361,23793,11.0,0.212,True
K3,3,SW_NODE,zone Zone_48 net=SW_NODE,0.05,0.0,"{'x_mm': 43.12, 'y_mm': 17.92}",120.0,0.5,231361,24834,7.5,0.107,True
K3,3,+15V_LS,zone Zone_42 net=+15V_LS,0.05,0.0,"{'x_mm': 43.12, 'y_mm': 17.92}",120.0,0.5,231361,42871,0.5,0.388,True
