type,rule,actual,required,itemA,netA,domA,itemB,netB,domB,crossing
clearance,Default routing,0.021,0.2,"Track [power_in.bypass_relay-coil2] on F.Cu, length 5.5000 mm",power_in.bypass_relay-coil2,SELV,"Track [RTD_SDI] on F.Cu, length 1.8385 mm",RTD_SDI,SELV,SELV-SELV
clearance,Default routing,0.116,0.2,"Track [RTD_SDI] on F.Cu, length 14.9907 mm",RTD_SDI,SELV,"Track [power_in.bypass_relay-coil2] on F.Cu, length 14.9907 mm",power_in.bypass_relay-coil2,SELV,SELV-SELV
clearance,Default routing,0.116,0.2,"Track [RTD_SDI] on F.Cu, length 6.1000 mm",RTD_SDI,SELV,"Track [power_in.bypass_relay-coil2] on F.Cu, length 23.6174 mm",power_in.bypass_relay-coil2,SELV,SELV-SELV
clearance,Default routing,0.021,0.2,"Track [power_in.bypass_relay-coil2] on F.Cu, length 5.5000 mm",power_in.bypass_relay-coil2,SELV,"Track [RTD_SDI] on F.Cu, length 5.5000 mm",RTD_SDI,SELV,SELV-SELV
clearance,Default routing,0.021,0.2,"Track [RTD_SDI] on F.Cu, length 14.9907 mm",RTD_SDI,SELV,"Track [power_in.bypass_relay-coil2] on F.Cu, length 16.0000 mm",power_in.bypass_relay-coil2,SELV,SELV-SELV
clearance,Default routing,0.116,0.2,"Track [RTD_SDI] on F.Cu, length 16.0000 mm",RTD_SDI,SELV,"Track [power_in.bypass_relay-coil2] on F.Cu, length 14.9907 mm",power_in.bypass_relay-coil2,SELV,SELV-SELV
clearance,Default routing,0.021,0.2,"Track [RTD_SDI] on F.Cu, length 16.0000 mm",RTD_SDI,SELV,"Track [power_in.bypass_relay-coil2] on F.Cu, length 16.0000 mm",power_in.bypass_relay-coil2,SELV,SELV-SELV
clearance,Default routing,0.021,0.2,"Track [RTD_SDI] on F.Cu, length 19.6576 mm",RTD_SDI,SELV,"Track [power_in.bypass_relay-coil2] on F.Cu, length 1.9000 mm",power_in.bypass_relay-coil2,SELV,SELV-SELV
clearance,Default routing,0.116,0.2,"Track [power_in.bypass_relay-coil2] on F.Cu, length 5.5000 mm",power_in.bypass_relay-coil2,SELV,"Track [RTD_SDI] on F.Cu, length 15.2735 mm",RTD_SDI,SELV,SELV-SELV
clearance,Default routing,0.021,0.2,"Track [power_in.bypass_relay-coil2] on F.Cu, length 1.9000 mm",power_in.bypass_relay-coil2,SELV,"Track [RTD_SDI] on F.Cu, length 0.4000 mm",RTD_SDI,SELV,SELV-SELV
clearance,Default routing,0.0333,0.2,"Track [RTD_SDI] on F.Cu, length 19.6576 mm",RTD_SDI,SELV,"Track [power_in.bypass_relay-coil2] on F.Cu, length 14.9907 mm",power_in.bypass_relay-coil2,SELV,SELV-SELV
clearance,Default routing,0.021,0.2,"Track [power_in.bypass_relay-coil2] on F.Cu, length 14.9907 mm",power_in.bypass_relay-coil2,SELV,"Track [RTD_SDI] on F.Cu, length 0.4000 mm",RTD_SDI,SELV,SELV-SELV
clearance,Default routing,0.1446,0.2,PTH pad 1 [+170V_BUS] of C4,+170V_BUS,HV,"Track [power_in.ntc-no] on F.Cu, length 0.2828 mm",power_in.ntc-no,HV,HV-HV
clearance,Default routing,0.116,0.2,"Track [power_in.bypass_relay-coil2] on F.Cu, length 1.8385 mm",power_in.bypass_relay-coil2,SELV,"Track [RTD_SDI] on F.Cu, length 1.8385 mm",RTD_SDI,SELV,SELV-SELV
