type,rule,actual,required,itemA,netA,domA,itemB,netB,domB,crossing
clearance,Default routing,0.1668,0.2,"Track [hb.gate_hs.driver-p1-1] on F.Cu, length 52.1845 mm",hb.gate_hs.driver-p1-1,HV,Pad 2 [safety.ovp.r_div_top1-p2] of R51 on F.Cu,safety.ovp.r_div_top1-p2,HV-chain,HV-HV
clearance,HighVoltageIsolated to LV,1.962,2.0,Via [hb.gate_hs.driver-p1-1] on F.Cu - B.Cu,hb.gate_hs.driver-p1-1,HV,Pad 1 [safety.thermal-line] of U18 on F.Cu,safety.thermal-line,SELV,HV-SELV
clearance,HighVoltageIsolated to LV,1.0192,2.0,Via [hb.gate_hs.driver-p1-1] on F.Cu - B.Cu,hb.gate_hs.driver-p1-1,HV,Pad 2 [gnd] of U18 on F.Cu,gnd,SELV,HV-SELV
clearance,HighVoltageIsolated to LV,0.0981,2.0,Pad 3 [safety.thermal.comp-inp] of U18 on F.Cu,safety.thermal.comp-inp,SELV,Via [hb.gate_hs.driver-p1-1] on F.Cu - B.Cu,hb.gate_hs.driver-p1-1,HV,HV-SELV
clearance,HighVoltageIsolated to LV,1.3032,2.0,Via [hb.gate_hs.driver-p1-1] on F.Cu - B.Cu,hb.gate_hs.driver-p1-1,HV,Pad 2 [RTD_HW_FAULT] of R48 on F.Cu,RTD_HW_FAULT,SELV,HV-SELV
clearance,Default routing,0.021,0.2,"Track [WDT_KICK] on B.Cu, length 61.0000 mm",WDT_KICK,SELV,"Track [power_in.r_zcd_top1-p2] on B.Cu, length 0.5657 mm",power_in.r_zcd_top1-p2,HV,HV-SELV
clearance,Default routing,0.021,0.2,"Track [WDT_KICK] on B.Cu, length 0.2828 mm",WDT_KICK,SELV,"Track [power_in.r_zcd_top1-p2] on B.Cu, length 16.6000 mm",power_in.r_zcd_top1-p2,HV,HV-SELV
clearance,Default routing,0.021,0.2,"Track [power_in.r_zcd_top1-p2] on B.Cu, length 16.6000 mm",power_in.r_zcd_top1-p2,HV,"Track [WDT_KICK] on B.Cu, length 61.0000 mm",WDT_KICK,SELV,HV-SELV
clearance,Default routing,0.116,0.2,"Track [WDT_KICK] on B.Cu, length 1.2000 mm",WDT_KICK,SELV,"Track [power_in.r_zcd_top1-p2] on B.Cu, length 0.4243 mm",power_in.r_zcd_top1-p2,HV,HV-SELV
clearance,Default routing,0.116,0.2,"Track [WDT_KICK] on B.Cu, length 0.2828 mm",WDT_KICK,SELV,"Track [power_in.r_zcd_top1-p2] on B.Cu, length 0.4243 mm",power_in.r_zcd_top1-p2,HV,HV-SELV
clearance,Default routing,0.021,0.2,"Track [WDT_KICK] on B.Cu, length 1.2000 mm",WDT_KICK,SELV,"Track [power_in.r_zcd_top1-p2] on B.Cu, length 1.8000 mm",power_in.r_zcd_top1-p2,HV,HV-SELV
clearance,Default routing,0.116,0.2,"Track [power_in.r_zcd_top1-p2] on B.Cu, length 0.2828 mm",power_in.r_zcd_top1-p2,HV,"Track [WDT_KICK] on B.Cu, length 1.2000 mm",WDT_KICK,SELV,HV-SELV
clearance,Default routing,0.021,0.2,"Track [WDT_KICK] on B.Cu, length 0.2828 mm",WDT_KICK,SELV,"Track [power_in.r_zcd_top1-p2] on B.Cu, length 1.8000 mm",power_in.r_zcd_top1-p2,HV,HV-SELV
clearance,Default routing,0.1595,0.2,"Track [power_in.r_zcd_top1-p2] on B.Cu, length 0.6000 mm",power_in.r_zcd_top1-p2,HV,"Track [WDT_KICK] on B.Cu, length 1.2000 mm",WDT_KICK,SELV,HV-SELV
clearance,Default routing,0.116,0.2,"Track [WDT_KICK] on B.Cu, length 61.0000 mm",WDT_KICK,SELV,"Track [power_in.r_zcd_top1-p2] on B.Cu, length 0.4243 mm",power_in.r_zcd_top1-p2,HV,HV-SELV
clearance,Default routing,0.021,0.2,"Track [WDT_KICK] on B.Cu, length 37.6181 mm",WDT_KICK,SELV,"Track [power_in.r_zcd_top1-p2] on B.Cu, length 1.8000 mm",power_in.r_zcd_top1-p2,HV,HV-SELV
clearance,Default routing,0.116,0.2,"Track [power_in.r_zcd_top1-p2] on B.Cu, length 0.2828 mm",power_in.r_zcd_top1-p2,HV,"Track [WDT_KICK] on B.Cu, length 37.6181 mm",WDT_KICK,SELV,HV-SELV
clearance,Default routing,0.116,0.2,"Track [power_in.r_zcd_top1-p2] on B.Cu, length 0.6000 mm",power_in.r_zcd_top1-p2,HV,"Track [WDT_KICK] on B.Cu, length 37.6181 mm",WDT_KICK,SELV,HV-SELV
clearance,Default routing,0.01,0.2,"Track [WDT_KICK] on B.Cu, length 0.9000 mm",WDT_KICK,SELV,Via [safety-line-2] on F.Cu - B.Cu,safety-line-2,SELV,SELV-SELV
clearance,Default routing,0.015,0.2,"Track [discharge.k_dis1-nc] on B.Cu, length 14.3000 mm",discharge.k_dis1-nc,HV,Via [safety-line-2] on F.Cu - B.Cu,safety-line-2,SELV,HV-SELV
clearance,Default routing,0.1952,0.2,"Track [a] on F.Cu, length 27.7186 mm",a,HV,Pad 7 [nc_7] of U7 on F.Cu,nc_7,SELV,HV-SELV
clearance,Default routing,0.1866,0.2,"Track [safety.coil_thermal.comp-inp] on B.Cu, length 0.0596 mm",safety.coil_thermal.comp-inp,SELV,"Track [discharge.k_dis1-nc] on B.Cu, length 8.0610 mm",discharge.k_dis1-nc,HV,HV-SELV
clearance,Default routing,0.075,0.2,"Track [safety.coil_thermal.comp-inp] on B.Cu, length 24.1000 mm",safety.coil_thermal.comp-inp,SELV,PTH pad 3 [discharge.k_dis2-no] of K3,discharge.k_dis2-no,HV,HV-SELV
clearance,Default routing,0.0114,0.2,Pad 2 [gnd] of U14 on F.Cu,gnd,SELV,"Track [WDT_RESET_N] on F.Cu, length 0.4000 mm",WDT_RESET_N,SELV,SELV-SELV
clearance,Default routing,0.155,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.2000 mm",WDT_RESET_N,SELV,Pad 1 [rtd_pan.rail_monitor-outa] of U14 on F.Cu,rtd_pan.rail_monitor-outa,SELV,SELV-SELV
clearance,Default routing,0.0483,0.2,Pad 3 [rtd_pan.rail_monitor-ina_p] of U14 on F.Cu,rtd_pan.rail_monitor-ina_p,SELV,"Track [WDT_RESET_N] on F.Cu, length 1.4142 mm",WDT_RESET_N,SELV,SELV-SELV
clearance,Default routing,0.0483,0.2,Pad 3 [rtd_pan.rail_monitor-ina_p] of U14 on F.Cu,rtd_pan.rail_monitor-ina_p,SELV,"Track [WDT_RESET_N] on F.Cu, length 0.4000 mm",WDT_RESET_N,SELV,SELV-SELV
clearance,Default routing,0.0821,0.2,Pad 4 [gnd] of U14 on F.Cu,gnd,SELV,"Track [WDT_RESET_N] on F.Cu, length 1.4142 mm",WDT_RESET_N,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.4243 mm",WDT_RESET_N,SELV,"Track [RTD_SDI] on F.Cu, length 12.9000 mm",RTD_SDI,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.9000 mm",WDT_RESET_N,SELV,"Track [RTD_SDI] on F.Cu, length 12.9000 mm",RTD_SDI,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [WDT_RESET_N] on F.Cu, length 23.7588 mm",WDT_RESET_N,SELV,"Track [RTD_SDI] on F.Cu, length 12.9000 mm",RTD_SDI,SELV,SELV-SELV
clearance,Default routing,0.0318,0.2,"Track [WDT_RESET_N] on F.Cu, length 2.4042 mm",WDT_RESET_N,SELV,Pad 2 [PWR_RTN] of D2 on F.Cu,PWR_RTN,HV,HV-SELV
clearance,Default routing,0.125,0.2,Pad 13 [+3V3] of U26 on F.Cu,+3V3,SELV,"Track [WDT_RESET_N] on F.Cu, length 2.2000 mm",WDT_RESET_N,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [safety.coil_thermal-line] on F.Cu, length 25.2000 mm",safety.coil_thermal-line,SELV,"Track [WDT_RESET_N] on F.Cu, length 10.6066 mm",WDT_RESET_N,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [WDT_RESET_N] on F.Cu, length 16.5000 mm",WDT_RESET_N,SELV,"Track [safety.coil_thermal-line] on F.Cu, length 0.1414 mm",safety.coil_thermal-line,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [safety.coil_thermal-line] on F.Cu, length 25.2000 mm",safety.coil_thermal-line,SELV,"Track [WDT_RESET_N] on F.Cu, length 16.5000 mm",WDT_RESET_N,SELV,SELV-SELV
clearance,Default routing,0.055,0.2,Pad 2 [refin_n] of R34 on F.Cu,refin_n,SELV,"Track [safety.coil_thermal-line] on F.Cu, length 12.7000 mm",safety.coil_thermal-line,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [WDT_RESET_N] on F.Cu, length 1.0000 mm",WDT_RESET_N,SELV,"Track [safety.coil_thermal-line] on F.Cu, length 1.0000 mm",safety.coil_thermal-line,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.4243 mm",WDT_RESET_N,SELV,"Track [safety.coil_thermal-line] on F.Cu, length 1.0000 mm",safety.coil_thermal-line,SELV,SELV-SELV
clearance,Default routing,0.055,0.2,Pad 1 [bias] of R34 on F.Cu,bias,SELV,"Track [safety.coil_thermal-line] on F.Cu, length 12.7000 mm",safety.coil_thermal-line,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [WDT_RESET_N] on F.Cu, length 1.0000 mm",WDT_RESET_N,SELV,"Track [safety.coil_thermal-line] on F.Cu, length 0.2828 mm",safety.coil_thermal-line,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [WDT_RESET_N] on F.Cu, length 21.2000 mm",WDT_RESET_N,SELV,"Track [safety.coil_thermal-line] on F.Cu, length 21.2000 mm",safety.coil_thermal-line,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.1414 mm",WDT_RESET_N,SELV,"Track [safety.coil_thermal-line] on F.Cu, length 21.2000 mm",safety.coil_thermal-line,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [WDT_RESET_N] on F.Cu, length 21.2000 mm",WDT_RESET_N,SELV,"Track [safety.coil_thermal-line] on F.Cu, length 0.4243 mm",safety.coil_thermal-line,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [y] on B.Cu, length 3.7000 mm",y,SELV,"Track [rtd_pan.high_window-out] on B.Cu, length 0.7000 mm",rtd_pan.high_window-out,SELV,SELV-SELV
clearance,Default routing,0.1226,0.2,"Track [gnd] on B.Cu, length 0.0250 mm",gnd,SELV,"Track [safety.coil_thermal.comp-inp] on B.Cu, length 9.5000 mm",safety.coil_thermal.comp-inp,SELV,SELV-SELV
clearance,Default routing,0.1226,0.2,"Track [safety.coil_thermal.comp-inp] on B.Cu, length 9.5000 mm",safety.coil_thermal.comp-inp,SELV,"Track [gnd] on B.Cu, length 4.3841 mm",gnd,SELV,SELV-SELV
clearance,Default routing,0.0976,0.2,"Track [gnd] on B.Cu, length 0.0250 mm",gnd,SELV,"Track [safety.coil_thermal.comp-inp] on B.Cu, length 7.0000 mm",safety.coil_thermal.comp-inp,SELV,SELV-SELV
clearance,Default routing,0.1226,0.2,"Track [safety.coil_thermal.comp-inp] on B.Cu, length 7.0000 mm",safety.coil_thermal.comp-inp,SELV,"Track [gnd] on B.Cu, length 4.3841 mm",gnd,SELV,SELV-SELV
clearance,Default routing,0.1936,0.2,"Track [gnd] on B.Cu, length 8.3439 mm",gnd,SELV,"Track [power_in.r_zcd_top1-p2] on B.Cu, length 2.2000 mm",power_in.r_zcd_top1-p2,HV,HV-SELV
clearance,Default routing,0.1936,0.2,"Track [gnd] on B.Cu, length 0.4000 mm",gnd,SELV,"Track [power_in.r_zcd_top1-p2] on B.Cu, length 2.2000 mm",power_in.r_zcd_top1-p2,HV,HV-SELV
clearance,Default routing,0.1936,0.2,"Track [gnd] on B.Cu, length 0.7071 mm",gnd,SELV,"Track [power_in.r_zcd_top1-p2] on B.Cu, length 2.2000 mm",power_in.r_zcd_top1-p2,HV,HV-SELV
clearance,Default routing,0.01,0.2,"Track [RELAY_CTRL] on F.Cu, length 12.0000 mm",RELAY_CTRL,SELV,Pad 2 [safety-line-1] of R66 on F.Cu,safety-line-1,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [WDT_RESET_N] on F.Cu, length 4.7000 mm",WDT_RESET_N,SELV,"Track [RELAY_CTRL] on F.Cu, length 3.1113 mm",RELAY_CTRL,SELV,SELV-SELV
clearance,Default routing,0.035,0.2,"Track [RELAY_CTRL] on F.Cu, length 22.1000 mm",RELAY_CTRL,SELV,Via [safety-line-2] on F.Cu - B.Cu,safety-line-2,SELV,SELV-SELV
clearance,Default routing,0.0752,0.2,Pad 1 [vcc] of C29 on F.Cu,vcc,SELV,"Track [RELAY_CTRL] on F.Cu, length 0.1000 mm",RELAY_CTRL,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [WDT_RESET_N] on F.Cu, length 4.7000 mm",WDT_RESET_N,SELV,"Track [RELAY_CTRL] on F.Cu, length 0.2828 mm",RELAY_CTRL,SELV,SELV-SELV
clearance,Default routing,0.1548,0.2,Pad 1 [vcc] of C29 on F.Cu,vcc,SELV,"Track [RELAY_CTRL] on F.Cu, length 0.4243 mm",RELAY_CTRL,SELV,SELV-SELV
clearance,Default routing,0.19,0.2,"Track [RELAY_CTRL] on F.Cu, length 22.1000 mm",RELAY_CTRL,SELV,Pad 1 [+3V3] of R49 on F.Cu,+3V3,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [WDT_RESET_N] on F.Cu, length 4.7000 mm",WDT_RESET_N,SELV,"Track [RELAY_CTRL] on F.Cu, length 0.8000 mm",RELAY_CTRL,SELV,SELV-SELV
clearance,Default routing,0.19,0.2,"Track [RELAY_CTRL] on F.Cu, length 22.1000 mm",RELAY_CTRL,SELV,Pad 2 [safety.ocp.comp-inn] of R49 on F.Cu,safety.ocp.comp-inn,SELV,SELV-SELV
clearance,Default routing,0.0926,0.2,"Track [discharge.k_dis1-nc] on B.Cu, length 0.6000 mm",discharge.k_dis1-nc,HV,"Track [discharge.k_dis1-coil1] on B.Cu, length 0.0500 mm",discharge.k_dis1-coil1,SELV,HV-SELV
clearance,Default routing,0.1681,0.2,"Track [discharge.k_dis1-nc] on B.Cu, length 8.9095 mm",discharge.k_dis1-nc,HV,"Track [discharge.k_dis1-coil1] on B.Cu, length 0.0500 mm",discharge.k_dis1-coil1,SELV,HV-SELV
clearance,Default routing,0.1226,0.2,"Track [discharge.k_dis1-nc] on B.Cu, length 0.6000 mm",discharge.k_dis1-nc,HV,"Track [discharge.k_dis1-coil1] on B.Cu, length 0.7071 mm",discharge.k_dis1-coil1,SELV,HV-SELV
clearance,Default routing,0.1226,0.2,"Track [WDT_KICK] on B.Cu, length 62.0000 mm",WDT_KICK,SELV,"Track [discharge.k_dis1-coil1] on B.Cu, length 0.4243 mm",discharge.k_dis1-coil1,SELV,SELV-SELV
clearance,Default routing,0.1226,0.2,"Track [WDT_KICK] on B.Cu, length 62.0000 mm",WDT_KICK,SELV,"Track [discharge.k_dis1-coil1] on B.Cu, length 42.9000 mm",discharge.k_dis1-coil1,SELV,SELV-SELV
clearance,Default routing,0.1226,0.2,"Track [WDT_KICK] on B.Cu, length 62.0000 mm",WDT_KICK,SELV,"Track [discharge.k_dis1-coil1] on B.Cu, length 1.1314 mm",discharge.k_dis1-coil1,SELV,SELV-SELV
clearance,Default routing,0.1226,0.2,"Track [discharge.k_dis1-coil1] on B.Cu, length 0.1414 mm",discharge.k_dis1-coil1,SELV,"Track [WDT_KICK] on B.Cu, length 1.2000 mm",WDT_KICK,SELV,SELV-SELV
clearance,Default routing,0.1226,0.2,"Track [WDT_KICK] on B.Cu, length 61.0000 mm",WDT_KICK,SELV,"Track [discharge.k_dis1-coil1] on B.Cu, length 0.1414 mm",discharge.k_dis1-coil1,SELV,SELV-SELV
clearance,Default routing,0.1226,0.2,"Track [WDT_KICK] on B.Cu, length 1.2000 mm",WDT_KICK,SELV,"Track [discharge.k_dis1-coil1] on B.Cu, length 0.6000 mm",discharge.k_dis1-coil1,SELV,SELV-SELV
clearance,Default routing,0.0006,0.2,"Track [power_in.bypass_relay-coil2] on F.Cu, length 0.0459 mm",power_in.bypass_relay-coil2,SELV,"Track [a] on F.Cu, length 0.7071 mm",a,HV,HV-SELV
clearance,Default routing,0.1226,0.2,"Track [WDT_KICK] on B.Cu, length 1.1314 mm",WDT_KICK,SELV,"Track [discharge.k_dis1-coil1] on B.Cu, length 61.0000 mm",discharge.k_dis1-coil1,SELV,SELV-SELV
clearance,Default routing,0.021,0.2,"Track [a] on F.Cu, length 0.7071 mm",a,HV,"Track [power_in.bypass_relay-coil2] on F.Cu, length 2.6000 mm",power_in.bypass_relay-coil2,SELV,HV-SELV
clearance,Default routing,0.021,0.2,"Track [a] on F.Cu, length 2.9000 mm",a,HV,"Track [power_in.bypass_relay-coil2] on F.Cu, length 2.6000 mm",power_in.bypass_relay-coil2,SELV,HV-SELV
clearance,Default routing,0.116,0.2,"Track [a] on F.Cu, length 0.9899 mm",a,HV,"Track [power_in.bypass_relay-coil2] on F.Cu, length 2.6000 mm",power_in.bypass_relay-coil2,SELV,HV-SELV
clearance,Default routing,0.1226,0.2,"Track [WDT_KICK] on B.Cu, length 1.2000 mm",WDT_KICK,SELV,"Track [discharge.k_dis1-coil1] on B.Cu, length 22.2032 mm",discharge.k_dis1-coil1,SELV,SELV-SELV
clearance,Default routing,0.1226,0.2,"Track [WDT_KICK] on B.Cu, length 61.0000 mm",WDT_KICK,SELV,"Track [discharge.k_dis1-coil1] on B.Cu, length 61.0000 mm",discharge.k_dis1-coil1,SELV,SELV-SELV
clearance,Default routing,0.021,0.2,"Track [a] on F.Cu, length 2.9000 mm",a,HV,"Track [power_in.bypass_relay-coil2] on F.Cu, length 3.9598 mm",power_in.bypass_relay-coil2,SELV,HV-SELV
clearance,Default routing,0.116,0.2,"Track [a] on F.Cu, length 0.9899 mm",a,HV,"Track [power_in.bypass_relay-coil2] on F.Cu, length 3.9598 mm",power_in.bypass_relay-coil2,SELV,HV-SELV
clearance,Default routing,0.116,0.2,"Track [a] on F.Cu, length 2.9000 mm",a,HV,"Track [power_in.bypass_relay-coil2] on F.Cu, length 3.9598 mm",power_in.bypass_relay-coil2,SELV,HV-SELV
clearance,Default routing,0.021,0.2,"Track [power_in.bypass_relay-coil2] on F.Cu, length 23.6174 mm",power_in.bypass_relay-coil2,SELV,"Track [RTD_SDI] on F.Cu, length 5.5000 mm",RTD_SDI,SELV,SELV-SELV
clearance,Default routing,0.116,0.2,"Track [power_in.bypass_relay-coil2] on F.Cu, length 16.0000 mm",power_in.bypass_relay-coil2,SELV,"Track [RTD_SDI] on F.Cu, length 1.8385 mm",RTD_SDI,SELV,SELV-SELV
clearance,Default routing,0.116,0.2,"Track [power_in.bypass_relay-coil2] on F.Cu, length 23.6174 mm",power_in.bypass_relay-coil2,SELV,"Track [RTD_SDI] on F.Cu, length 15.2735 mm",RTD_SDI,SELV,SELV-SELV
clearance,Default routing,0.116,0.2,"Track [RTD_SDI] on F.Cu, length 14.9907 mm",RTD_SDI,SELV,"Track [power_in.bypass_relay-coil2] on F.Cu, length 1.9000 mm",power_in.bypass_relay-coil2,SELV,SELV-SELV
