 time                     v(gate)                 
 9.00071341135708761e-06  0.00000000000000000e+00 
 9.00171341135708811e-06  0.00000000000000000e+00 
 9.00271341135708861e-06  0.00000000000000000e+00 
 9.00371341135708911e-06  0.00000000000000000e+00 
 9.00471341135708960e-06  0.00000000000000000e+00 
 9.00571341135709010e-06  0.00000000000000000e+00 
 9.00671341135709060e-06  0.00000000000000000e+00 
 9.00771341135709110e-06  0.00000000000000000e+00 
 9.00871341135709160e-06  0.00000000000000000e+00 
 9.00971341135709210e-06  0.00000000000000000e+00 
 9.01071341135709260e-06  0.00000000000000000e+00 
 9.01171341135709309e-06  0.00000000000000000e+00 
 9.01271341135709359e-06  0.00000000000000000e+00 
 9.01371341135709409e-06  0.00000000000000000e+00 
 9.01471341135709459e-06  0.00000000000000000e+00 
 9.01571341135709509e-06  0.00000000000000000e+00 
 9.01671341135709559e-06  0.00000000000000000e+00 
 9.01771341135709609e-06  0.00000000000000000e+00 
 9.01871341135709659e-06  0.00000000000000000e+00 
 9.01971341135709708e-06  0.00000000000000000e+00 
 9.02071341135709758e-06  0.00000000000000000e+00 
 9.02171341135709808e-06  0.00000000000000000e+00 
 9.02271341135709858e-06  0.00000000000000000e+00 
 9.02371341135709908e-06  0.00000000000000000e+00 
 9.02471341135709958e-06  0.00000000000000000e+00 
 9.02571341135710008e-06  0.00000000000000000e+00 
 9.02671341135710057e-06  0.00000000000000000e+00 
 9.02771341135710107e-06  0.00000000000000000e+00 
 9.02871341135710157e-06  0.00000000000000000e+00 
 9.02971341135710207e-06  0.00000000000000000e+00 
 9.03071341135710257e-06  0.00000000000000000e+00 
 9.03171341135710307e-06  0.00000000000000000e+00 
 9.03271341135710357e-06  0.00000000000000000e+00 
 9.03371341135710407e-06  0.00000000000000000e+00 
 9.03471341135710456e-06  0.00000000000000000e+00 
 9.03571341135710506e-06  0.00000000000000000e+00 
 9.03671341135710556e-06  0.00000000000000000e+00 
 9.03771341135710606e-06  0.00000000000000000e+00 
 9.03871341135710656e-06  0.00000000000000000e+00 
 9.03971341135710706e-06  0.00000000000000000e+00 
 9.04071341135710756e-06  0.00000000000000000e+00 
 9.04171341135710805e-06  0.00000000000000000e+00 
 9.04271341135710855e-06  0.00000000000000000e+00 
 9.04371341135710905e-06  0.00000000000000000e+00 
 9.04471341135710955e-06  0.00000000000000000e+00 
 9.04571341135711005e-06  0.00000000000000000e+00 
 9.04671341135711055e-06  0.00000000000000000e+00 
 9.04771341135711105e-06  0.00000000000000000e+00 
 9.04871341135711154e-06  0.00000000000000000e+00 
 9.04971341135711204e-06  0.00000000000000000e+00 
 9.05071341135711254e-06  0.00000000000000000e+00 
 9.05171341135711304e-06  0.00000000000000000e+00 
 9.05271341135711354e-06  0.00000000000000000e+00 
 9.05371341135711404e-06  0.00000000000000000e+00 
 9.05471341135711454e-06  0.00000000000000000e+00 
 9.05571341135711504e-06  0.00000000000000000e+00 
 9.05671341135711553e-06  0.00000000000000000e+00 
 9.05771341135711603e-06  0.00000000000000000e+00 
 9.05871341135711653e-06  0.00000000000000000e+00 
 9.05971341135711703e-06  0.00000000000000000e+00 
 9.06071341135711753e-06  0.00000000000000000e+00 
 9.06171341135711803e-06  0.00000000000000000e+00 
 9.06271341135711853e-06  0.00000000000000000e+00 
 9.06371341135711902e-06  0.00000000000000000e+00 
 9.06471341135711952e-06  0.00000000000000000e+00 
 9.06571341135712002e-06  0.00000000000000000e+00 
 9.06671341135712052e-06  0.00000000000000000e+00 
 9.06771341135712102e-06  0.00000000000000000e+00 
 9.06871341135712152e-06  0.00000000000000000e+00 
 9.06971341135712202e-06  0.00000000000000000e+00 
 9.07071341135712252e-06  0.00000000000000000e+00 
 9.07171341135712301e-06  0.00000000000000000e+00 
 9.07271341135712351e-06  0.00000000000000000e+00 
 9.07371341135712401e-06  0.00000000000000000e+00 
 9.07471341135712451e-06  0.00000000000000000e+00 
 9.07571341135712501e-06  0.00000000000000000e+00 
 9.07671341135712551e-06  0.00000000000000000e+00 
 9.07771341135712601e-06  0.00000000000000000e+00 
 9.07871341135712650e-06  0.00000000000000000e+00 
 9.07971341135712700e-06  0.00000000000000000e+00 
 9.08071341135712750e-06  0.00000000000000000e+00 
 9.08171341135712800e-06  0.00000000000000000e+00 
 9.08271341135712850e-06  0.00000000000000000e+00 
 9.08371341135712900e-06  0.00000000000000000e+00 
 9.08471341135712950e-06  0.00000000000000000e+00 
 9.08571341135712999e-06  0.00000000000000000e+00 
 9.08671341135713049e-06  0.00000000000000000e+00 
 9.08771341135713099e-06  0.00000000000000000e+00 
 9.08871341135713149e-06  0.00000000000000000e+00 
 9.08971341135713199e-06  0.00000000000000000e+00 
 9.09071341135713249e-06  0.00000000000000000e+00 
 9.09171341135713299e-06  0.00000000000000000e+00 
 9.09271341135713349e-06  0.00000000000000000e+00 
 9.09371341135713398e-06  0.00000000000000000e+00 
 9.09471341135713448e-06  0.00000000000000000e+00 
 9.09571341135713498e-06  0.00000000000000000e+00 
 9.09671341135713548e-06  0.00000000000000000e+00 
 9.09771341135713598e-06  0.00000000000000000e+00 
 9.09871341135713648e-06  0.00000000000000000e+00 
 9.09971341135713698e-06  0.00000000000000000e+00 
 9.10071341135713747e-06  0.00000000000000000e+00 
 9.10171341135713797e-06  0.00000000000000000e+00 
 9.10271341135713847e-06  0.00000000000000000e+00 
 9.10371341135713897e-06  0.00000000000000000e+00 
 9.10471341135713947e-06  0.00000000000000000e+00 
 9.10571341135713997e-06  0.00000000000000000e+00 
 9.10671341135714047e-06  0.00000000000000000e+00 
 9.10771341135714096e-06  0.00000000000000000e+00 
 9.10871341135714146e-06  0.00000000000000000e+00 
 9.10971341135714196e-06  0.00000000000000000e+00 
 9.11071341135714246e-06  0.00000000000000000e+00 
 9.11171341135714296e-06  0.00000000000000000e+00 
 9.11271341135714346e-06  0.00000000000000000e+00 
 9.11371341135714396e-06  0.00000000000000000e+00 
 9.11471341135714446e-06  0.00000000000000000e+00 
 9.11571341135714495e-06  0.00000000000000000e+00 
 9.11671341135714545e-06  0.00000000000000000e+00 
 9.11771341135714595e-06  0.00000000000000000e+00 
 9.11871341135714645e-06  0.00000000000000000e+00 
 9.11971341135714695e-06  0.00000000000000000e+00 
 9.12071341135714745e-06  0.00000000000000000e+00 
 9.12171341135714795e-06  0.00000000000000000e+00 
 9.12271341135714844e-06  0.00000000000000000e+00 
 9.12371341135714894e-06  0.00000000000000000e+00 
 9.12471341135714944e-06  0.00000000000000000e+00 
 9.12571341135714994e-06  0.00000000000000000e+00 
 9.12671341135715044e-06  0.00000000000000000e+00 
 9.12771341135715094e-06  0.00000000000000000e+00 
 9.12871341135715144e-06  0.00000000000000000e+00 
 9.12971341135715194e-06  0.00000000000000000e+00 
 9.13071341135715243e-06  0.00000000000000000e+00 
 9.13171341135715293e-06  0.00000000000000000e+00 
 9.13271341135715343e-06  0.00000000000000000e+00 
 9.13371341135715393e-06  0.00000000000000000e+00 
 9.13471341135715443e-06  0.00000000000000000e+00 
 9.13571341135715493e-06  0.00000000000000000e+00 
 9.13671341135715543e-06  0.00000000000000000e+00 
 9.13771341135715592e-06  0.00000000000000000e+00 
 9.13871341135715642e-06  0.00000000000000000e+00 
 9.13971341135715692e-06  0.00000000000000000e+00 
 9.14071341135715742e-06  0.00000000000000000e+00 
 9.14171341135715792e-06  0.00000000000000000e+00 
 9.14271341135715842e-06  0.00000000000000000e+00 
 9.14371341135715892e-06  0.00000000000000000e+00 
 9.14471341135715941e-06  0.00000000000000000e+00 
 9.14571341135715991e-06  0.00000000000000000e+00 
 9.14671341135716041e-06  0.00000000000000000e+00 
 9.14771341135716091e-06  0.00000000000000000e+00 
 9.14871341135716141e-06  0.00000000000000000e+00 
 9.14971341135716191e-06  0.00000000000000000e+00 
 9.15071341135716241e-06  0.00000000000000000e+00 
 9.15171341135716291e-06  0.00000000000000000e+00 
 9.15271341135716340e-06  0.00000000000000000e+00 
 9.15371341135716390e-06  0.00000000000000000e+00 
 9.15471341135716440e-06  0.00000000000000000e+00 
 9.15571341135716490e-06  0.00000000000000000e+00 
 9.15671341135716540e-06  0.00000000000000000e+00 
 9.15771341135716590e-06  0.00000000000000000e+00 
 9.15871341135716640e-06  0.00000000000000000e+00 
 9.15971341135716689e-06  0.00000000000000000e+00 
 9.16071341135716739e-06  0.00000000000000000e+00 
 9.16171341135716789e-06  0.00000000000000000e+00 
 9.16271341135716839e-06  0.00000000000000000e+00 
 9.16371341135716889e-06  0.00000000000000000e+00 
 9.16471341135716939e-06  0.00000000000000000e+00 
 9.16571341135716989e-06  0.00000000000000000e+00 
 9.16671341135717039e-06  0.00000000000000000e+00 
 9.16771341135717088e-06  0.00000000000000000e+00 
 9.16871341135717138e-06  0.00000000000000000e+00 
 9.16971341135717188e-06  0.00000000000000000e+00 
 9.17071341135717238e-06  0.00000000000000000e+00 
 9.17171341135717288e-06  0.00000000000000000e+00 
 9.17271341135717338e-06  0.00000000000000000e+00 
 9.17371341135717388e-06  0.00000000000000000e+00 
 9.17471341135717437e-06  0.00000000000000000e+00 
 9.17571341135717487e-06  0.00000000000000000e+00 
 9.17671341135717537e-06  0.00000000000000000e+00 
 9.17771341135717587e-06  0.00000000000000000e+00 
 9.17871341135717637e-06  0.00000000000000000e+00 
 9.17971341135717687e-06  0.00000000000000000e+00 
 9.18071341135717737e-06  0.00000000000000000e+00 
 9.18171341135717786e-06  0.00000000000000000e+00 
 9.18271341135717836e-06  0.00000000000000000e+00 
 9.18371341135717886e-06  0.00000000000000000e+00 
 9.18471341135717936e-06  0.00000000000000000e+00 
 9.18571341135717986e-06  0.00000000000000000e+00 
 9.18671341135718036e-06  0.00000000000000000e+00 
 9.18771341135718086e-06  0.00000000000000000e+00 
 9.18871341135718136e-06  0.00000000000000000e+00 
 9.18971341135718185e-06  0.00000000000000000e+00 
 9.19071341135718235e-06  0.00000000000000000e+00 
 9.19171341135718285e-06  0.00000000000000000e+00 
 9.19271341135718335e-06  0.00000000000000000e+00 
 9.19371341135718385e-06  0.00000000000000000e+00 
 9.19471341135718435e-06  0.00000000000000000e+00 
 9.19571341135718485e-06  0.00000000000000000e+00 
 9.19671341135718534e-06  0.00000000000000000e+00 
 9.19771341135718584e-06  0.00000000000000000e+00 
 9.19871341135718634e-06  0.00000000000000000e+00 
 9.19971341135718684e-06  0.00000000000000000e+00 
 9.20071341135718734e-06  0.00000000000000000e+00 
 9.20171341135718784e-06  0.00000000000000000e+00 
 9.20271341135718834e-06  0.00000000000000000e+00 
 9.20371341135718883e-06  0.00000000000000000e+00 
 9.20471341135718933e-06  0.00000000000000000e+00 
 9.20571341135718983e-06  0.00000000000000000e+00 
 9.20671341135719033e-06  0.00000000000000000e+00 
 9.20771341135719083e-06  0.00000000000000000e+00 
 9.20871341135719133e-06  0.00000000000000000e+00 
 9.20971341135719183e-06  0.00000000000000000e+00 
 9.21071341135719233e-06  0.00000000000000000e+00 
 9.21171341135719282e-06  0.00000000000000000e+00 
 9.21271341135719332e-06  0.00000000000000000e+00 
 9.21371341135719382e-06  0.00000000000000000e+00 
 9.21471341135719432e-06  0.00000000000000000e+00 
 9.21571341135719482e-06  0.00000000000000000e+00 
 9.21671341135719532e-06  0.00000000000000000e+00 
 9.21771341135719582e-06  0.00000000000000000e+00 
 9.21871341135719631e-06  0.00000000000000000e+00 
 9.21971341135719681e-06  0.00000000000000000e+00 
 9.22071341135719731e-06  0.00000000000000000e+00 
 9.22171341135719781e-06  0.00000000000000000e+00 
 9.22271341135719831e-06  0.00000000000000000e+00 
 9.22371341135719881e-06  0.00000000000000000e+00 
 9.22471341135719931e-06  0.00000000000000000e+00 
 9.22571341135719981e-06  0.00000000000000000e+00 
 9.22671341135720030e-06  0.00000000000000000e+00 
 9.22771341135720080e-06  0.00000000000000000e+00 
 9.22871341135720130e-06  0.00000000000000000e+00 
 9.22971341135720180e-06  0.00000000000000000e+00 
 9.23071341135720230e-06  0.00000000000000000e+00 
 9.23171341135720280e-06  0.00000000000000000e+00 
 9.23271341135720330e-06  0.00000000000000000e+00 
 9.23371341135720379e-06  0.00000000000000000e+00 
 9.23471341135720429e-06  0.00000000000000000e+00 
 9.23571341135720479e-06  0.00000000000000000e+00 
 9.23671341135720529e-06  0.00000000000000000e+00 
 9.23771341135720579e-06  0.00000000000000000e+00 
