role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)
LEFT	1	22932240	5.01492901125837554e-1	8.97006036553023165e1	-8.48426633851616430e-1	-1.47153347244185451e0	3.82326895503100900e2	3.82342196150086693e2	1.47152070583145678e0	3.82371085903049448e2	3.83541992094045384e2	-1.32927492270053920e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.47634409762232943e0	1.95394690745225774e0
GROUP	1	22932241	5.01492901125837665e-1	8.97006036542752270e1	-8.48426634886862985e-1	-1.47153343049092422e0	3.82326895503100957e2	3.82342196150086750e2	1.47152070568966176e0	3.82371085903047288e2	3.83541992094038505e2	-1.32927492812908933e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.47634409762233032e0	1.95394690745164579e0
GROUP	1	22932242	5.01492901125837665e-1	8.97006036551240982e1	-8.48426634037991789e-1	-1.47153339619916368e0	3.82326895503100957e2	3.82342196150086750e2	1.47152070561695636e0	3.82371085903046264e2	3.83541992094035095e2	-1.32927493087084824e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.47634409762233076e0	1.95394690745133182e0
RIGHT	1	22932243	5.01492901125837776e-1	8.97006036580913673e1	-8.48426631074786997e-1	-1.47153340282444445e0	3.82326895503100786e2	3.82342196150086579e2	1.47152070552469483e0	3.82371085903045127e2	3.83541992094030718e2	-1.32927493444762748e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.47634409762233121e0	1.95394690745093302e0
LEFT	2	23210304	5.06852796152744478e-1	8.90424597269071683e1	-8.36581830734260734e-1	-1.22887033371082754e0	3.83778791345279728e2	3.83794150096850899e2	1.22885956686619191e0	3.83819492613306238e2	3.84981447009069257e2	-2.13520148291824155e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.47504962084005253e0	1.95576281879766078e0
GROUP	2	23210305	5.06852796152744589e-1	8.90424597295569953e1	-8.36581828080355194e-1	-1.22887031142305236e0	3.83778791345279728e2	3.83794150096850899e2	1.22885956667382246e0	3.83819492613303112e2	3.84981447009058854e2	-2.13520149066582830e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.47504962084005298e0	1.95576281879658809e0
GROUP	2	23210306	5.06852796152744589e-1	8.90424597298615623e1	-8.36581827775788156e-1	-1.22887029281966376e0	3.83778791345279728e2	3.83794150096850899e2	1.22885956659309747e0	3.83819492613301861e2	3.84981447009054421e2	-2.13520149396030840e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.47504962084005342e0	1.95576281879613867e0
RIGHT	2	23210307	5.06852796152744700e-1	8.90424597290532347e1	-8.36581828580023057e-1	-1.22887034932190575e0	3.83778791345279842e2	3.83794150096851013e2	1.22885956648494044e0	3.83819492613300326e2	3.84981447009048509e2	-2.13520149830545359e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.47504962084005431e0	1.95576281879553693e0
LEFT	3	23210701	5.06860520426319461e-1	8.86229612354204903e1	-8.36518386382365975e-1	-1.22764046780539937e0	3.83777088435779376e2	3.83792447119200460e2	1.22762966569385412e0	3.83817762743494029e2	3.84979668583976832e2	-7.78806404147234318e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.47503496850938065e0	1.94808017212046880e0
GROUP	3	23210702	5.06860520426319572e-1	8.86229612377561438e1	-8.36518384038527074e-1	-1.22764047583549951e0	3.83777088435779433e2	3.83792447119200517e2	1.22762966553324016e0	3.83817762743491755e2	3.84979668583968078e2	-7.78806411670923496e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.47503496850938109e0	1.94808017211958817e0
