role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)	v(xu.raw)	v(xu.pwm_hold)	v(pwm)	v(pwm_input)	v(xdriver.driver_req)	v(xdriver.drv_delay)	v(xu.phase)	v(xu.blank)	v(isense)	v(xu.ov)	v(xu.fault)	v(xu.pcl_hold)	v(xu.pcl_request)	v(disable)	v(xu.m1)	v(xu.m2)
GROUP	3	23027416	5.06790866072615143e-1	9.22832297646523614e1	-9.31837890421149950e-1	-3.80115949521496210e0	3.79599672648632577e2	3.79629641043841616e2	3.80114985018871376e0	3.79693107306456398e2	3.80921673321563560e2	-4.70073018109412130e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.87744824854766046e0	2.56978703672075914e0	5.00000000000000000e0	8.09856071093406626e-1	2.42956821328021988e0	2.20000271281279769e0	1.49999999999999716e1	4.49609484960436943e-7	1.92356756123501782e-6	9.73242938009308131e-27	-4.15720984357267481e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764473671e-1	4.99641301795417769e-1	1.37304583288086768e0
GROUP	3	23027417	5.06790866072615143e-1	9.22832297653283717e1	-9.31837889745139591e-1	-3.80115950559051763e0	3.79599672648632634e2	3.79629641043841673e2	3.80114985012381057e0	3.79693107306455545e2	3.80921673321561343e2	-4.70073020074075913e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.87744824854766001e0	2.56978703672036168e0	5.00000000000000000e0	8.09856071093406626e-1	2.42956821328021988e0	2.20000271281279769e0	1.49999999999999716e1	4.81754211286390957e-7	1.92356756123501782e-6	9.73203833007643170e-27	-4.15720984350777950e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764474587e-1	4.99641301795417603e-1	1.37304583288086701e0
GROUP	3	23027418	5.06790866072615143e-1	9.22832297650007547e1	-9.31837890072756636e-1	-3.80115951092793081e0	3.79599672648632577e2	3.79629641043841616e2	3.80114985003713191e0	3.79693107306454351e2	3.80921673321558330e2	-4.70073022603184495e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.87744824854765957e0	2.56978703671983144e0	5.00000000000000000e0	8.09856071093406626e-1	2.42956821328021988e0	2.20000271281279769e0	1.49999999999999716e1	5.24683151932273796e-7	1.92356756123501782e-6	9.73151611143407928e-27	-4.15720984342111202e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764475253e-1	4.99641301795417492e-1	1.37304583288086657e0
RIGHT	3	23027419	5.06790866072615254e-1	9.22832297643339103e1	-9.31837890731543439e-1	-3.80115949713533885e0	3.79599672648632634e2	3.79629641043841673e2	3.80114984986377680e0	3.79693107306452134e2	3.80921673321552646e2	-4.70073027449986979e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.87744824854765868e0	2.56978703671877096e0	5.00000000000000000e0	8.09856626204918939e-1	2.42956987861475682e0	2.20000422079289004e0	1.49999999999999716e1	6.10541032821953676e-7	1.92356756134604012e-6	9.73047175821346822e-27	-4.15720984324777706e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764475572e-1	4.99641301795417214e-1	1.37304583288086546e0
LEFT	4	23438534	5.15094086205533208e-1	-2.11054193744502250e0	9.27084047145485641e1	3.92032750938795971e0	3.80059112395998341e2	3.80089117062766377e2	3.92031797787668257e0	3.80154357687190839e2	3.81385233169847595e2	-1.59119043333684886e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.87850891563348732e0	2.61194435546350290e0	5.00000000000000000e0	8.09853850647357376e-1	2.42956155194207213e0	2.19999668089242784e0	1.49999999999999716e1	-6.80424146123584336e-7	1.95332350516608244e-6	1.20359671097116385e-25	-4.27506056170401244e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764486453e-1	4.99973290593281550e-1	1.37427123863897815e0
GROUP	4	23438535	5.15094086205533319e-1	-2.11054193725437811e0	9.27084047147351953e1	3.92032750820425235e0	3.80059112395998682e2	3.80089117062766718e2	3.92031797768644763e0	3.80154357687188337e2	3.81385233169841172e2	-1.59119043785803765e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.87850891563348776e0	2.61194435546232784e0	5.00000000000000000e0	8.09854405758869689e-1	2.42956321727660907e0	2.19999818887252019e0	1.49999999999999716e1	-5.85849080164381056e-7	1.95332350527710474e-6	1.20345443157613581e-25	-4.27506056151378683e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764486647e-1	4.99973290593281716e-1	1.37427123863897860e0
GROUP	4	23438536	5.15094086205533319e-1	-2.11054193838762050e0	9.27084047136019507e1	3.92032750617443071e0	3.80059112395998682e2	3.80089117062766718e2	3.92031797760643697e0	3.80154357687187428e2	3.81385233169838671e2	-1.59119043955189415e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.87850891563348732e0	2.61194435546183268e0	5.00000000000000000e0	8.09854405758869689e-1	2.42956321727660907e0	2.19999818887252019e0	1.49999999999999716e1	-5.46071811811569872e-7	1.95332350527710474e-6	1.20339459539805913e-25	-4.27506056143377930e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764486938e-1	4.99973290593281550e-1	1.37427123863897793e0
RIGHT	4	23438537	5.15094086205533430e-1	-2.11054193618795383e0	9.27084047157976272e1	3.92032750777292449e0	3.80059112395998739e2	3.80089117062766775e2	3.92031797749963218e0	3.80154357687186121e2	3.81385233169835260e2	-1.59119044192766402e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.87850891563348732e0	2.61194435546117143e0	5.00000000000000000e0	8.09854960870382001e-1	2.42956488261114600e0	2.19999969685261254e0	1.49999999999999716e1	-4.92974179014311381e-7	1.95332350538812705e-6	1.20331472628849207e-25	-4.27506056132697862e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764486730e-1	4.99973290593281605e-1	1.37427123863897815e0
LEFT	5	23439720	5.15117296860298501e-1	-2.08505674894928106e0	9.14987206741892436e1	3.84304031160644399e0	3.80050515671584208e2	3.80080519659663480e2	3.84303067455387160e0	3.80144613731532047e2	3.81373995337997087e2	-6.19918475169953247e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.87842730614191300e0	2.58093149899169028e0	5.00000000000000000e0	8.09855515981894314e-1	2.42956654794568294e0	2.20000120483270534e0	1.49999999999999716e1	2.54340844972396554e-7	1.92743803639761069e-6	5.33030763259817554e-27	-4.19921560088436507e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764475434e-1	4.99947746822418770e-1	1.37417693447028544e0
GROUP	5	23439721	5.15117296860298612e-1	-2.08505674829204590e0	9.14987206748384381e1	3.84304031179857475e0	3.80050515671584435e2	3.80080519659663707e2	3.84303067439985879e0	3.80144613731530058e2	3.81373995337991914e2	-6.19918479428244100e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.87842730614191344e0	2.58093149899075325e0	5.00000000000000000e0	8.09856071093406626e-1	2.42956821328021988e0	2.20000271281279769e0	1.49999999999999716e1	3.30593525767111921e-7	1.92743803650863299e-6	5.32979959397229094e-27	-4.19921560073036673e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764475059e-1	4.99947746822418937e-1	1.37417693447028588e0
GROUP	5	23439722	5.15117296860298612e-1	-2.08505674969591404e0	9.14987206734345762e1	3.84304031409322988e0	3.80050515671584435e2	3.80080519659663707e2	3.84303067431852963e0	3.80144613731528977e2	3.81373995337989186e2	-6.19918481689208394e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.87842730614191389e0	2.58093149899025809e0	5.00000000000000000e0	8.09856071093406626e-1	2.42956821328021988e0	2.20000271281279769e0	1.49999999999999716e1	3.70860105843441935e-7	1.92743803650863299e-6	5.32953133470387106e-27	-4.19921560064904498e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764474809e-1	4.99947746822419103e-1	1.37417693447028633e0
