previous_time_s	2.56990362212805523e-1
current_time_s	2.56990362212805523e-1
previous_index	9736222
current_index	9736223
missing_mask	0
xu.raw	5.00000000000000000e0
xu.pwm_hold	8.06666955455170864e-1
pwm	2.42000086636551259e0
pwm_input	2.20000078760501117e0
drv_req	1.50000000000000000e1
drv	-1.05338461270755833e-7
xu.phase	1.97273740915049345e-6
xu.blank	-1.15369873878500366e-17
isense	-7.02222824031423498e-2
xu.ov	4.99999999499999936e-9
xu.fault	0.00000000000000000e0
xu.pcl_hold	0.00000000000000000e0
xu.pcl_request	0.00000000000000000e0
disable	1.03568513062932382e-1
xu.m1	5.89441756154374552e-1
xu.m2	1.72443033782566202e0
