runner_wall_s	case	tracked_wall_s	sim_s	percent	sim_per_wall	callbacks
5.008	LL05	wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid	duplicate_count	backwards_count
635.952	LL05	633.681446	2.51654133984237249e-1	38.716021	3.402985676053e-4	10373942	false	0	0
645.966	LL05	643.737166	2.54885662598079599e-1	39.213179	3.213622296907e-4	10539158	false	0	0
655.981	LL05	653.786254	2.58158214911673622e-1	39.716648	3.256566480057e-4	10700991	false	0	0
665.996	LL05	663.789366	2.61497415085960805e-1	40.230372	3.338161088194e-4	10861640	false	0	0
676.010	LL05	673.795068	2.64718714253128651e-1	40.725956	3.219463496047e-4	11026111	false	0	0
686.025	LL05	683.842527	2.68159608229136759e-1	41.255324	3.424640972417e-4	11185461	false	0	0
696.039	LL05	693.942316	2.71348571040051334e-1	41.745934	3.157454923447e-4	11347700	false	0	0
706.054	LL05	704.023768	2.74370461758319140e-1	42.210840	2.997475741505e-4	11499355	false	0	0
716.069	LL05	714.031685	2.77601284401734982e-1	42.707890	3.228266676511e-4	11650954	false	0	0
726.083	LL05	724.051844	2.80658681141571054e-1	43.178259	3.051245923881e-4	11807832	false	0	0
736.099	LL05	734.083396	2.83881787019555909e-1	43.674121	3.212968187101e-4	11960464	false	0	0
746.116	LL05	744.167228	2.86982791895722678e-1	44.151199	3.075224767219e-4	12114530	false	0	0
756.131	LL05	754.268059	2.89986632604363082e-1	44.613328	2.973854908206e-4	12268923	false	0	0
766.146	LL05	764.358220	2.93299596993964073e-1	45.123015	3.283361330343e-4	12421850	false	0	0
776.162	LL05	774.381433	2.96308282435456871e-1	45.585890	3.001717429652e-4	12576052	false	0	0
786.177	LL05	784.470282	2.99309886354226840e-1	46.047675	2.975169930527e-4	12726741	false	0	0
796.192	LL05	794.502464	3.02502944885400415e-1	46.538915	3.182815713002e-4	12877538	false	0	0
806.206	LL05	804.598977	3.05568251796074386e-1	47.010500	3.036005548276e-4	13034679	false	0	0
816.221	LL05	814.689912	3.08744324551268101e-1	47.499127	3.147451354058e-4	13187741	false	0	0
826.236	LL05	824.706652	3.11807094013132058e-1	47.970322	3.057650750562e-4	13339537	false	0	0
836.253	LL05	834.718233	3.14764684522380878e-1	48.425336	2.954169371961e-4	13492412	false	0	0
846.268	LL05	844.795097	3.18017140874202464e-1	48.925714	3.227647469790e-4	13644070	false	0	0
856.281	LL05	854.898347	3.20966360593408773e-1	49.379440	2.919080239957e-4	13795561	false	0	0
866.294	LL05	864.905068	3.23902159902087594e-1	49.831102	2.933827299986e-4	13946140	false	0	0
876.309	LL05	874.940617	3.27142145772968795e-1	50.329561	3.228509045856e-4	14098092	false	0	0
886.324	LL05	884.981705	3.30153840451525293e-1	50.792899	2.999370913437e-4	14253229	false	0	0
896.339	LL05	894.981995	3.33235376840529562e-1	51.266981	3.081447052616e-4	14405399	false	0	0
906.355	LL05	905.055176	3.36333431997586585e-1	51.743605	3.075547824138e-4	14555898	false	0	0
916.372	LL05	915.065115	3.39256397253331232e-1	52.193292	2.920062895730e-4	14706760	false	0	0
926.388	LL05	925.100112	3.42430310413470662e-1	52.681586	3.162844351440e-4	14857293	false	0	0
936.399	LL05	935.199424	3.45458216851726674e-1	53.147418	2.998131234838e-4	15010092	false	0	0
946.413	LL05	945.201820	3.48354467883428609e-1	53.592995	2.895557256183e-4	15159612	false	0	0
956.428	LL05	955.270333	3.51584365468293025e-1	54.089902	3.207919301127e-4	15310057	false	0	0
966.443	LL05	965.291915	3.54562345454776384e-1	54.548053	2.971566763278e-4	15463579	false	0	0
976.458	LL05	975.321817	3.57571924884456438e-1	55.011065	3.000607051981e-4	15616030	false	0	0
986.473	LL05	985.405461	3.60694224637523930e-1	55.491419	3.096400146274e-4	15763477	false	0	0
996.488	LL05	995.411807	3.63628677710408299e-1	55.942873	2.932592196506e-4	15915325	false	0	0
1006.503	LL05	1005.498561	3.66675716345664537e-1	56.411649	3.020831462352e-4	16065222	false	0	0
1016.518	LL05	1015.588523	3.69743037427611443e-1	56.883544	3.039972915603e-4	16214376	false	0	0
1026.533	LL05	1025.682248	3.72716971689407872e-1	57.341073	2.946319975934e-4	16368445	false	0	0
1036.550	LL05	1035.684819	3.75790403705449749e-1	57.813908	3.072642116570e-4	16513424	false	0	0
1046.567	LL05	1045.729528	3.78755608225444573e-1	58.270094	2.952006419292e-4	16663207	false	0	0
1056.581	LL05	1055.741908	3.81776359674574628e-1	58.734825	3.017016119186e-4	16819307	false	0	0
1066.597	LL05	1065.842940	3.84954041488354159e-1	59.223699	3.145898175334e-4	16966973	false	0	0
1076.614	LL05	1075.901032	3.87911376392860274e-1	59.678673	2.940254634555e-4	17119682	false	0	0
