candidate	fan_mpn	fan_count	nominal_rail_v	terminal_low_v	terminal_high_v	startup_a_max	stall_a_max	fan_start_ms_max	tach_window_hz	installed_flow_cfm	installed_pressure_pa	blocked_inlet_detection_ms	sensor_error_c	sensor_lag_ms	trip_window_ms	j1_low_v	j1_high_v	j1_off_leak_ua	joined_stop_ms	evidence_id
GBU395-SUNON2	MF80251V1-1000U-G99	2	12	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
GBU392-SANYO1	9RA1212E1001	1	12	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
GBJ392-SANYO1	9RA1212E1001	1	12	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN
