HEADER  time                     v(acsrc)                 v(acn)                   i(Vac)                   v(load)                  v(vb)                    i(Lboost)                v(vd)                    v(sw)                    v(gate)                  v(q)                     v(en)                    v(fault)                 v(vcomp)                 v(icomp)                
FIRST_NONINCREASING previous_line=9736224 previous_row=9736223 previous_time_text=2.56990362212805523e-01 previous_time_f64=2.56990362212805523168e-1 previous_bits=0x3fd07287b445d61f current_line=9736225 current_row=9736224 current_time_text=2.56990362212805523e-01 current_time_f64=2.56990362212805523168e-1 current_bits=0x3fd07287b445d61f delta_f64=0.00000000000000000000e0 ulp_current=5.55111512312578270212e-17 ulp_previous=5.55111512312578270212e-17
BEFORE32
line=9736193 row=9736192 time_text=2.56990360050472100e-01 time_f64=2.56990360050472099740e-1 bits=0x3fd07287b1f3756f dt_from_prev=2.21387188026334058577e-8 raw= 2.56990360050472100e-01  8.12836999698989331e+01 -1.01252189997819642e+00 -6.72780582355736634e+00  3.19547244073858622e+02  3.19572471487864391e+02  6.72779757425290725e+00  3.19678221738551997e+02  3.20956739314010349e+02 -6.99118010800453451e-06  5.00000000000000000e+00  5.00000000000000000e+00  0.00000000000000000e+00  3.16435064106022779e+00  3.12792322677277834e+00 
line=9736194 row=9736193 time_text=2.56990362051472132e-01 time_f64=2.56990362051472132077e-1 bits=0x3fd07287b4197d4b dt_from_prev=2.00100003233671941416e-9 raw= 2.56990362051472132e-01  8.12836575527343683e+01 -1.01245235807910205e+00 -6.72510704115841929e+00  3.19547248867217775e+02  3.19572476281602007e+02  6.72509879185050874e+00  3.19678189062613342e+02  3.20956643447176418e+02 -7.76893586729582546e-06  5.00000000000000000e+00  5.00000000000000000e+00  0.00000000000000000e+00  3.16435065732852205e+00  3.12790410053156664e+00 
line=9736195 row=9736194 time_text=2.56990362053195975e-01 time_f64=2.56990362053195975367e-1 bits=0x3fd07287b419f699 dt_from_prev=1.72384329033548056032e-12 raw= 2.56990362053195975e-01  8.12836575161952197e+01 -1.01245229816818494e+00 -6.72510471621152561e+00  3.19547248871346255e+02  3.19572476285730772e+02  6.72509646690465424e+00  3.19678189034394279e+02  3.20956646003433491e+02 -7.74520004223922743e-06  5.00000000000000000e+00  5.00000000000000000e+00  0.00000000000000000e+00  3.16435065734253662e+00  3.12790408403466058e+00 
line=9736196 row=9736195 time_text=2.56990362056643606e-01 time_f64=2.56990362056643606437e-1 bits=0x3fd07287b41ae934 dt_from_prev=3.44763106951972986280e-12 raw= 2.56990362056643606e-01  8.12836574431157288e+01 -1.01245217834544121e+00 -6.72510006631267121e+00  3.19547248879603046e+02  3.19572476293988245e+02  6.72509181701293102e+00  3.19678188978000264e+02  3.20956649191895508e+02 -7.71552054114555578e-06  5.00000000000000000e+00  5.00000000000000000e+00  0.00000000000000000e+00  3.16435065737056576e+00  3.12790405104077962e+00 
line=9736197 row=9736196 time_text=2.56990362063538924e-01 time_f64=2.56990362063538924087e-1 bits=0x3fd07287b41cce6b dt_from_prev=6.89531765019069098344e-12 raw= 2.56990362063538924e-01  8.12836572969599302e+01 -1.01245193869885952e+00 -6.72509076653382198e+00  3.19547248896116741e+02  3.19572476310503248e+02  6.72508251722945527e+00  3.19678188865294715e+02  3.20956651966860477e+02 -7.68947040697824961e-06  5.00000000000000000e+00  5.00000000000000000e+00  0.00000000000000000e+00  3.16435065742662447e+00  3.12790398505260381e+00 
line=9736198 row=9736197 time_text=2.56990362071351897e-01 time_f64=2.56990362071351896578e-1 bits=0x3fd07287b41ef435 dt_from_prev=7.81297249119461412192e-12 raw= 2.56990362071351897e-01  8.12836571313540333e+01 -1.01245166715796131e+00 -6.72508022905402392e+00  3.19547248914828288e+02  3.19572476329216272e+02  6.72507197974418869e+00  3.19678188737637015e+02  3.20956653025890148e+02 -7.67923675229421225e-06  5.00000000000000000e+00  5.00000000000000000e+00  0.00000000000000000e+00  3.16435065749014477e+00  3.12790391028144343e+00 
line=9736199 row=9736198 time_text=2.56990362083323209e-01 time_f64=2.56990362083323209408e-1 bits=0x3fd07287b4223e9d dt_from_prev=1.19713128299281379441e-11 raw= 2.56990362083323209e-01  8.12836568776042014e+01 -1.01245125109339540e+00 -6.72506408316213022e+00  3.19547248943498630e+02  3.19572476357888888e+02  6.72505583385881511e+00  3.19678188542074508e+02  3.20956652926941274e+02 -7.67947683382651193e-06  5.00000000000000000e+00  5.00000000000000000e+00  0.00000000000000000e+00  3.16435065758747269e+00  3.12790379571321076e+00 
line=9736200 row=9736199 time_text=2.56990362103531045e-01 time_f64=2.56990362103531044813e-1 bits=0x3fd07287b427cc9d dt_from_prev=2.02078354050172492862e-11 raw= 2.56990362103531045e-01  8.12836564492714047e+01 -1.01245054876692109e+00 -6.72503682854736695e+00  3.19547248991894378e+02  3.19572476406288445e+02  6.72502857924090591e+00  3.19678188211968404e+02  3.20956652339351706e+02 -7.68377076269308434e-06  5.00000000000000000e+00  5.00000000000000000e+00  0.00000000000000000e+00  3.16435065775176483e+00  3.12790360231568254e+00 
line=9736201 row=9736200 time_text=2.56990362127943239e-01 time_f64=2.56990362127943239301e-1 bits=0x3fd07287b42e8278 dt_from_prev=2.44121944881214858469e-11 raw= 2.56990362127943239e-01  8.12836559318180747e+01 -1.01244970031815740e+00 -6.72500390350905874e+00  3.19547249050358687e+02  3.19572476464757358e+02  6.72499565420842238e+00  3.19678187813187151e+02  3.20956651322000539e+02 -7.69180060701758606e-06  5.00000000000000000e+00  5.00000000000000000e+00  0.00000000000000000e+00  3.16435065795023762e+00  3.12790336867483321e+00 
line=9736202 row=9736201 time_text=2.56990362176767573e-01 time_f64=2.56990362176767572766e-1 bits=0x3fd07287b43bee2d dt_from_prev=4.88243334650917404360e-11 raw= 2.56990362176767573e-01  8.12836548969227124e+01 -1.01244800341771679e+00 -6.72493805345076812e+00  3.19547249167286452e+02  3.19572476581694332e+02  6.72492980414810848e+00  3.19678187015608501e+02  3.20956649612826254e+02 -7.70484662257597250e-06  5.00000000000000000e+00  5.00000000000000000e+00  0.00000000000000000e+00  3.16435065834718143e+00  3.12790290137243199e+00 
line=9736203 row=9736202 time_text=2.56990362187728583e-01 time_f64=2.56990362187728582644e-1 bits=0x3fd07287b43ef17d dt_from_prev=1.09610098775192454923e-11 raw= 2.56990362187728583e-01  8.12836546645904434e+01 -1.01244762246422226e+00 -6.72492327015064806e+00  3.19547249193536402e+02  3.19572476607946385e+02  6.72491502084708603e+00  3.19678186836553493e+02  3.20956649113352228e+02 -7.70884529550001316e-06  5.00000000000000000e+00  5.00000000000000000e+00  0.00000000000000000e+00  3.16435065843629593e+00  3.12790279645950875e+00 
line=9736204 row=9736203 time_text=2.56990362209650658e-01 time_f64=2.56990362209650657910e-1 bits=0x3fd07287b444f81e dt_from_prev=2.19220752661897222424e-11 raw= 2.56990362209650658e-01  8.12836541999225233e+01 -1.01244686055638056e+00 -6.72489370354633653e+00  3.19547249246036188e+02  3.19572476660450320e+02  6.72488545424597728e+00  3.19678186478435407e+02  3.20956648384603000e+02 -7.71434339617887585e-06  5.00000000000000000e+00  5.00000000000000000e+00  0.00000000000000000e+00  3.16435065861452403e+00  3.12790258662948784e+00 
line=9736205 row=9736204 time_text=2.56990362211857726e-01 time_f64=2.56990362211857725772e-1 bits=0x3fd07287b445936d dt_from_prev=2.20706786180357994454e-12 raw= 2.56990362211857726e-01  8.12836541531405317e+01 -1.01244678384938425e+00 -6.72489072685807443e+00  3.19547249251321716e+02  3.19572476665736247e+02  6.72488247756127233e+00  3.19678186442382525e+02  3.20956648238551736e+02 -7.71556897878357090e-06  5.00000000000000000e+00  5.00000000000000000e+00  0.00000000000000000e+00  3.16435065863246656e+00  3.12790256550406554e+00 
