runner_wall_s	case	tracked_wall_s	sim_s	percent	sim_per_wall	callbacks
5.012	LL02	wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid	duplicate_count	backwards_count
15.038	LL02	10.031491	1.66070843374224036e-2	2.554936	1.655495155336e-3	242360	false	0	0
25.054	LL02	20.041813	2.55097643059197035e-2	3.924579	8.893499764534e-4	472014	false	0	0
30.067	LL02	30.041882	4.16474392622521242e-2	6.407298	1.613756394280e-3	695426	false	0	0
45.106	LL02	40.097202	5.74442137775545078e-2	8.837571	1.570986668291e-3	892230	false	0	0
55.129	LL02	50.194291	6.02819043023686552e-2	9.274139	2.810404668709e-4	1045930	false	0	0
65.153	LL02	60.217981	6.62641089018544682e-2	10.194478	5.968066374976e-4	1206110	false	0	0
75.179	LL02	70.303564	6.92830123156445710e-2	10.658925	2.993285912406e-4	1361021	false	0	0
85.204	LL02	80.373617	7.46374095654463304e-2	11.482678	5.317149245914e-4	1521048	false	0	0
95.231	LL02	90.478038	7.77029927385500530e-2	11.954307	3.033902743495e-4	1676868	false	0	0
105.256	LL02	100.566975	8.22419325198793377e-2	12.652605	4.498927779807e-4	1837886	false	0	0
115.281	LL02	110.603628	8.52548658188006930e-2	13.116133	3.001930298881e-4	1992342	false	0	0
125.306	LL02	120.657757	8.84918357025935992e-2	13.614129	3.219542833589e-4	2148845	false	0	0
135.326	LL02	130.691970	9.15065356370015626e-2	14.077929	3.004420871724e-4	2304288	false	0	0
145.349	LL02	140.738320	9.46257725100038277e-2	14.557811	3.104845912199e-4	2460692	false	0	0
155.373	LL02	150.744737	9.77483814370047888e-2	15.038213	3.120606550800e-4	2616795	false	0	0
165.398	LL02	160.814056	1.00854330369272618e-1	15.516051	3.084566818109e-4	2773233	false	0	0
175.423	LL02	170.848570	1.06050135178376109e-1	16.315405	5.177933903431e-4	2933740	false	0	0
185.449	LL02	180.885388	1.09136715749027946e-1	16.790264	3.075258213201e-4	3088833	false	0	0
195.474	LL02	190.926426	1.12289938732176617e-1	17.275375	3.140335373997e-4	3244370	false	0	0
205.490	LL02	200.953751	1.15524571186808381e-1	17.773011	3.225818014327e-4	3400484	false	0	0
215.505	LL02	211.017458	1.18650847103495535e-1	18.253976	3.106485494164e-4	3555339	false	0	0
225.530	LL02	221.043983	1.21745259123438629e-1	18.730040	3.086225908800e-4	3710367	false	0	0
235.547	LL02	231.146202	1.24803558010322363e-1	19.200547	3.027353481220e-4	3865657	false	0	0
245.569	LL02	241.226167	1.27909646729402249e-1	19.678407	3.081447997206e-4	4019740	false	0	0
255.583	LL02	251.271782	1.30982132864695733e-1	20.151097	3.058534528194e-4	4174339	false	0	0
265.607	LL02	261.293817	1.34100030392346498e-1	20.630774	3.111042345842e-4	4327102	false	0	0
275.619	LL02	271.342104	1.37142213944088903e-1	21.098802	3.027564489753e-4	4481602	false	0	0
285.640	LL02	281.378831	1.40197164457891960e-1	21.568795	3.043771502019e-4	4636674	false	0	0
295.658	LL02	291.399384	1.43354181526220481e-1	22.054489	3.150541864862e-4	4790586	false	0	0
305.683	LL02	301.399971	1.46436679287102661e-1	22.528720	3.082316623306e-4	4946369	false	0	0
315.709	LL02	311.433477	1.49503902565140567e-1	23.000600	3.056980812773e-4	5101845	false	0	0
325.734	LL02	321.460513	1.52630500583492340e-1	23.481615	3.118167545690e-4	5254896	false	0	0
335.760	LL02	331.470785	1.55728500310238938e-1	23.958231	3.094820868802e-4	5411218	false	0	0
345.784	LL02	341.579135	1.58937937751227304e-1	24.451990	3.175035848197e-4	5567283	false	0	0
355.800	LL02	351.644716	1.62042625493855397e-1	24.929635	3.084459637636e-4	5724686	false	0	0
365.825	LL02	361.673017	1.65151833123867053e-1	25.407974	3.100432862435e-4	5882428	false	0	0
375.840	LL02	371.700625	1.68357793155613278e-1	25.901199	3.197133425749e-4	6036787	false	0	0
385.865	LL02	381.740567	1.71470329119299963e-1	26.380051	3.100153305622e-4	6194242	false	0	0
395.890	LL02	391.827600	1.74608180525124362e-1	26.862797	3.110777569825e-4	6351603	false	0	0
405.915	LL02	401.870617	1.77818759036052765e-1	27.356732	3.196826695001e-4	6507590	false	0	0
415.937	LL02	411.925714	1.80931790256369490e-1	27.835660	3.095973207633e-4	6664904	false	0	0
425.962	LL02	422.031379	1.84188544724635694e-1	28.336699	3.222701975723e-4	6820850	false	0	0
435.985	LL02	432.046051	1.87263449383711811e-1	28.809761	3.070399602670e-4	6976904	false	0	0
446.006	LL02	442.077325	1.90340717679672256e-1	29.283187	3.067674527336e-4	7133634	false	0	0
456.031	LL02	452.121673	1.93575873387239999e-1	29.780904	3.220871678272e-4	7287304	false	0	0
466.049	LL02	462.197840	1.96685789765720737e-1	30.259352	3.086408146514e-4	7444965	false	0	0
476.065	LL02	472.221465	1.99804399509775743e-1	30.739138	3.111259432536e-4	7600141	false	0	0
486.090	LL02	482.269367	2.03009908596653105e-1	31.232294	3.190227233903e-4	7755244	false	0	0
496.115	LL02	492.315617	2.06141180641546906e-1	31.714028	3.116856764073e-4	7913779	false	0	0
506.140	LL02	502.399243	2.09425073821855989e-1	32.219242	3.256658827975e-4	8068453	false	0	0
516.166	LL02	512.507140	2.12561090499820332e-1	32.701706	3.102541342765e-4	8227891	false	0	0
526.187	LL02	522.602157	2.15689319198603707e-1	33.182972	3.098784948122e-4	8386714	false	0	0
536.212	LL02	532.657437	2.18984549201523410e-1	33.689931	3.277114129774e-4	8541917	false	0	0
546.239	LL02	542.767412	2.22168358423195156e-1	34.179747	3.149176234759e-4	8702976	false	0	0
556.276	LL02	552.875441	2.25449584661988500e-1	34.684551	3.246158141069e-4	8860238	false	0	0
566.301	LL02	562.919095	2.28616927087109262e-1	35.171835	3.153575883797e-4	9017599	false	0	0
576.328	LL02	572.934252	2.31753746600191435e-1	35.654423	3.132072035743e-4	9177134	false	0	0
586.354	LL02	582.945785	2.35076352734668897e-1	36.165593	3.318778738958e-4	9331655	false	0	0
596.379	LL02	592.967415	2.38186333329654221e-1	36.644051	3.103268393647e-4	9490553	false	0	0
606.408	LL02	603.067814	2.41381182676953548e-1	37.135567	3.163091982869e-4	9647912	false	0	0
616.433	LL02	613.119138	2.44660907520805632e-1	37.640140	3.262977895315e-4	9804909	false	0	0
626.456	LL02	623.179078	2.47818187728169270e-1	38.125875	3.138468319897e-4	9965290	false	0	0
636.470	LL02	633.235837	2.51163807802038230e-1	38.640586	3.326737745956e-4	10120363	false	0	0
646.495	LL02	643.275924	2.54293073676292336e-1	39.122011	3.116771762300e-4	10279449	false	0	0
656.520	LL02	653.362521	2.57445452260675778e-1	39.606993	3.125314196649e-4	10438299	false	0	0
666.545	LL02	663.384557	2.60775947734978919e-1	40.119377	3.323172600615e-4	10593092	false	0	0
676.566	LL02	673.485856	2.63923761912984056e-1	40.603656	3.116246856928e-4	10753615	false	0	0
686.591	LL02	683.528057	2.67244366069794792e-1	41.114518	3.306650052257e-4	10909776	false	0	0
696.616	LL02	693.556472	2.70434731225802971e-1	41.605343	3.181325115920e-4	11067846	false	0	0
706.642	LL02	703.599421	2.73571535894457429e-1	42.087929	3.123390189107e-4	11227435	false	0	0
716.667	LL02	713.643472	2.76951014367541215e-1	42.607848	3.364656697690e-4	11381789	false	0	0
726.693	LL02	723.690935	2.80085743787429953e-1	43.090114	3.119921389102e-4	11541772	false	0	0
736.718	LL02	733.764150	2.83332294814139685e-1	43.589584	3.222954207765e-4	11697826	false	0	0
746.741	LL02	743.794211	2.86591936219129650e-1	44.091067	3.249871856980e-4	11853923	false	0	0
756.766	LL02	753.864266	2.89653610933312822e-1	44.562094	3.040375540587e-4	12010306	false	0	0
766.789	LL02	763.920941	2.92966536535657296e-1	45.071775	3.294255491702e-4	12160552	false	0	0
776.814	LL02	773.998107	2.96004341705808749e-1	45.539129	3.014542959541e-4	12314707	false	0	0
786.839	LL02	784.059249	2.99046787911823375e-1	46.007198	3.023957290249e-4	12467775	false	0	0
796.854	LL02	794.102824	3.02302125100464114e-1	46.508019	3.241213586823e-4	12616676	false	0	0
806.879	LL02	804.199651	3.05307888176817199e-1	46.970444	2.976938202397e-4	12770632	false	0	0
