wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid	duplicate_count	backwards_count
10.076511	1.63456233580881599e-2	2.514711	1.622151115684e-3	233192	false	0	0
20.166331	2.47269064156166000e-2	3.804139	8.306672799059e-4	464800	false	0	0
30.226129	3.28768355474541307e-2	5.057975	8.101483207699e-4	695645	false	0	0
40.330185	4.09582950192530285e-2	6.301276	7.998233519387e-4	920322	false	0	0
50.395730	4.94555033825314280e-2	7.608539	8.441876121695e-4	1139000	false	0	0
60.484000	5.75337279020733047e-2	8.851343	8.007541715003e-4	1322041	false	0	0
70.492056	6.01206772922729601e-2	9.249335	2.584867032175e-4	1468456	false	0	0
80.578936	6.61793019557725265e-2	10.181431	6.006440582187e-4	1625020	false	0	0
90.661252	6.89651245933700086e-2	10.610019	2.763078072805e-4	1773444	false	0	0
100.734146	7.44523040654960361e-2	11.454201	5.447470904331e-4	1926882	false	0	0
110.822606	7.72449790728084729e-2	11.883843	2.768187619629e-4	2074415	false	0	0
120.906042	8.21721542647798620e-2	12.641870	4.886404781760e-4	2228145	false	0	0
130.988852	8.49547298199759826e-2	13.069958	2.759722397512e-4	2374749	false	0	0
141.074874	8.88565514150814473e-2	13.670239	3.868543672940e-4	2528201	false	0	0
151.155576	9.16381487542200501e-2	14.098177	2.759329025218e-4	2674334	false	0	0
161.236219	9.45419305283602546e-2	14.544912	2.880552149253e-4	2821885	false	0	0
171.316283	9.75626648963449361e-2	15.009641	2.996741234095e-4	2971144	false	0	0
181.390106	1.00445441550323603e-1	15.453145	2.861650862176e-4	3119362	false	0	0
191.457741	1.05423304659006359e-1	16.218970	4.944421943505e-4	3271710	false	0	0
201.515586	1.07812144367643789e-1	16.586484	2.375100770076e-4	3415553	false	0	0
211.548567	1.10280866045741069e-1	16.966287	2.460606403299e-4	3553639	false	0	0
221.632528	1.14230834068487996e-1	17.573974	3.917079780241e-4	3699674	false	0	0
231.697917	1.16910780631014580e-1	17.986274	2.662536436459e-4	3840213	false	0	0
241.793276	1.19691037618720339e-1	18.414006	2.753995244867e-4	3982486	false	0	0
251.868451	1.22727815263641987e-1	18.881202	3.014118955339e-4	4122623	false	0	0
261.931868	1.25665211738197669e-1	19.333109	2.918885752552e-4	4271230	false	0	0
272.019839	1.28738306881775483e-1	19.805893	3.046296593103e-4	4427001	false	0	0
282.075481	1.31859794982956108e-1	20.286122	3.104215753332e-4	4583195	false	0	0
292.145184	1.34896880555808368e-1	20.753366	3.016062561179e-4	4734214	false	0	0
302.189702	1.37838654375932734e-1	21.205947	2.928735929777e-4	4882631	false	0	0
312.258281	1.40838899519778987e-1	21.667523	2.979809782084e-4	5035634	false	0	0
322.314607	1.43893616835166105e-1	22.137480	3.037607699020e-4	5185724	false	0	0
332.362442	1.46963431053722587e-1	22.609759	3.055199784955e-4	5340404	false	0	0
342.435418	1.49968792364454873e-1	23.072122	2.983588215314e-4	5491306	false	0	0
352.484790	1.53065304732988877e-1	23.548508	3.081299338922e-4	5645577	false	0	0
362.540775	1.56143422078254379e-1	24.022065	3.060980509551e-4	5801372	false	0	0
372.613543	1.59118131594727347e-1	24.479713	2.953219406348e-4	5946425	false	0	0
382.674121	1.62028397253983963e-1	24.927446	2.892741910980e-4	6094753	false	0	0
392.736911	1.65006108872023605e-1	25.385555	2.959131257435e-4	6245970	false	0	0
402.780394	1.68069925853440133e-1	25.856912	3.050552252550e-4	6394659	false	0	0
412.847550	1.71073342201659456e-1	26.318976	2.983381326514e-4	6546812	false	0	0
422.901056	1.74067377606711787e-1	26.779597	2.978100853080e-4	6700073	false	0	0
432.966120	1.77167666859568057e-1	27.256564	3.080247736468e-4	6849657	false	0	0
443.031410	1.80235618385077928e-1	27.728557	3.048050726118e-4	7005349	false	0	0
453.090829	1.83259618866025598e-1	28.193788	3.006138357643e-4	7156160	false	0	0
463.162548	1.86333836567105865e-1	28.666744	3.052326794848e-4	7307227	false	0	0
473.243346	1.89436380367545454e-1	29.144059	3.077676787532e-4	7464650	false	0	0
483.315996	1.92623175178683076e-1	29.634335	3.163809798757e-4	7617965	false	0	0
493.412157	1.95641507231806483e-1	30.098693	2.989583865786e-4	7771993	false	0	0
503.479743	1.98636318978900023e-1	30.559434	2.974706930020e-4	7924219	false	0	0
513.556734	2.01772500127033211e-1	31.041923	3.112219869209e-4	8074136	false	0	0
523.615021	2.04889235856347857e-1	31.521421	3.098674523851e-4	8232737	false	0	0
533.678745	2.07875224929153890e-1	31.980804	2.967081580428e-4	8383015	false	0	0
543.746831	2.10987787532788823e-1	32.459660	3.091513531386e-4	8532971	false	0	0
553.803758	2.14097430925436483e-1	32.938066	3.092041482701e-4	8690588	false	0	0
563.883970	2.17284889937783499e-1	33.428445	3.162095240251e-4	8843260	false	0	0
573.961599	2.20429568325452324e-1	33.912241	3.120454520157e-4	9001579	false	0	0
584.029608	2.23527773991782502e-1	34.388888	3.077277537846e-4	9159476	false	0	0
594.088819	2.26729526358255384e-1	34.881466	3.182906008551e-4	9310592	false	0	0
604.157559	2.29749202817351256e-1	35.346031	2.999060889648e-4	9464498	false	0	0
614.230778	2.32783662704322408e-1	35.812871	3.012403520256e-4	9616916	false	0	0
624.290534	2.35895866498722628e-1	36.291672	3.093716748569e-4	9764960	false	0	0
634.304254	2.38830382140518716e-1	36.743136	2.930495051525e-4	9914772	false	0	0
644.364695	2.41962246193825642e-1	37.224961	3.113048425332e-4	10066356	false	0	0
654.407604	2.45041337529417841e-1	37.698667	3.065935686707e-4	10218734	false	0	0
664.478791	2.48050069208233304e-1	38.161549	2.987465010610e-4	10372306	false	0	0
674.555900	2.51210238676336239e-1	38.647729	3.135987995441e-4	10519602	false	0	0
684.630723	2.54130685019120728e-1	39.097028	2.898757105259e-4	10668623	false	0	0
694.695528	2.57120065800386377e-1	39.556933	2.970132872313e-4	10821906	false	0	0
704.760898	2.60259657728706351e-1	40.039947	3.119201771531e-4	10968457	false	0	0
714.806501	2.63208038947269296e-1	40.493544	2.934996691808e-4	11119776	false	0	0
724.850813	2.66174801318443177e-1	40.949969	2.953674087478e-4	11268302	false	0	0
734.947316	2.69260615538937875e-1	41.424710	3.056319779522e-4	11416299	false	0	0
745.015651	2.72255021156230959e-1	41.885388	2.974082164958e-4	11570326	false	0	0
755.079311	2.75306530914667447e-1	42.354851	3.032206592394e-4	11718550	false	0	0
765.146843	2.78323545195081179e-1	42.819007	2.996776623234e-4	11868768	false	0	0
775.176134	2.81289046127869924e-1	43.275238	2.956839978886e-4	12021780	false	0	0
785.265225	2.84291497931339066e-1	43.737154	2.975938915773e-4	12163726	false	0	0
795.322381	2.87065751336745667e-1	44.163962	2.758486871231e-4	12305962	false	0	0
805.371803	2.89855263007010755e-1	44.593117	2.775793248962e-4	12450585	false	0	0
815.417627	2.92844266681784704e-1	45.052964	2.975369404201e-4	12591145	false	0	0
825.494754	2.95657669262623879e-1	45.485795	2.791869588669e-4	12736585	false	0	0
835.566693	2.98442635940126766e-1	45.914252	2.765075176011e-4	12880886	false	0	0
845.634754	3.01440011608627545e-1	46.375386	2.977113113928e-4	13021818	false	0	0
855.691036	3.04239931402029762e-1	46.806143	2.784249296083e-4	13166539	false	0	0
865.740137	3.07026310510948142e-1	47.234817	2.772764557664e-4	13310708	false	0	0
875.757709	3.09998937202588920e-1	47.692144	2.967412477879e-4	13450582	false	0	0
885.829417	3.12810306835227758e-1	48.124663	2.791353349702e-4	13595799	false	0	0
895.900532	3.15637423388766936e-1	48.559604	2.807153620922e-4	13741314	false	0	0
905.958810	3.18583388527219125e-1	49.012829	2.928896154057e-4	13880285	false	0	0
916.009614	3.21411716144982762e-1	49.447956	2.814031061837e-4	14026598	false	0	0
926.084250	3.24228479573153816e-1	49.881305	2.795896129358e-4	14170224	false	0	0
936.140413	3.27178661448131569e-1	50.335179	2.933705147750e-4	14310728	false	0	0
946.215016	3.30024564021059563e-1	50.773010	2.824828458008e-4	14457980	false	0	0
956.254069	3.32856965616974310e-1	51.208764	2.821383177656e-4	14600487	false	0	0
966.331680	3.35794400791345260e-1	51.660677	2.914813224117e-4	14742238	false	0	0
976.367783	3.38664973824903459e-1	52.102304	2.860246530484e-4	14890748	false	0	0
986.425429	3.41523814711838847e-1	52.542125	2.842455328074e-4	15033398	false	0	0
996.455398	3.44450729120385268e-1	52.992420	2.918169032982e-4	15176095	false	0	0
1006.531712	3.47312155027195590e-1	53.432639	2.839754509681e-4	15324416	false	0	0
1016.588357	3.50244373141455179e-1	53.883750	2.915702131490e-4	15467173	false	0	0
1026.647724	3.53102632733623634e-1	54.323482	2.841391235242e-4	15609773	false	0	0
1036.702967	3.55940439611756032e-1	54.760068	2.822215910682e-4	15757012	false	0	0
1046.761955	3.58850619306034291e-1	55.207788	2.893113962594e-4	15897632	false	0	0
1056.848750	3.61680385293931539e-1	55.643136	2.805416434308e-4	16040090	false	0	0
1066.910913	3.64480874669786292e-1	56.073981	2.783188127439e-4	16185643	false	0	0
1076.968169	3.67409706834070315e-1	56.524570	2.912158178043e-4	16325350	false	0	0
1087.020028	3.70243288779272761e-1	56.960506	2.818963329929e-4	16469598	false	0	0
1097.084834	3.73057660718423112e-1	57.393486	2.796250569454e-4	16616374	false	0	0
1107.095694	3.76015320575728784e-1	57.848511	2.954451310774e-4	16755747	false	0	0
1117.142154	3.78813233013791995e-1	58.278959	2.784973335812e-4	16899668	false	0	0
1127.185500	3.81616727613292406e-1	58.710266	2.791394868290e-4	17045187	false	0	0
1137.214825	3.84595853237089558e-1	59.168593	2.970415079406e-4	17184822	false	0	0
1147.260377	3.87399753273308445e-1	59.599962	2.791185569655e-4	17329769	false	0	0
1157.285514	3.90182441439241690e-1	60.028068	2.775710965369e-4	17473760	false	0	0
1167.324599	3.93102390324958750e-1	60.477291	2.908580480764e-4	17610178	false	0	0
1177.398094	3.95649383297118351e-1	60.869136	2.528410419779e-4	17742046	false	0	0
1187.442155	3.98189106636715973e-1	61.259863	2.528582311113e-4	17873882	false	0	0
1197.443932	4.00900028358399663e-1	61.676927	2.710440008733e-4	18000911	false	0	0
