previous_time_s	5.01392241185122822e-1
current_time_s	5.01392241185122822e-1
previous_index	23024531
current_index	23024532
missing_mask	0
xu.raw	5.00000000000000000e0
xu.pwm_hold	8.09856071093406626e-1
pwm	2.42956821328021988e0
pwm_input	2.20000271281279769e0
xdriver.driver_req	1.49999999999999716e1
xdriver.drv_delay	3.33466488848620340e-7
xu.phase	1.92152778433207772e-6
xu.blank	-3.17732317483169092e-22
isense	-3.58606878573021204e-2
xu.ov	4.99999999499999936e-9
xu.fault	0.00000000000000000e0
xu.pcl_hold	0.00000000000000000e0
xu.pcl_request	0.00000000000000000e0
disable	1.04086116764491921e-1
xu.m1	4.58892921807776910e-1
xu.m2	1.22678993012191273e0
