wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid	duplicate_count	backwards_count
10.023910	1.64111561487691911e-2	2.524793	1.637201094401e-3	234526	false	0	0
20.103266	2.49759617038671916e-2	3.842456	8.497373479463e-4	469344	false	0	0
30.168967	3.34217498014613493e-2	5.141808	8.390661070072e-4	698624	false	0	0
40.247520	4.28076035932310195e-2	6.585785	9.312699702682e-4	920262	false	0	0
50.342417	5.71279147641095691e-2	8.788910	1.418569319814e-3	1122118	false	0	0
60.426633	5.98471645752568851e-2	9.207256	2.696540579967e-4	1273733	false	0	0
70.502176	6.59867174397932854e-2	10.151803	6.093520531807e-4	1434804	false	0	0
80.569265	6.88655671987000589e-2	10.594703	2.859664590879e-4	1587804	false	0	0
90.637052	7.43979410927919221e-2	11.445837	5.495123755247e-4	1747824	false	0	0
100.728013	7.73546243946773432e-2	11.900711	2.930031660649e-4	1901697	false	0	0
110.826656	8.21759019559271109e-2	12.642446	4.774183227574e-4	2061331	false	0	0
120.905579	8.51465979428095848e-2	13.099477	2.947434209769e-4	2215182	false	0	0
131.002274	8.86088137727906733e-2	13.632125	3.429058236915e-4	2373195	false	0	0
141.090034	9.15839337968990669e-2	14.089836	2.949237649863e-4	2527829	false	0	0
151.178679	9.46889038355821222e-2	14.567524	3.077688001426e-4	2683742	false	0	0
161.260065	9.78160214576375281e-2	15.048619	3.101872477353e-4	2839775	false	0	0
171.347706	1.00854332730394750e-1	15.516051	3.011914664394e-4	2993882	false	0	0
181.431053	1.05950880595056154e-1	16.300135	5.054420888018e-4	3153252	false	0	0
191.511902	1.08576614605991884e-1	16.704095	2.604675351889e-4	3303472	false	0	0
201.609054	1.11535621930910434e-1	17.159326	2.930536696713e-4	3457560	false	0	0
211.697139	1.15555465613148139e-1	17.777764	3.984743932615e-4	3616144	false	0	0
221.776307	1.18537567284599923e-1	18.236549	2.958678406245e-4	3769786	false	0	0
231.872754	1.21884098948229339e-1	18.751400	3.314563759481e-4	3927693	false	0	0
241.968074	1.24927406511768535e-1	19.219601	3.014572619647e-4	4082685	false	0	0
252.054661	1.28025764502278955e-1	19.696271	3.071760588402e-4	4237366	false	0	0
262.119445	1.31139289776175227e-1	20.175275	3.093484495601e-4	4392564	false	0	0
272.194049	1.34263246030227934e-1	20.655884	3.100822964641e-4	4546449	false	0	0
282.277441	1.37328742498680212e-1	21.127499	3.040143834971e-4	4702067	false	0	0
292.361472	1.40395225339904478e-1	21.599265	3.040929819460e-4	4857561	false	0	0
302.453456	1.43528942046727975e-1	22.081376	3.105154268531e-4	5011168	false	0	0
312.538802	1.46605580515509787e-1	22.554705	3.050602794175e-4	5166781	false	0	0
322.608141	1.49674303377200668e-1	23.026816	3.047591106329e-4	5321608	false	0	0
332.656588	1.52793799097019151e-1	23.506738	3.104455383831e-4	5475436	false	0	0
342.750163	1.55895962658942289e-1	23.983994	3.073404245622e-4	5632056	false	0	0
352.810835	1.59061865550261361e-1	24.471056	3.146810601374e-4	5786101	false	0	0
362.872845	1.62127355644114596e-1	24.942670	3.046598214490e-4	5941585	false	0	0
372.969865	1.65215213554773976e-1	25.417725	3.058187275871e-4	6098536	false	0	0
383.047349	1.68379937505549554e-1	25.904606	3.140391023479e-4	6252001	false	0	0
393.099961	1.71460277064264560e-1	26.378504	3.064217980170e-4	6408169	false	0	0
403.123192	1.74529840398775060e-1	26.850745	3.062449022884e-4	6563036	false	0	0
413.194868	1.77697570817984540e-1	27.338088	3.145187002952e-4	6717465	false	0	0
423.214831	1.80792637853038257e-1	27.814252	3.088900791211e-4	6874163	false	0	0
433.311576	1.84010164326272430e-1	28.309256	3.186696630729e-4	7029386	false	0	0
443.328218	1.87083017914354416e-1	28.782003	3.067748152029e-4	7184733	false	0	0
453.416898	1.90178528556475906e-1	29.258235	3.068300962077e-4	7342274	false	0	0
463.477581	1.93385561353699414e-1	29.751625	3.187688984008e-4	7495873	false	0	0
473.554620	1.96496131053792433e-1	30.230174	3.086789395922e-4	7653900	false	0	0
483.645725	1.99625311424255242e-1	30.711586	3.100929417811e-4	7810483	false	0	0
