time_s v_ac_v i_ac_a v_load_v i_load_a v_b_v i_l_a v_d_v v_ds_v v_gs_v armed on
3.63269276092068458e-10 2.32410653093748514e-5 1.83156898870019229e-6 4.34192449363814052e-36 2.28522341770428441e-38 2.28522341813847713e-26 1.82297991349695976e-18 2.06680466824792178e-25 6.48138185822214461e-19 5.98483373196977770e-21 0.00000000000000000e0 0.00000000000000000e0
3.71496063288428902e-10 2.37673947049510502e-5 1.86803585967952234e-6 4.51581136031783765e-36 2.37674282121991433e-38 2.37674282167149584e-26 1.94001013438335944e-18 2.15477355118067428e-25 6.81774602633528028e-19 6.29549139587796665e-21 0.00000000000000000e0 0.00000000000000000e0
3.75046294179305828e-10 2.39945296525740791e-5 1.88368280069835551e-6 4.59271586665814258e-36 2.41721887718849603e-38 2.41721887764776768e-26 1.99297288115782325e-18 2.20560773158083175e-25 6.96897318260314896e-19 6.43516191630041938e-21 0.00000000000000000e0 0.00000000000000000e0
3.76028678845228109e-10 2.40573801815955390e-5 1.88800290784466128e-6 4.61419715571472849e-36 2.42852481879722548e-38 2.42852481925864550e-26 2.00789837901570467e-18 2.21144948056104700e-25 7.01191240409170487e-19 6.47482032817069185e-21 0.00000000000000000e0 0.00000000000000000e0
3.77993448177072620e-10 2.41830812396384485e-5 1.89663072468611431e-6 4.65742308131952754e-36 2.45127530595764607e-38 2.45127530642338840e-26 2.03811061670238272e-18 2.21690024627843019e-25 7.09903511351887922e-19 6.55528684251216836e-21 0.00000000000000000e0 0.00000000000000000e0
3.78191255807115042e-10 2.41957364801200140e-5 1.89749843444125004e-6 4.66179443515621597e-36 2.45357601850327177e-38 2.45357601896945108e-26 2.04117911106028580e-18 2.21718526471911270e-25 7.10789005181810023e-19 6.56346528793520777e-21 0.00000000000000000e0 0.00000000000000000e0
3.78280614319256888e-10 2.42014534156092415e-5 1.89789036271530540e-6 4.66377034231107815e-36 2.45461596963740970e-38 2.45461597010378666e-26 2.04256683791958237e-18 2.21731167289821187e-25 7.11189480113289339e-19 6.56716408649515441e-21 0.00000000000000000e0 0.00000000000000000e0
3.78321026642969819e-10 2.42040388956278657e-5 1.89806760079721288e-6 4.66466418452573290e-36 2.45508641290828059e-38 2.45508641337474706e-26 2.04319477603323292e-18 2.21736691809751579e-25 7.11370696452355421e-19 6.56883780637966396e-21 0.00000000000000000e0 0.00000000000000000e0
3.78371573757179217e-10 2.42072727743504980e-5 1.89828927766867582e-6 4.66578239875046590e-36 2.45567494671077165e-38 2.45567494717734996e-26 2.04398052704497096e-18 2.21743257268094069e-25 7.11597454065841861e-19 6.57093214725606427e-21 0.00000000000000000e0 0.00000000000000000e0
3.78472667985597960e-10 2.42137405317957660e-5 1.89873259862006624e-6 4.66801952786660518e-36 2.45685238308768696e-38 2.45685238355448881e-26 2.04555298217294835e-18 2.21754822089884340e-25 7.12051299172957031e-19 6.57512387703399965e-21 0.00000000000000000e0 0.00000000000000000e0
3.78674856442435446e-10 2.42266760466862985e-5 1.89961910945819332e-6 4.67249658969690912e-36 2.45920873141942596e-38 2.45920873188667552e-26 2.04870171998471928e-18 2.21771266363600520e-25 7.12960325302012445e-19 6.58351968027685717e-21 0.00000000000000000e0 0.00000000000000000e0
3.79079233356110470e-10 2.42525470764673669e-5 1.90139160705067699e-6 4.68146193520590770e-36 2.46392733431889895e-38 2.46392733478704506e-26 2.05501426826294946e-18 2.21782737059756454e-25 7.14783504132740504e-19 6.60035865401327838e-21 0.00000000000000000e0 0.00000000000000000e0
3.79887987183460466e-10 2.43042891360294970e-5 1.90493450728331652e-6 4.69943757339945046e-36 2.47338819652602651e-38 2.47338819699597024e-26 2.06769902207808463e-18 2.21772200493751849e-25 7.18448175505731950e-19 6.63420579499309565e-21 0.00000000000000000e0 0.00000000000000000e0
3.81505494838160510e-10 2.44077732551537572e-5 1.91201193611160735e-6 4.73556911809864864e-36 2.49240479899928874e-38 2.49240479947284576e-26 2.09330985232885428e-18 2.21861052403666591e-25 7.25840716024175044e-19 6.70248384836857430e-21 0.00000000000000000e0 0.00000000000000000e0
