wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid
10.059032	1.88525793432416482e-2	17.138708	1.874194222104e-3	197693	false
20.133521	4.64731011681388320e-2	42.248274	2.741630043220e-3	401390	false
30.195372	5.68575424044482913e-2	51.688675	1.032060694891e-3	564894	false
36.625333	5.74982932881033665e-2	52.271176	9.965081637785e-5	658685	false
