-5.00000000e-02 -5.00000000e-02 -5.00000000e-02 -4.99997221e-02 
-5.10000000e-02 -5.10000000e-02 -5.10000000e-02 -5.09997136e-02 
-5.20000000e-02 -5.20000000e-02 -5.20000000e-02 -5.19997048e-02 
-5.30000000e-02 -5.30000000e-02 -5.30000000e-02 -5.29996959e-02 
-5.40000000e-02 -5.40000000e-02 -5.40000000e-02 -5.39996868e-02 
-5.50000000e-02 -5.50000000e-02 -5.50000000e-02 -5.49996775e-02 
-5.60000000e-02 -5.60000000e-02 -5.60000000e-02 -5.59996681e-02 
-5.70000000e-02 -5.70000000e-02 -5.70000000e-02 -5.69996585e-02 
-5.80000000e-02 -5.80000000e-02 -5.80000000e-02 -5.79996487e-02 
-5.90000000e-02 -5.90000000e-02 -5.90000000e-02 -5.89996387e-02 
-6.00000000e-02 -6.00000000e-02 -6.00000000e-02 -5.99996286e-02 
-6.10000000e-02 -6.10000000e-02 -6.10000000e-02 -6.09996182e-02 
-6.20000000e-02 -6.20000000e-02 -6.20000000e-02 -6.19996077e-02 
-6.30000000e-02 -6.30000000e-02 -6.30000000e-02 -6.29995969e-02 
-6.40000000e-02 -6.40000000e-02 -6.40000000e-02 -6.39995860e-02 
-6.50000000e-02 -6.50000000e-02 -6.50000000e-02 -6.49995749e-02 
-6.60000000e-02 -6.60000000e-02 -6.60000000e-02 -6.59995635e-02 
-6.70000000e-02 -6.70000000e-02 -6.70000000e-02 -6.69995520e-02 
-6.80000000e-02 -6.80000000e-02 -6.80000000e-02 -6.79995402e-02 
-6.90000000e-02 -6.90000000e-02 -6.90000000e-02 -6.89995282e-02 
-7.00000000e-02 -7.00000000e-02 -7.00000000e-02 -6.99995160e-02 
-7.10000000e-02 -7.10000000e-02 -7.10000000e-02 -7.09995035e-02 
-7.20000000e-02 -7.20000000e-02 -7.20000000e-02 -7.19994908e-02 
-7.30000000e-02 -7.30000000e-02 -7.30000000e-02 -7.29994779e-02 
-7.40000000e-02 -7.40000000e-02 -7.40000000e-02 -7.39994648e-02 
-7.50000000e-02 -7.50000000e-02 -7.50000000e-02 -7.49994514e-02 
-7.60000000e-02 -7.60000000e-02 -7.60000000e-02 -7.59994377e-02 
-7.70000000e-02 -7.70000000e-02 -7.70000000e-02 -7.69994238e-02 
-7.80000000e-02 -7.80000000e-02 -7.80000000e-02 -7.79994096e-02 
-7.90000000e-02 -7.90000000e-02 -7.90000000e-02 -7.89993952e-02 
-8.00000000e-02 -8.00000000e-02 -8.00000000e-02 -7.99993805e-02 
-8.10000000e-02 -8.10000000e-02 -8.10000000e-02 -8.09993655e-02 
