experiment,seed,loss,duration,converged
Baseline,0,13919.890625,1.7404861450195312,True
PortFacing,0,13922.60546875,0.8433678150177002,True
SA_Refinement,0,13919.890625,0.7833709716796875,True
Full_Structural,0,13922.60546875,0.8101639747619629,True
