Comment,Designator,Footprint,LCSC,Price
TC2030-IDC-NL-FP,J1,Connector:Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,TC2030-IDC-NL-FP,0.00
TSW-106-07-G-S,J2,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,TSW-106-07-G-S,0.00
RC0603FR-07499RL,R1,Resistor_SMD:R_0603_1608Metric,RC0603FR-07499RL,0.00
TPD1E05U06DYAR,"D1,D2,D3,D4",Diode_SMD:D_SOD-523,TPD1E05U06DYAR,0.00
