previous_time_s	5.01609142995657842e-1
current_time_s	5.01609142995657842e-1
previous_index	22589744
current_index	22589745
missing_mask	0
xu.raw	5.00000000000000000e0
xu.pwm_hold	8.09853850647357376e-1
pwm	2.42956155194207213e0
pwm_input	2.19999668089242784e0
xdriver.driver_req	1.49999999999999716e1
xdriver.drv_delay	4.87447724853436930e-7
xu.phase	1.94896280136802602e-6
xu.blank	1.44924343473701276e-24
isense	-8.87362255864827809e-2
xu.ov	4.99999999499999936e-9
xu.fault	0.00000000000000000e0
xu.pcl_hold	0.00000000000000000e0
xu.pcl_request	0.00000000000000000e0
disable	1.04086116764471937e-1
xu.m1	6.38942650450109562e-1
xu.m2	1.93522265377929736e0
