previous_time_s	5.01554914485680681e-1
current_time_s	5.01554914485680681e-1
previous_index	22757955
current_index	22757956
missing_mask	0
xu.raw	5.00000000000000000e0
xu.pwm_hold	8.09851075089795813e-1
pwm	2.42955322526938744e0
pwm_input	2.19998914099196519e0
xdriver.driver_req	1.49999999999999716e1
xdriver.drv_delay	4.01881825656310270e-8
xu.phase	1.93904670375832922e-6
xu.blank	-1.36797655319243903e-29
isense	-4.45686826046301984e-2
xu.ov	4.99999999499999936e-9
xu.fault	0.00000000000000000e0
xu.pcl_hold	0.00000000000000000e0
xu.pcl_request	0.00000000000000000e0
disable	1.04086116764480888e-1
xu.m1	4.99969949153869664e-1
xu.m2	1.37425890230983860e0
