previous_time_s	5.01895756088211575e-1
current_time_s	5.01895756088211575e-1
previous_index	22307583
current_index	22307584
missing_mask	0
xu.raw	5.00000000000000000e0
xu.pwm_hold	8.09853295535845064e-1
pwm	2.42955988660753519e0
pwm_input	2.19999517291233504e0
xdriver.driver_req	1.49999999999999716e1
xdriver.drv_delay	-1.52268198405681561e-7
xu.phase	1.97805913493276364e-6
xu.blank	-4.02760445080910524e-23
isense	-1.07147517684538160e-1
xu.ov	4.99999999499999936e-9
xu.fault	0.00000000000000000e0
xu.pcl_hold	0.00000000000000000e0
xu.pcl_request	0.00000000000000000e0
disable	1.04086116764481151e-1
xu.m1	6.78547483769911142e-1
xu.m2	2.11262444435856933e0
