wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid	duplicate_count	backwards_count
10.028659	1.64958975035914557e-2	2.537830	1.644875755869e-3	243071	false	0	0
20.084512	2.51382908197812296e-2	3.867429	8.594391098823e-4	484346	false	0	0
30.144419	3.36215452121967420e-2	5.172545	8.432736293692e-4	717439	false	0	0
40.163837	4.72554392026855313e-2	7.270068	1.360747009879e-3	946673	false	0	0
50.198011	5.74409252310704166e-2	8.837065	1.015079762240e-3	1139480	false	0	0
60.245308	6.02277872783073334e-2	9.265813	2.773742913669e-4	1292756	false	0	0
70.297537	6.63172824152682278e-2	10.202659	6.057855437791e-4	1454842	false	0	0
80.336269	6.93533292880258029e-2	10.669743	3.024332975769e-4	1611133	false	0	0
90.385071	7.48139163943807167e-2	11.509833	5.434067746117e-4	1771672	false	0	0
100.443159	7.78968367623461139e-2	11.984129	3.065115901718e-4	1928674	false	0	0
110.479178	8.27220854404935729e-2	12.726475	4.807930731855e-4	2090167	false	0	0
120.512952	8.57428356655346030e-2	13.191205	3.010582384349e-4	2245340	false	0	0
130.531727	8.92283213748714804e-2	13.727434	3.478954103468e-4	2404485	false	0	0
140.540362	9.22498093003822628e-2	14.192278	3.018880895442e-4	2559803	false	0	0
150.590219	9.53877187726515363e-2	14.675034	3.122342578109e-4	2718683	false	0	0
160.613214	9.85386143504985990e-2	15.159787	3.143666859883e-4	2876903	false	0	0
170.649513	1.01626414479983926e-1	15.634833	3.076631981237e-4	3033613	false	0	0
180.678840	1.06745639417357735e-1	16.422406	5.104255856196e-4	3195435	false	0	0
190.709870	1.09359156708992628e-1	16.824486	2.605432774949e-4	3345791	false	0	0
200.756174	1.13394337042258750e-1	17.445283	4.016581768683e-4	3505599	false	0	0
210.789882	1.16410658991108432e-1	17.909332	3.006188713187e-4	3662366	false	0	0
220.888622	1.19490037622654519e-1	18.383083	3.049269999608e-4	3818847	false	0	0
230.909921	1.22867081859449723e-1	18.902628	3.369866996004e-4	3977328	false	0	0
240.939271	1.25944712466404152e-1	19.376110	3.068624169241e-4	4131512	false	0	0
251.043354	1.29042445358958952e-1	19.852684	3.065822673363e-4	4288450	false	0	0
261.061591	1.32134135861272678e-1	20.328329	3.086062694195e-4	4444147	false	0	0
271.100425	1.35283349093878791e-1	20.812823	3.137030808738e-4	4599237	false	0	0
281.133908	1.38388179166734349e-1	21.290489	3.094468849809e-4	4755693	false	0	0
291.145495	1.41471804667408968e-1	21.764893	3.080056498144e-4	4911590	false	0	0
301.245312	1.44575960690247807e-1	22.242455	3.073477631926e-4	5065207	false	0	0
311.269103	1.47650499995964024e-1	22.715462	3.067242017350e-4	5220575	false	0	0
321.299982	1.50798540219137911e-1	23.199775	3.138349431652e-4	5374693	false	0	0
331.362351	1.53847793371353236e-1	23.668891	3.030352916832e-4	5529937	false	0	0
341.460718	1.56896550699870935e-1	24.137931	3.019059893021e-4	5684874	false	0	0
351.546923	1.60022466675931396e-1	24.618841	3.099199366660e-4	5836666	false	0	0
361.648417	1.63074261336747600e-1	25.088348	3.021132033805e-4	5991345	false	0	0
371.654662	1.66102537299866182e-1	25.554237	3.026385720427e-4	6144668	false	0	0
381.738489	1.69231721824727538e-1	26.035650	3.103171812282e-4	6297008	false	0	0
391.825282	1.72288396614044187e-1	26.505907	3.030373308143e-4	6451896	false	0	0
401.900487	1.75405865608425360e-1	26.985518	3.094198788653e-4	6604557	false	0	0
411.958233	1.78423600152353090e-1	27.449785	3.000408596873e-4	6755805	false	0	0
422.049824	1.81469635922345357e-1	27.918406	3.018390096345e-4	6910460	false	0	0
432.061819	1.84653041933712486e-1	28.408160	3.179591984583e-4	7063220	false	0	0
442.146679	1.87632536130154154e-1	28.866544	2.954422877926e-4	7214676	false	0	0
452.239666	1.90565191224259078e-1	29.317722	2.905636488411e-4	7364231	false	0	0
462.271622	1.93676763796248930e-1	29.796425	3.101660788462e-4	7512826	false	0	0
472.301907	1.96689567567986223e-1	30.259933	3.003707281828e-4	7665557	false	0	0
482.388421	1.99796320645279968e-1	30.737895	3.080105722514e-4	7820639	false	0	0
492.478132	2.02983354749827066e-1	31.228208	3.158697077710e-4	7975647	false	0	0
502.555163	2.06108326590796975e-1	31.708973	3.101083945730e-4	8134151	false	0	0
512.570673	2.09330486410340966e-1	32.204690	3.217169988891e-4	8286988	false	0	0
522.600377	2.12443940846685303e-1	32.683683	3.104233466045e-4	8445332	false	0	0
532.676983	2.15528701023555036e-1	33.158262	3.061308804036e-4	8602571	false	0	0
542.767873	2.18772174861056934e-1	33.657258	3.214259619214e-4	8755838	false	0	0
552.811900	2.21925883642450084e-1	34.142444	3.139884680179e-4	8916273	false	0	0
562.859390	2.25108066554465858e-1	34.632010	3.167142114525e-4	9071808	false	0	0
572.909218	2.28256759641379869e-1	35.116425	3.133081620140e-4	9226147	false	0	0
582.909527	2.31369206618122297e-1	35.595263	3.112350882909e-4	9384582	false	0	0
