runner_wall_s	case	tracked_wall_s	sim_s	percent	sim_per_wall	callbacks
5.005	LL01	wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid	duplicate_count	backwards_count
636.085	LL01	633.441750	2.47797009835122983e-1	38.122617	3.117310301078e-4	9979020	false	0	0
646.112	LL01	643.475504	2.51156599354167731e-1	38.639477	3.348287833851e-4	10134515	false	0	0
656.137	LL01	653.498389	2.54281103572714828e-1	39.120170	3.117370026526e-4	10293044	false	0	0
666.164	LL01	663.576915	2.57429885440843775e-1	39.604598	3.124248395181e-4	10451988	false	0	0
676.190	LL01	673.648422	2.60802592287210200e-1	40.123476	3.348761014354e-4	10608408	false	0	0
686.215	LL01	683.691797	2.63913209433312590e-1	40.602032	3.097183062844e-4	10768043	false	0	0
696.240	LL01	693.731816	2.67236750698083281e-1	41.113346	3.310293717585e-4	10924194	false	0	0
706.266	LL01	703.810196	2.70429897989985790e-1	41.604600	3.168314033518e-4	11082180	false	0	0
716.292	LL01	713.822415	2.73447607679644045e-1	42.068863	3.014026762348e-4	11236179	false	0	0
726.317	LL01	723.929425	2.76762910802597517e-1	42.578909	3.280201711663e-4	11386789	false	0	0
736.342	LL01	733.967330	2.79771209861489289e-1	43.041725	2.996939074120e-4	11540764	false	0	0
746.366	LL01	743.982877	2.82843156120421824e-1	43.514332	3.067177768571e-4	11691925	false	0	0
756.386	LL01	754.091878	2.86075832492589444e-1	44.011667	3.197819935012e-4	11843731	false	0	0
766.410	LL01	764.149607	2.89078063271068553e-1	44.473548	2.984998790897e-4	11997453	false	0	0
776.435	LL01	774.192576	2.92276949137536490e-1	44.965684	3.185199303949e-4	12147479	false	0	0
786.454	LL01	784.243773	2.95332075438412112e-1	45.435704	3.039564427674e-4	12299197	false	0	0
796.479	LL01	794.335274	2.98328154722998340e-1	45.896639	2.968913674880e-4	12452987	false	0	0
806.504	LL01	804.424987	3.01598103197901535e-1	46.399708	3.240873411425e-4	12602946	false	0	0
816.530	LL01	814.523588	3.04564628599895415e-1	46.856097	2.937560880162e-4	12755628	false	0	0
826.556	LL01	824.613622	3.07613248758986546e-1	47.325115	3.021417107230e-4	12908387	false	0	0
836.581	LL01	834.648124	3.10765491291279561e-1	47.810076	3.141404177403e-4	13056931	false	0	0
846.598	LL01	844.685922	3.13750355360923217e-1	48.269285	2.973624105059e-4	13211341	false	0	0
856.618	LL01	854.689668	3.16768956372309674e-1	48.733686	3.017470943473e-4	13358214	false	0	0
866.644	LL01	864.749551	3.19812251351813071e-1	49.201885	3.025179298311e-4	13506530	false	0	0
876.670	LL01	874.815703	3.22740054909401552e-1	49.652316	2.908562796619e-4	13658448	false	0	0
886.689	LL01	884.868935	3.25853756823124507e-1	50.131347	3.097214588733e-4	13805123	false	0	0
896.712	LL01	894.934209	3.28798679553436057e-1	50.584412	2.925824811158e-4	13953995	false	0	0
906.733	LL01	905.002521	3.31680424637545657e-1	51.027758	2.862192895756e-4	14103645	false	0	0
916.759	LL01	915.107245	3.34848096193976541e-1	51.515092	3.134842299142e-4	14250334	false	0	0
926.784	LL01	925.133825	3.37715252797610777e-1	51.956193	2.859555939691e-4	14398636	false	0	0
