role	group_id	source_row	time	v(acsrc,acn)	v(vd)	v(vb)	v(sw)	v(gate)	i(Lboost)	i(Vchannel)	i(Vbody)	i(Vac)	v(q)	v(en)	v(fault)	v(f2ctl)	v(standby_req)	v(arm)	v(permit)
GROUP	3	23028189	5.06814100336154483e-1	9.19693511818908718e1	3.79684796776188421e2	3.79622680508759174e2	3.80911539071358391e2	-4.39876957403731274e-6	3.70831333481481140e0	7.61823078142716307e-10	1.40917883405463096e-9	-3.70832310049519265e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	3	23028190	5.06814100336154483e-1	9.19693511818908718e1	3.79684796776187227e2	3.79622680508759288e2	3.80911539071355719e2	-4.39876959665004481e-6	3.70831333473240088e0	7.61823078142711034e-10	1.39485815245502109e-9	-3.70832310033250678e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	3	23028191	5.06814100336154594e-1	9.19693511818827574e1	3.79684796776184783e2	3.79622680508759515e2	3.80911539071350319e2	-4.39876964209813207e-6	3.70831333456758028e0	7.61823078142700177e-10	1.42630305872076530e-9	-3.70832310019056877e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	4	23170680	5.09904581213209918e-1	-9.47482280625708881e1	3.77426517050572102e2	3.77358027853004671e2	3.78661646870079039e2	-1.03835841008825451e-5	4.14444009515931988e0	7.57323293740157628e-10	1.28615865629700921e-9	4.14445171559373815e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	4	23170681	5.09904581213210029e-1	-9.47482280625789173e1	3.77426517050570055e2	3.77358027853004842e2	3.78661646870074151e2	-1.03835841383312219e-5	4.14444009500423327e0	7.57323293740147806e-10	1.25056182269915415e-9	4.14445171544392377e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	4	23170682	5.09904581213210029e-1	-9.47482280625789031e1	3.77426517050568918e2	3.77358027853005012e2	3.78661646870071536e2	-1.03835841584530994e-5	4.14444009492244625e0	7.57323293740142636e-10	1.26227862300015054e-9	4.14445171541184010e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	4	23170683	5.09904581213210140e-1	-9.47482280625829105e1	3.77426517050567384e2	3.77358027853005126e2	3.78661646870068125e2	-1.03835841841785471e-5	4.14444009481637554e0	7.57323293740135811e-10	1.26517455593099965e-9	4.14445171521659628e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	5	23438607	5.15101828388804028e-1	-9.44077438888171656e1	3.80166385571680962e2	3.80101617996245977e2	3.81396638068010816e2	-1.49234116202036415e-5	3.88799683632321003e0	7.62793276136021129e-10	1.25728661262013833e-9	3.88800640362497507e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	5	23438608	5.15101828388804139e-1	-9.44077438888091791e1	3.80166385571679086e2	3.80101617996246091e2	3.81396638068006439e2	-1.49234116522500014e-5	3.88799683618916792e0	7.62793276136012340e-10	1.29128094571833324e-9	3.88800640346235049e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	5	23438609	5.15101828388804139e-1	-9.44077438888091649e1	3.80166385571678234e2	3.80101617996246091e2	3.81396638068004279e2	-1.49234116671590129e-5	3.88799683612102598e0	7.62793276136007997e-10	1.24653129862204866e-9	3.88800640334534542e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	5	23438610	5.15101828388804139e-1	-9.44077438888091791e1	3.80166385571677154e2	3.80101617996246091e2	3.81396638068001494e2	-1.49234116853489302e-5	3.88799683603323620e0	7.62793276136002620e-10	1.17721605773968267e-9	3.88800640329394032e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	5	23438611	5.15101828388804250e-1	-9.44077438888051574e1	3.80166385571674766e2	3.80101617996246205e2	3.81396638067995809e2	-1.49234117264927187e-5	3.88799683585765710e0	7.62793276135991143e-10	1.16046147395365933e-9	3.88800640315097645e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	6	23440586	5.15140528615614768e-1	-9.23403102632210562e1	3.80149277137425258e2	3.80086878365564473e2	3.81376390144183119e2	-4.93004748153193584e-6	3.72709301125815706e0	7.62752780288365765e-10	1.35944919935025733e-9	3.72710276124095596e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	6	23440587	5.15140528615614879e-1	-9.23403102632129560e1	3.80149277137423837e2	3.80086878365564530e2	3.81376390144179595e2	-4.93004751086162986e-6	3.72709301114465319e0	7.62752780288358734e-10	1.33808639888091580e-9	3.72710276113022054e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	6	23440588	5.15140528615614879e-1	-9.23403102632129702e1	3.80149277137422871e2	3.80086878365564530e2	3.81376390144177662e2	-4.93004752757894993e-6	3.72709301108333602e0	7.62752780288354908e-10	1.32031646036335997e-9	3.72710276106463834e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	6	23440589	5.15140528615614879e-1	-9.23403102632129560e1	3.80149277137421620e2	3.80086878365564530e2	3.81376390144175161e2	-4.93004754900571898e-6	3.72709301100662449e0	7.62752780288349841e-10	1.28878077653389623e-9	3.72710276109128991e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	6	23440590	5.15140528615614990e-1	-9.23403102632089201e1	3.80149277137419574e2	3.80086878365564587e2	3.81376390144170045e2	-4.93004759500931417e-6	3.72709301085320233e0	7.62752780288339605e-10	1.26024220412213698e-9	3.72710276083380698e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	7	23582843	5.18223249906422767e-1	9.39684165321652500e1	3.77888431007872214e2	3.77820257522915938e2	3.79123142894762793e2	-5.52663324982608282e-6	4.12216298606144171e0	7.58246285789525115e-10	1.21178356457821067e-9	-4.12217470585540013e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	7	23582844	5.18223249906422878e-1	9.39684165321732934e1	3.77888431007870452e2	3.77820257522916108e2	3.79123142894758246e2	-5.52663328841701147e-6	4.12216298592105179e0	7.58246285789516119e-10	1.22341983123315255e-9	-4.12217470573108358e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
