previous_time_s	5.06767655203349987e-1
current_time_s	5.06767655203349987e-1
previous_index	23025821
current_index	23025822
missing_mask	0
xu.raw	5.00000000000000000e0
xu.pwm_hold	8.09856071093406626e-1
pwm	2.42956821328021988e0
pwm_input	2.20000271281279769e0
xdriver.driver_req	1.49999999999999716e1
xdriver.drv_delay	-4.52976376642516690e-7
xu.phase	1.94923853014117299e-6
xu.blank	2.13851870845134924e-27
isense	-4.22615382099779460e-2
xu.ov	4.99999999499999936e-9
xu.fault	0.00000000000000000e0
xu.pcl_hold	0.00000000000000000e0
xu.pcl_request	0.00000000000000000e0
disable	1.04086116764472103e-1
xu.m1	4.99635752245902620e-1
xu.m2	1.37302535355145849e0
