 time            v(out)          i(Lboost)       v(anode)       
 1.00000000e-10  4.00004255e+02  1.99998810e+01  4.00816276e+02 
 1.00000280e-10  4.00004255e+02  1.99998810e+01  4.00816278e+02 
 1.00000840e-10  4.00004255e+02  1.99998810e+01  4.00816281e+02 
 1.00001961e-10  4.00004255e+02  1.99998810e+01  4.00816287e+02 
 1.00004202e-10  4.00004255e+02  1.99998810e+01  4.00816299e+02 
 1.00008684e-10  4.00004256e+02  1.99998810e+01  4.00816319e+02 
 1.00017649e-10  4.00004256e+02  1.99998810e+01  4.00816350e+02 
 1.00030393e-10  4.00004257e+02  1.99998810e+01  4.00816379e+02 
 1.00043410e-10  4.00004257e+02  1.99998810e+01  4.00816396e+02 
 1.00059655e-10  4.00004258e+02  1.99998810e+01  4.00816408e+02 
 1.00077061e-10  4.00004259e+02  1.99998809e+01  4.00816414e+02 
 1.00099612e-10  4.00004260e+02  1.99998809e+01  4.00816418e+02 
 1.00126689e-10  4.00004261e+02  1.99998809e+01  4.00816419e+02 
 1.00165243e-10  4.00004262e+02  1.99998808e+01  4.00816421e+02 
 1.00220150e-10  4.00004265e+02  1.99998808e+01  4.00816423e+02 
 1.00319629e-10  4.00004269e+02  1.99998807e+01  4.00816427e+02 
 1.00518586e-10  4.00004277e+02  1.99998804e+01  4.00816435e+02 
 1.00916500e-10  4.00004294e+02  1.99998799e+01  4.00816452e+02 
 1.01679499e-10  4.00004327e+02  1.99998790e+01  4.00816485e+02 
 1.03205496e-10  4.00004392e+02  1.99998772e+01  4.00816550e+02 
 1.06257491e-10  4.00004522e+02  1.99998736e+01  4.00816680e+02 
 1.12361482e-10  4.00004781e+02  1.99998663e+01  4.00816939e+02 
 1.24569462e-10  4.00005301e+02  1.99998518e+01  4.00817459e+02 
 1.48985423e-10  4.00006340e+02  1.99998228e+01  4.00818498e+02 
 1.97817345e-10  4.00008418e+02  1.99997647e+01  4.00820576e+02 
 2.95481190e-10  4.00012574e+02  1.99996485e+01  4.00824731e+02 
 4.90808879e-10  4.00020885e+02  1.99994161e+01  4.00833042e+02 
 8.81464257e-10  4.00037508e+02  1.99989513e+01  4.00849664e+02 
 1.66277501e-09  4.00070753e+02  1.99980216e+01  4.00882907e+02 
 3.22539652e-09  4.00137238e+02  1.99961617e+01  4.00949387e+02 
 6.35063955e-09  4.00270189e+02  1.99924402e+01  4.01082330e+02 
 1.00000000e-08  4.00425405e+02  1.99880917e+01  4.01237536e+02 
 1.06250486e-08  4.00451986e+02  1.99873466e+01  4.01264116e+02 
 1.18751458e-08  4.00505146e+02  1.99858561e+01  4.01317272e+02 
 1.43753402e-08  4.00611454e+02  1.99828739e+01  4.01423573e+02 
 1.93757291e-08  4.00824022e+02  1.99769053e+01  4.01636127e+02 
 2.93757291e-08  4.01248935e+02  1.99649512e+01  4.02061013e+02 
 3.93757291e-08  4.01673594e+02  1.99529736e+01  4.02485644e+02 
 4.93757291e-08  4.02097997e+02  1.99409724e+01  4.02910020e+02 
 5.93757291e-08  4.02522145e+02  1.99289477e+01  4.03334140e+02 
 6.93757291e-08  4.02946037e+02  1.99168993e+01  4.03758005e+02 
 7.93757291e-08  4.03369672e+02  1.99048275e+01  4.04181612e+02 
 8.93757291e-08  4.03793050e+02  1.98927321e+01  4.04604962e+02 
 9.93757291e-08  4.04216171e+02  1.98806132e+01  4.05028055e+02 
 1.09375729e-07  4.04639033e+02  1.98684708e+01  4.05450890e+02 
 1.19375729e-07  4.05061637e+02  1.98563049e+01  4.05873466e+02 
 1.29375729e-07  4.05483982e+02  1.98441155e+01  4.06295782e+02 
 1.39375729e-07  4.05906067e+02  1.98319027e+01  4.06717839e+02 
 1.49375729e-07  4.06327892e+02  1.98196665e+01  4.07139636e+02 
 1.59375729e-07  4.06749457e+02  1.98074068e+01  4.07561172e+02 
 1.69375729e-07  4.07170760e+02  1.97951237e+01  4.07982447e+02 
 1.79375729e-07  4.07591802e+02  1.97828172e+01  4.08403461e+02 
 1.89375729e-07  4.08012582e+02  1.97704874e+01  4.08824212e+02 
 1.99375729e-07  4.08433099e+02  1.97581341e+01  4.09244701e+02 
