 time            v(out)          i(Lboost)       v(anode)       
 1.93010763e-07  3.99106501e+02  2.29900574e+01  3.99925253e+02 
 1.98010763e-07  3.99351042e+02  2.29836590e+01  4.00169781e+02 
 2.03010763e-07  3.99595515e+02  2.29772538e+01  4.00414240e+02 
 2.08010763e-07  3.99839920e+02  2.29708418e+01  4.00658631e+02 
 2.13010763e-07  4.00084256e+02  2.29644231e+01  4.00902954e+02 
 2.18010763e-07  4.00328525e+02  2.29579975e+01  4.01147209e+02 
 2.23010763e-07  4.00572724e+02  2.29515652e+01  4.01391395e+02 
 2.28010763e-07  4.00816856e+02  2.29451261e+01  4.01635512e+02 
 2.33010763e-07  4.01060918e+02  2.29386802e+01  4.01879561e+02 
 2.38010763e-07  4.01304913e+02  2.29322276e+01  4.02123542e+02 
 2.43010763e-07  4.01548838e+02  2.29257681e+01  4.02367454e+02 
 2.48010763e-07  4.01792695e+02  2.29193019e+01  4.02611297e+02 
 2.53010763e-07  4.02036483e+02  2.29128289e+01  4.02855071e+02 
 2.58010763e-07  4.02280202e+02  2.29063492e+01  4.03098776e+02 
 2.63010763e-07  4.02523852e+02  2.28998626e+01  4.03342412e+02 
 2.68010763e-07  4.02767433e+02  2.28933693e+01  4.03585979e+02 
 2.73010763e-07  4.03010945e+02  2.28868693e+01  4.03829477e+02 
 2.78010763e-07  4.03254387e+02  2.28803625e+01  4.04072906e+02 
 2.83010763e-07  4.03497761e+02  2.28738489e+01  4.04316266e+02 
 2.88010763e-07  4.03741065e+02  2.28673285e+01  4.04559556e+02 
 2.93010763e-07  4.03984300e+02  2.28608015e+01  4.04802777e+02 
 2.98010763e-07  4.04227465e+02  2.28542676e+01  4.05045928e+02 
 3.03010763e-07  4.04470561e+02  2.28477270e+01  4.05289010e+02 
 3.08010763e-07  4.04713587e+02  2.28411796e+01  4.05532022e+02 
 3.13010763e-07  4.04956543e+02  2.28346255e+01  4.05774964e+02 
 3.18010763e-07  4.05199430e+02  2.28280647e+01  4.06017837e+02 
 3.23010763e-07  4.05442247e+02  2.28214971e+01  4.06260640e+02 
 3.28010763e-07  4.05684993e+02  2.28149227e+01  4.06503373e+02 
 3.33010763e-07  4.05927670e+02  2.28083416e+01  4.06746036e+02 
 3.38010763e-07  4.06170277e+02  2.28017538e+01  4.06988628e+02 
 3.43010763e-07  4.06412814e+02  2.27951593e+01  4.07231151e+02 
 3.48010763e-07  4.06655281e+02  2.27885580e+01  4.07473604e+02 
 3.53010763e-07  4.06897677e+02  2.27819499e+01  4.07715986e+02 
 3.58010763e-07  4.07140003e+02  2.27753352e+01  4.07958298e+02 
 3.63010763e-07  4.07382258e+02  2.27687137e+01  4.08200539e+02 
 3.68010763e-07  4.07624443e+02  2.27620854e+01  4.08442710e+02 
 3.73010763e-07  4.07866558e+02  2.27554505e+01  4.08684810e+02 
 3.78010763e-07  4.08108602e+02  2.27488088e+01  4.08926840e+02 
 3.83010763e-07  4.08350575e+02  2.27421604e+01  4.09168799e+02 
 3.88010763e-07  4.08592478e+02  2.27355053e+01  4.09410687e+02 
 3.93010763e-07  4.08834309e+02  2.27288435e+01  4.09652505e+02 
 3.98010763e-07  4.09076070e+02  2.27221749e+01  4.09894251e+02 
 4.03010763e-07  4.09317760e+02  2.27154997e+01  4.10135927e+02 
 4.08010763e-07  4.09559378e+02  2.27088177e+01  4.10377531e+02 
 4.13010763e-07  4.09800926e+02  2.27021290e+01  4.10619064e+02 
 4.18010763e-07  4.10042402e+02  2.26954336e+01  4.10860526e+02 
 4.23010763e-07  4.10283807e+02  2.26887315e+01  4.11101917e+02 
 4.28010763e-07  4.10525141e+02  2.26820227e+01  4.11343237e+02 
 4.33010763e-07  4.10766404e+02  2.26753072e+01  4.11584485e+02 
 4.38010763e-07  4.11007595e+02  2.26685850e+01  4.11825661e+02 
 4.43010763e-07  4.11248714e+02  2.26618561e+01  4.12066766e+02 
