top_ohm,bottom_ohm,total_resistance_deviation,nominal_v,min_v,max_v,divider_only_status
137000,10000,0.00,17.493000,17.199000,18.007500,REJECT
137000,10000,0.01,17.493000,16.881594,18.346540,REJECT
130000,10000,0.01,16.660000,16.078812,17.471717,HEADROOM_ONLY_NOT_QUALIFIED
