fault_V,C_effective_uF,R_ohm,time_to_18V_us,scope
24.6,1,3.275862069,0.960966964,stiff_source_no_load_no_cutoff_no_parasitics
24.6,10,3.275862069,9.609669638,stiff_source_no_load_no_cutoff_no_parasitics
24.6,47,3.275862069,45.165447296,stiff_source_no_load_no_cutoff_no_parasitics
35,1,3.275862069,0.407182175,stiff_source_no_load_no_cutoff_no_parasitics
35,10,3.275862069,4.071821753,stiff_source_no_load_no_cutoff_no_parasitics
35,47,3.275862069,19.137562240,stiff_source_no_load_no_cutoff_no_parasitics
