 time            v(doh)          v(qol)          v(qoh)          v(qrl)          v(qrh)          v(col)          v(coh)         
 2.79600000e-03  9.91226471e+00  9.88746154e+00  9.91276471e+00  9.88746154e+00  9.91276471e+00  9.89246154e+00  9.91776471e+00 
 2.89600000e-03  9.90932353e+00  9.88361538e+00  9.90982353e+00  9.88361538e+00  9.90982353e+00  9.88861538e+00  9.91482353e+00 
 2.99600000e-03  9.90638235e+00  9.87976923e+00  9.90688235e+00  9.87976923e+00  9.90688235e+00  9.88476923e+00  9.91188235e+00 
 3.09600000e-03  9.90344118e+00  9.87592308e+00  9.90394118e+00  9.87592308e+00  9.90394118e+00  9.88092308e+00  9.90894118e+00 
 3.19600000e-03  9.90050000e+00  9.87207692e+00  9.90100000e+00  9.87207692e+00  9.90100000e+00  9.87707692e+00  9.90600000e+00 
 3.29600000e-03  9.89755882e+00  9.86823077e+00  9.89805882e+00  9.86823077e+00  9.89805882e+00  9.87323077e+00  9.90305882e+00 
 3.39600000e-03  9.89461765e+00  9.86438462e+00  9.89511765e+00  9.86438462e+00  9.89511765e+00  9.86938462e+00  9.90011765e+00 
 3.49600000e-03  9.89167647e+00  9.86053846e+00  9.89217647e+00  9.86053846e+00  9.89217647e+00  9.86553846e+00  9.89717647e+00 
 3.59600000e-03  9.88873529e+00  9.85669231e+00  9.88923529e+00  9.85669231e+00  9.88923529e+00  9.86169231e+00  9.89423529e+00 
 3.69600000e-03  9.88579412e+00  9.85284615e+00  9.88629412e+00  9.85284615e+00  9.88629412e+00  9.85784615e+00  9.89129412e+00 
 3.79600000e-03  9.88285294e+00  9.84900000e+00  9.88335294e+00  9.84900000e+00  9.88335294e+00  9.85400000e+00  9.88835294e+00 
 3.89600000e-03  9.87991176e+00  9.84515385e+00  9.88041176e+00  9.84515385e+00  9.88041176e+00  9.85015385e+00  9.88541176e+00 
 3.99600000e-03  9.87697059e+00  9.84130769e+00  9.87747059e+00  9.84130769e+00  9.87747059e+00  9.84630769e+00  9.88247059e+00 
 4.09600000e-03  9.87402941e+00  9.83746154e+00  9.87452941e+00  9.83746154e+00  9.87452941e+00  9.84246154e+00  9.87952941e+00 
 4.19600000e-03  9.87108824e+00  9.83361538e+00  9.87158824e+00  9.83361538e+00  9.87158824e+00  9.83861538e+00  9.87658824e+00 
 4.29600000e-03  9.86814706e+00  9.82976923e+00  9.86864706e+00  9.82976923e+00  9.86864706e+00  9.83476923e+00  9.87364706e+00 
 4.39600000e-03  9.86520588e+00  9.82592308e+00  9.86570588e+00  9.82592308e+00  9.86570588e+00  9.83092308e+00  9.87070588e+00 
 4.49600000e-03  9.86226471e+00  9.82207692e+00  9.86276471e+00  9.82207692e+00  9.86276471e+00  9.82707692e+00  9.86776471e+00 
 4.59600000e-03  9.85932353e+00  9.81823077e+00  9.85982353e+00  9.81823077e+00  9.85982353e+00  9.82323077e+00  9.86482353e+00 
 4.69600000e-03  9.85638235e+00  9.81438462e+00  9.85688235e+00  9.81438462e+00  9.85688235e+00  9.81938462e+00  9.86188235e+00 
 4.79600000e-03  9.85344118e+00  9.81053846e+00  9.85394118e+00  9.81053846e+00  9.85394118e+00  9.81553846e+00  9.85894118e+00 
 4.89600000e-03  9.85050000e+00  9.80669231e+00  9.85100000e+00  9.80669231e+00  9.85100000e+00  9.81169231e+00  9.85600000e+00 
 4.99600000e-03  9.84755882e+00  9.80284615e+00  9.84805882e+00  9.80284615e+00  9.84805882e+00  9.80784615e+00  9.85305882e+00 
 5.09600000e-03  9.84461765e+00  9.79900000e+00  9.84511765e+00  9.79900000e+00  9.84511765e+00  9.80400000e+00  9.85011765e+00 
 5.19600000e-03  9.84167647e+00  9.79515385e+00  9.84217647e+00  9.79515385e+00  9.84217647e+00  9.80015385e+00  9.84717647e+00 
 5.29600000e-03  9.83873529e+00  9.79130769e+00  9.83923529e+00  9.79130769e+00  9.83923529e+00  9.79630769e+00  9.84423529e+00 
 5.39600000e-03  9.83579412e+00  9.78746154e+00  9.83629412e+00  9.78746154e+00  9.83629412e+00  9.79246154e+00  9.84129412e+00 
 5.49600000e-03  9.83285294e+00  9.78361538e+00  9.83335294e+00  9.78361538e+00  9.83335294e+00  9.78861538e+00  9.83835294e+00 
 5.59600000e-03  9.82991176e+00  9.77976923e+00  9.83041176e+00  9.77976923e+00  9.83041176e+00  9.78476923e+00  9.83541176e+00 
 5.69600000e-03  9.82697059e+00  9.77592308e+00  9.82747059e+00  9.77592308e+00  9.82747059e+00  9.78092308e+00  9.83247059e+00 
 5.79600000e-03  9.82402941e+00  9.77207692e+00  9.82452941e+00  9.77207692e+00  9.82452941e+00  9.77707692e+00  9.82952941e+00 
 5.89600000e-03  9.82108824e+00  9.76823077e+00  9.82158824e+00  9.76823077e+00  9.82158824e+00  9.77323077e+00  9.82658824e+00 
 5.99600000e-03  9.81814706e+00  9.76438462e+00  9.81864706e+00  9.76438462e+00  9.81864706e+00  9.76938462e+00  9.82364706e+00 
 6.09600000e-03  9.81520588e+00  9.76053846e+00  9.81570588e+00  9.76053846e+00  9.81570588e+00  9.76553846e+00  9.82070588e+00 
 6.19600000e-03  9.81226471e+00  9.75669231e+00  9.81276471e+00  9.75669231e+00  9.81276471e+00  9.76169231e+00  9.81776471e+00 
 6.29600000e-03  9.80932353e+00  9.75284615e+00  9.80982353e+00  9.75284615e+00  9.80982353e+00  9.75784615e+00  9.81482353e+00 
 6.39600000e-03  9.80638235e+00  9.74900000e+00  9.80688235e+00  9.74900000e+00  9.80688235e+00  9.75400000e+00  9.81188235e+00 
 6.49600000e-03  9.80344118e+00  9.74515385e+00  9.80394118e+00  9.74515385e+00  9.80394118e+00  9.75015385e+00  9.80894118e+00 
 6.59600000e-03  9.80050000e+00  9.74130769e+00  9.80100000e+00  9.74130769e+00  9.80100000e+00  9.74630769e+00  9.80600000e+00 
 6.69600000e-03  9.79755882e+00  9.73746154e+00  9.79805882e+00  9.73746154e+00  9.79805882e+00  9.74246154e+00  9.80305882e+00 
 6.79600000e-03  9.79461765e+00  9.73361538e+00  9.79511765e+00  9.73361538e+00  9.79511765e+00  9.73861538e+00  9.80011765e+00 
 6.89600000e-03  9.79167647e+00  9.72976923e+00  9.79217647e+00  9.72976923e+00  9.79217647e+00  9.73476923e+00  9.79717647e+00 
 6.99600000e-03  9.78873529e+00  9.72592308e+00  9.78923529e+00  9.72592308e+00  9.78923529e+00  9.73092308e+00  9.79423529e+00 
 7.09600000e-03  9.78579412e+00  9.72207692e+00  9.78629412e+00  9.72207692e+00  9.78629412e+00  9.72707692e+00  9.79129412e+00 
 7.19600000e-03  9.78285294e+00  9.71823077e+00  9.78335294e+00  9.71823077e+00  9.78335294e+00  9.72323077e+00  9.78835294e+00 
 7.29600000e-03  9.77991176e+00  9.71438462e+00  9.78041176e+00  9.71438462e+00  9.78041176e+00  9.71938462e+00  9.78541176e+00 
 7.39600000e-03  9.77697059e+00  9.71053846e+00  9.77747059e+00  9.71053846e+00  9.77747059e+00  9.71553846e+00  9.78247059e+00 
 7.49600000e-03  9.77402941e+00  9.70669231e+00  9.77452941e+00  9.70669231e+00  9.77452941e+00  9.71169231e+00  9.77952941e+00 
 7.59600000e-03  9.77108824e+00  9.70284615e+00  9.77158824e+00  9.70284615e+00  9.77158824e+00  9.70784615e+00  9.77658824e+00 
 7.69600000e-03  9.76814706e+00  9.69900000e+00  9.76864706e+00  9.69900000e+00  9.76864706e+00  9.70400000e+00  9.77364706e+00 
 7.79600000e-03  9.76520588e+00  9.69515385e+00  9.76570588e+00  9.69515385e+00  9.76570588e+00  9.70015385e+00  9.77070588e+00 
 7.89600000e-03  9.76226471e+00  9.69130769e+00  9.76276471e+00  9.69130769e+00  9.76276471e+00  9.69630769e+00  9.76776471e+00 
 7.99600000e-03  9.75932353e+00  9.68746154e+00  9.75982353e+00  9.68746154e+00  9.75982353e+00  9.69246154e+00  9.76482353e+00 
 8.09600000e-03  9.75638235e+00  9.68361538e+00  9.75688235e+00  9.68361538e+00  9.75688235e+00  9.68861538e+00  9.76188235e+00 
 8.19600000e-03  9.75344118e+00  9.67976923e+00  9.75394118e+00  9.67976923e+00  9.75394118e+00  9.68476923e+00  9.75894118e+00 
 8.29600000e-03  9.75050000e+00  9.67592308e+00  9.75100000e+00  9.67592308e+00  9.75100000e+00  9.68092308e+00  9.75600000e+00 
 8.39600000e-03  9.74755882e+00  9.67207692e+00  9.74805882e+00  9.67207692e+00  9.74805882e+00  9.67707692e+00  9.75305882e+00 
 8.49600000e-03  9.74461765e+00  9.66823077e+00  9.74511765e+00  9.66823077e+00  9.74511765e+00  9.67323077e+00  9.75011765e+00 
 8.59600000e-03  9.74167647e+00  9.66438462e+00  9.74217647e+00  9.66438462e+00  9.74217647e+00  9.66938462e+00  9.74717647e+00 
 8.69600000e-03  9.73873529e+00  9.66053846e+00  9.73923529e+00  9.66053846e+00  9.73923529e+00  9.66553846e+00  9.74423529e+00 
 8.79600000e-03  9.73579412e+00  9.65669231e+00  9.73629412e+00  9.65669231e+00  9.73629412e+00  9.66169231e+00  9.74129412e+00 
 8.89600000e-03  9.73285294e+00  9.65284615e+00  9.73335294e+00  9.65284615e+00  9.73335294e+00  9.65784615e+00  9.73835294e+00 
 8.99600000e-03  9.72991176e+00  9.64900000e+00  9.73041176e+00  9.64900000e+00  9.73041176e+00  9.65400000e+00  9.73541176e+00 
 9.09600000e-03  9.72697059e+00  9.64515385e+00  9.72747059e+00  9.64515385e+00  9.72747059e+00  9.65015385e+00  9.73247059e+00 
 9.19600000e-03  9.72402941e+00  9.64130769e+00  9.72452941e+00  9.64130769e+00  9.72452941e+00  9.64630769e+00  9.72952941e+00 
 9.29600000e-03  9.72108824e+00  9.63746154e+00  9.72158824e+00  9.63746154e+00  9.72158824e+00  9.64246154e+00  9.72658824e+00 
 9.39600000e-03  9.71814706e+00  9.63361538e+00  9.71864706e+00  9.63361538e+00  9.71864706e+00  9.63861538e+00  9.72364706e+00 
 9.49600000e-03  9.71520588e+00  9.62976923e+00  9.71570588e+00  9.62976923e+00  9.71570588e+00  9.63476923e+00  9.72070588e+00 
 9.59600000e-03  9.71226471e+00  9.62592308e+00  9.71276471e+00  9.62592308e+00  9.71276471e+00  9.63092308e+00  9.71776471e+00 
 9.69600000e-03  9.70932353e+00  9.62207692e+00  9.70982353e+00  9.62207692e+00  9.70982353e+00  9.62707692e+00  9.71482353e+00 
 9.79600000e-03  9.70638235e+00  9.61823077e+00  9.70688235e+00  9.61823077e+00  9.70688235e+00  9.62323077e+00  9.71188235e+00 
 9.89600000e-03  9.70344118e+00  9.61438462e+00  9.70394118e+00  9.61438462e+00  9.70394118e+00  9.61938462e+00  9.70894118e+00 
 9.99600000e-03  9.70050000e+00  9.61053846e+00  9.70100000e+00  9.61053846e+00  9.70100000e+00  9.61553846e+00  9.70600000e+00 
 1.00960000e-02  9.69755882e+00  9.60669231e+00  9.69805882e+00  9.60669231e+00  9.69805882e+00  9.61169231e+00  9.70305882e+00 
 1.01960000e-02  9.69461765e+00  9.60284615e+00  9.69511765e+00  9.60284615e+00  9.69511765e+00  9.60784615e+00  9.70011765e+00 
 1.02960000e-02  9.69167647e+00  9.59900000e+00  9.69217647e+00  9.59900000e+00  9.69217647e+00  9.60400000e+00  9.69717647e+00 
 1.03960000e-02  9.68873529e+00  9.59515385e+00  9.68923529e+00  9.59515385e+00  9.68923529e+00  9.60015385e+00  9.69423529e+00 
 1.04960000e-02  9.68579412e+00  9.59130769e+00  9.68629412e+00  9.59130769e+00  9.68629412e+00  9.59630769e+00  9.69129412e+00 
 1.05960000e-02  9.68285294e+00  9.58746154e+00  9.68335294e+00  9.58746154e+00  9.68335294e+00  9.59246154e+00  9.68835294e+00 
 1.06960000e-02  9.67991176e+00  9.58361538e+00  9.68041176e+00  9.58361538e+00  9.68041176e+00  9.58861538e+00  9.68541176e+00 
 1.07960000e-02  9.67697059e+00  9.57976923e+00  9.67747059e+00  9.57976923e+00  9.67747059e+00  9.58476923e+00  9.68247059e+00 
 1.08960000e-02  9.67402941e+00  9.57592308e+00  9.67452941e+00  9.57592308e+00  9.67452941e+00  9.58092308e+00  9.67952941e+00 
 1.09960000e-02  9.67108824e+00  9.57207692e+00  9.67158824e+00  9.57207692e+00  9.67158824e+00  9.57707692e+00  9.67658824e+00 
 1.10960000e-02  9.66814706e+00  9.56823077e+00  9.66864706e+00  9.56823077e+00  9.66864706e+00  9.57323077e+00  9.67364706e+00 
 1.11960000e-02  9.66520588e+00  9.56438462e+00  9.66570588e+00  9.56438462e+00  9.66570588e+00  9.56938462e+00  9.67070588e+00 
 1.12960000e-02  9.66226471e+00  9.56053846e+00  9.66276471e+00  9.56053846e+00  9.66276471e+00  9.56553846e+00  9.66776471e+00 
 1.13960000e-02  9.65932353e+00  9.55669231e+00  9.65982353e+00  9.55669231e+00  9.65982353e+00  9.56169231e+00  9.66482353e+00 
 1.14960000e-02  9.65638235e+00  9.55284615e+00  9.65688235e+00  9.55284615e+00  9.65688235e+00  9.55784615e+00  9.66188235e+00 
 1.15960000e-02  9.65344118e+00  9.54900000e+00  9.65394118e+00  9.54900000e+00  9.65394118e+00  9.55400000e+00  9.65894118e+00 
 1.16960000e-02  9.65050000e+00  9.54515385e+00  9.65100000e+00  9.54515385e+00  9.65100000e+00  9.55015385e+00  9.65600000e+00 
 1.17960000e-02  9.64755882e+00  9.54130769e+00  9.64805882e+00  9.54130769e+00  9.64805882e+00  9.54630769e+00  9.65305882e+00 
 1.18960000e-02  9.64461765e+00  9.53746154e+00  9.64511765e+00  9.53746154e+00  9.64511765e+00  9.54246154e+00  9.65011765e+00 
 1.19960000e-02  9.64167647e+00  9.53361538e+00  9.64217647e+00  9.53361538e+00  9.64217647e+00  9.53861538e+00  9.64717647e+00 
 1.20960000e-02  9.63873529e+00  9.52976923e+00  9.63923529e+00  9.52976923e+00  9.63923529e+00  9.53476923e+00  9.64423529e+00 
 1.21960000e-02  9.63579412e+00  9.52592308e+00  9.63629412e+00  9.52592308e+00  9.63629412e+00  9.53092308e+00  9.64129412e+00 
 1.22960000e-02  9.63285294e+00  9.52207692e+00  9.63335294e+00  9.52207692e+00  9.63335294e+00  9.52707692e+00  9.63835294e+00 
 1.23960000e-02  9.62991176e+00  9.51823077e+00  9.63041176e+00  9.51823077e+00  9.63041176e+00  9.52323077e+00  9.63541176e+00 
 1.24960000e-02  9.62697059e+00  9.51438462e+00  9.62747059e+00  9.51438462e+00  9.62747059e+00  9.51938462e+00  9.63247059e+00 
 1.25960000e-02  9.62402941e+00  9.51053846e+00  9.62452941e+00  9.51053846e+00  9.62452941e+00  9.51553846e+00  9.62952941e+00 
 1.26960000e-02  9.62108824e+00  9.50669231e+00  9.62158824e+00  9.50669231e+00  9.62158824e+00  9.51169231e+00  9.62658824e+00 
 1.27960000e-02  9.61814706e+00  9.50284615e+00  9.61864706e+00  9.50284615e+00  9.61864706e+00  9.50784615e+00  9.62364706e+00 
 1.28960000e-02  9.61520588e+00  9.49900000e+00  9.61570588e+00  9.49900000e+00  9.61570588e+00  9.50400000e+00  9.62070588e+00 
 1.29960000e-02  9.61226471e+00  9.49515385e+00  9.61276471e+00  9.49515385e+00  9.61276471e+00  9.50015385e+00  9.61776471e+00 
 1.30960000e-02  9.60932353e+00  9.49130769e+00  9.60982353e+00  9.49130769e+00  9.60982353e+00  9.49630769e+00  9.61482353e+00 
 1.31960000e-02  9.60638235e+00  9.48746154e+00  9.60688235e+00  9.48746154e+00  9.60688235e+00  9.49246154e+00  9.61188235e+00 
 1.32960000e-02  9.60344118e+00  9.48361538e+00  9.60394118e+00  9.48361538e+00  9.60394118e+00  9.48861538e+00  9.60894118e+00 
 1.33960000e-02  9.60050000e+00  9.47976923e+00  9.60100000e+00  9.47976923e+00  9.60100000e+00  9.48476923e+00  9.60600000e+00 
 1.34960000e-02  9.59755882e+00  9.47592308e+00  9.59805882e+00  9.47592308e+00  9.59805882e+00  9.48092308e+00  9.60305882e+00 
 1.35960000e-02  9.59461765e+00  9.47207692e+00  9.59511765e+00  9.47207692e+00  9.59511765e+00  9.47707692e+00  9.60011765e+00 
 1.36960000e-02  9.59167647e+00  9.46823077e+00  9.59217647e+00  9.46823077e+00  9.59217647e+00  9.47323077e+00  9.59717647e+00 
 1.37960000e-02  9.58873529e+00  9.46438462e+00  9.58923529e+00  9.46438462e+00  9.58923529e+00  9.46938462e+00  9.59423529e+00 
 1.38960000e-02  9.58579412e+00  9.46053846e+00  9.58629412e+00  9.46053846e+00  9.58629412e+00  9.46553846e+00  9.59129412e+00 
 1.39960000e-02  9.58285294e+00  9.45669231e+00  9.58335294e+00  9.45669231e+00  9.58335294e+00  9.46169231e+00  9.58835294e+00 
 1.40960000e-02  9.57991176e+00  9.45284615e+00  9.58041176e+00  9.45284615e+00  9.58041176e+00  9.45784615e+00  9.58541176e+00 
 1.41960000e-02  9.57697059e+00  9.44900000e+00  9.57747059e+00  9.44900000e+00  9.57747059e+00  9.45400000e+00  9.58247059e+00 
 1.42960000e-02  9.57402941e+00  9.44515385e+00  9.57452941e+00  9.44515385e+00  9.57452941e+00  9.45015385e+00  9.57952941e+00 
 1.43960000e-02  9.57108824e+00  9.44130769e+00  9.57158824e+00  9.44130769e+00  9.57158824e+00  9.44630769e+00  9.57658824e+00 
 1.44960000e-02  9.56814706e+00  9.43746154e+00  9.56864706e+00  9.43746154e+00  9.56864706e+00  9.44246154e+00  9.57364706e+00 
