previous_time_s	5.01547157707616820e-1
current_time_s	5.01547157707616820e-1
previous_index	22757001
current_index	22757002
missing_mask	0
xu.raw	5.00000000000000000e0
xu.pwm_hold	8.09854405758869689e-1
pwm	2.42956321727660907e0
pwm_input	2.19999818887252019e0
xdriver.driver_req	1.49999999999999716e1
xdriver.drv_delay	4.86720338601987284e-7
xu.phase	1.92778205121424406e-6
xu.blank	-1.45381955893705984e-26
isense	-4.46094704543434847e-2
xu.ov	4.99999999499999936e-9
xu.fault	0.00000000000000000e0
xu.pcl_hold	0.00000000000000000e0
xu.pcl_request	0.00000000000000000e0
disable	1.04086116764474948e-1
xu.m1	4.99695916591244238e-1
xu.m2	1.37324738430521065e0
