previous_time_s	2.59732290783026565e-1
current_time_s	2.59732290783026565e-1
previous_index	11175357
current_index	11175358
missing_mask	0
xu.raw	5.00000000000000000e0
xu.pwm_hold	8.09855515981894314e-1
pwm	2.42956654794568294e0
pwm_input	2.20000120483270489e0
xdriver.driver_req	1.50000000000000000e1
xdriver.drv_delay	-3.72679231613615908e-7
xu.phase	1.98956001001837635e-6
xu.blank	1.99016483923451928e-23
isense	-7.79584593177173324e-2
xu.ov	4.99999999499999936e-9
xu.fault	0.00000000000000000e0
xu.pcl_hold	0.00000000000000000e0
xu.pcl_request	0.00000000000000000e0
disable	1.04086116764483136e-1
xu.m1	5.96417677263739621e-1
xu.m2	1.75340071431994926e0
