previous_time_s	5.06775384255277794e-1
current_time_s	5.06775384255277794e-1
previous_index	23027057
current_index	23027058
missing_mask	0
xu.raw	5.00000000000000000e0
xu.pwm_hold	8.09853850647357376e-1
pwm	2.42956155194207213e0
pwm_input	2.19999668089242784e0
xdriver.driver_req	1.49999999999999716e1
xdriver.drv_delay	1.88389564979457696e-7
xu.phase	1.93277704652050630e-6
xu.blank	-8.18952383507439280e-27
isense	-4.21607536517319553e-2
xu.ov	4.99999999499999936e-9
xu.fault	0.00000000000000000e0
xu.pcl_hold	0.00000000000000000e0
xu.pcl_request	0.00000000000000000e0
disable	1.04086116764484232e-1
xu.m1	4.99518866263370498e-1
xu.m2	1.37259404834233778e0
