previous_time_s	5.01554898821178763e-1
current_time_s	5.01554898821178763e-1
previous_index	22760502
current_index	22760503
missing_mask	0
xu.raw	5.00000000000000000e0
xu.pwm_hold	8.09854960870382001e-1
pwm	2.42956488261114600e0
pwm_input	2.19999969685261254e0
xdriver.driver_req	1.49999999999999716e1
xdriver.drv_delay	6.37334071276672143e-7
xu.phase	1.92338220184051778e-6
xu.blank	-1.42470642748891632e-26
isense	-4.45262173911096515e-2
xu.ov	4.99999999499999936e-9
xu.fault	0.00000000000000000e0
xu.pcl_hold	0.00000000000000000e0
xu.pcl_request	0.00000000000000000e0
disable	1.04086116764476988e-1
xu.m1	4.99772483000835266e-1
xu.m2	1.37352997126448084e0
