runner_wall_s	case	tracked_wall_s	sim_s	percent	sim_per_wall	callbacks
5.007	LL09	wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid	duplicate_count	backwards_count
636.253	LL09	633.036991	2.52836993480252903e-1	38.897999	3.303731095890e-4	10543430	false	0	0
646.269	LL09	643.046794	2.56043580374319901e-1	39.391320	3.203446541967e-4	10707439	false	0	0
656.283	LL09	653.100161	2.59398103534608515e-1	39.907401	3.336715872453e-4	10865915	false	0	0
666.300	LL09	663.110243	2.62608045402687951e-1	40.401238	3.206708877337e-4	11029314	false	0	0
676.315	LL09	673.115607	2.65803045020293338e-1	40.892776	3.193286818388e-4	11191985	false	0	0
686.330	LL09	683.197461	2.69175696880069371e-1	41.411646	3.345269504821e-4	11351303	false	0	0
696.345	LL09	693.225152	2.72343064716383365e-1	41.898933	3.158621363595e-4	11513703	false	0	0
706.360	LL09	703.268443	2.75562132842803509e-1	42.394174	3.205192434581e-4	11667072	false	0	0
716.375	LL09	713.297096	2.78710542532805861e-1	42.878545	3.139414208742e-4	11824442	false	0	0
726.390	LL09	723.328440	2.81781777205148465e-1	43.351043	3.061638311490e-4	11981510	false	0	0
736.404	LL09	733.330037	2.85027854006778991e-1	43.850439	3.245558499245e-4	12133114	false	0	0
746.419	LL09	743.348794	2.88106168933780216e-1	44.324026	3.072551780034e-4	12291136	false	0	0
756.434	LL09	753.447088	2.91215996286586953e-1	44.802461	3.079557306199e-4	12446873	false	0	0
766.449	LL09	763.548638	2.94433563588052782e-1	45.297471	3.185221326025e-4	12600831	false	0	0
776.464	LL09	773.589914	2.97516473229648470e-1	45.771765	3.070236931637e-4	12758918	false	0	0
786.478	LL09	783.639762	3.00750542460723802e-1	46.269314	3.218027818075e-4	12911565	false	0	0
796.495	LL09	793.741883	3.03842388157279208e-1	46.744983	3.060590638892e-4	13067887	false	0	0
806.510	LL09	803.838648	3.06910373346278076e-1	47.216981	3.038582597908e-4	13225338	false	0	0
816.524	LL09	813.847164	3.10156262424653217e-1	47.716348	3.243127231225e-4	13376499	false	0	0
826.535	LL09	823.870235	3.13216892308692429e-1	48.187214	3.053584907305e-4	13533138	false	0	0
836.549	LL09	833.935877	3.16326934251083269e-1	48.665682	3.089759921559e-4	13687523	false	0	0
846.563	LL09	843.980252	3.19513808385719800e-1	49.155971	3.172795146801e-4	13840609	false	0	0
856.582	LL09	854.073703	3.22592890262912102e-1	49.629675	3.050573719427e-4	13998482	false	0	0
866.607	LL09	864.148747	3.25847476020363791e-1	50.130381	3.230344164599e-4	14152242	false	0	0
876.631	LL09	874.153688	3.28905691418844126e-1	50.600876	3.056705105858e-4	14307285	false	0	0
886.655	LL09	884.257763	3.31974842514819068e-1	51.073053	3.037537907446e-4	14464609	false	0	0
896.675	LL09	894.294743	3.35189618822943958e-1	51.567634	3.202931653555e-4	14614167	false	0	0
906.689	LL09	904.348813	3.38192562329902524e-1	52.029625	2.986794048334e-4	14768520	false	0	0
916.702	LL09	914.400167	3.41298301958011530e-1	52.507431	3.089871963895e-4	14922792	false	0	0
926.716	LL09	924.443702	3.44489581692749069e-1	52.998397	3.177446747015e-4	15075998	false	0	0
936.729	LL09	934.479883	3.47541212807565059e-1	53.467879	3.040629812093e-4	15232632	false	0	0
946.742	LL09	944.503363	3.50763340346689156e-1	53.963591	3.214579558771e-4	15384797	false	0	0
956.757	LL09	954.606252	3.53849850585185144e-1	54.438439	3.055076997009e-4	15540577	false	0	0
966.773	LL09	964.692228	3.56921005709552874e-1	54.910924	3.044975427741e-4	15697849	false	0	0
976.787	LL09	974.759670	3.60182458326585686e-1	55.412686	3.239604038978e-4	15849915	false	0	0
986.802	LL09	984.791295	3.63241362752384500e-1	55.883287	3.049261302201e-4	16006664	false	0	0
996.816	LL09	994.821750	3.66363261876479995e-1	56.363579	3.112420338836e-4	16161407	false	0	0
1006.831	LL09	1004.888832	3.69565276762151285e-1	56.856196	3.180678035762e-4	16315444	false	0	0
1016.846	LL09	1014.888935	3.72636727718326732e-1	57.328727	3.071419474126e-4	16472780	false	0	0
1026.863	LL09	1024.920299	3.75882046379718060e-1	57.828007	3.235171747404e-4	16625325	false	0	0
1036.879	LL09	1034.977740	3.78959018392607372e-1	58.301387	3.059398711960e-4	16781348	false	0	0
1046.895	LL09	1044.989925	3.82010708571846380e-1	58.770878	3.047976093573e-4	16937690	false	0	0
1056.909	LL09	1055.055686	3.85285075826684698e-1	59.274627	3.252975269184e-4	17089796	false	0	0
1066.927	LL09	1065.158571	3.88375535694983787e-1	59.750082	3.058987526221e-4	17248218	false	0	0
1076.943	LL09	1075.202284	3.91504727449767609e-1	60.231497	3.115572690825e-4	17402602	false	0	0
1086.959	LL09	1085.250630	3.94699371568727753e-1	60.722980	3.179273668611e-4	17556634	false	0	0
1096.975	LL09	1095.302405	3.97778588968386582e-1	61.196706	3.063356920362e-4	17714365	false	0	0
1106.990	LL09	1105.337187	4.01031961317967978e-1	61.697225	3.242095624819e-4	17866516	false	0	0
1117.008	LL09	1115.433295	4.04137787205172183e-1	62.175044	3.076260549700e-4	18024260	false	0	0
1127.024	LL09	1125.490436	4.07198868054909957e-1	62.645980	3.043688805873e-4	18180738	false	0	0
1137.040	LL09	1135.590033	4.10484103093745556e-1	63.151400	3.252837723958e-4	18334066	false	0	0
1147.056	LL09	1145.647503	4.13571904090760667e-1	63.626447	3.070156767694e-4	18492078	false	0	0
1157.073	LL09	1155.675697	4.16701555976179971e-1	64.107932	3.120853056237e-4	18645272	false	0	0
1167.089	LL09	1165.754328	4.19884956382165941e-1	64.597686	3.158564312209e-4	18800023	false	0	0
1177.104	LL09	1175.757696	4.22946536599241307e-1	65.068698	3.060549500517e-4	18957244	false	0	0
1187.118	LL09	1185.840656	4.26220114489356872e-1	65.572325	3.246643693452e-4	19109738	false	0	0
1197.134	LL09	1195.940957	4.29298798653340308e-1	66.045969	3.048111202311e-4	19266876	false	0	0
1207.149	LL09	1205.942962	4.32340517419187553e-1	66.513926	3.041109073960e-4	19421929	false	0	0
1217.165	LL09	1215.963516	4.35587512272980648e-1	67.013463	3.240334804757e-4	19573692	false	0	0
1227.182	LL09	1226.071518	4.38675233098634654e-1	67.488497	3.054728888256e-4	19732217	false	0	0
1237.200	LL09	1236.117394	4.41850560260071024e-1	67.977009	3.160826671529e-4	19885817	false	0	0
1247.225	LL09	1246.181406	4.45006588314185325e-1	68.462552	3.135954106290e-4	20040778	false	0	0
1257.251	LL09	1256.194019	4.48070348637774007e-1	68.933900	3.059900972387e-4	20198081	false	0	0
1267.277	LL09	1266.268578	4.51356162997891330e-1	69.439410	3.261496951300e-4	20351011	false	0	0
1277.303	LL09	1276.315555	4.54429545134234003e-1	69.912238	3.059011689872e-4	20508639	false	0	0
1287.328	LL09	1286.404109	4.57559803649712771e-1	70.393816	3.102782343361e-4	20666738	false	0	0
1297.353	LL09	1296.452474	4.60845570909460489e-1	70.899319	3.269951919510e-4	20821148	false	0	0
1307.377	LL09	1306.462592	4.63933037500018630e-1	71.374313	3.084345952033e-4	20979391	false	0	0
1317.402	LL09	1316.511104	4.67170643988441603e-1	71.872407	3.221976225200e-4	21134096	false	0	0
1327.428	LL09	1326.526396	4.70307784962530617e-1	72.355044	3.132350800629e-4	21290317	false	0	0
1337.453	LL09	1336.580901	4.73408014298778990e-1	72.832002	3.083423291768e-4	21449013	false	0	0
1347.473	LL09	1346.615998	4.76697864418271999e-1	73.338133	3.278344088037e-4	21602037	false	0	0
1357.499	LL09	1356.641871	4.79737488666619916e-1	73.805767	3.031779972436e-4	21758088	false	0	0
1367.524	LL09	1366.686893	4.82872699551038231e-1	74.288108	3.121158984402e-4	21914442	false	0	0
1377.549	LL09	1376.742624	4.86003166069026660e-1	74.769718	3.113116587526e-4	22063398	false	0	0
1387.571	LL09	1386.757630	4.88970120952179843e-1	75.226172	2.962509526515e-4	22215456	false	0	0
1397.585	LL09	1396.846069	4.92087960254950052e-1	75.705840	3.090507204734e-4	22364680	false	0	0
1407.600	LL09	1406.860363	4.95162929076036928e-1	76.178912	3.070579529899e-4	22516936	false	0	0
