case,vin_v,v0_v,i0_a,l_uH,c_nF,vfinal_v,tzero_us,q_uC,ecap_mJ
470nF,169.705627485,389.615,23.231838,180.000,470.000,674.741202,10.304102,134.009134,71.316752
1uF,169.705627485,389.615,23.231838,180.000,1000.000,551.162830,12.830897,161.547445,75.990159
1p5uF,169.705627485,389.615,23.231838,180.000,1500.000,506.048457,14.101107,174.649608,78.213669
470nF_L216uH_C90,169.705627485,389.615,23.231838,216.000,423.000,738.881471,11.222908,147.739555,83.361812
1uF_L216uH_C90,169.705627485,389.615,23.231838,216.000,900.000,591.478903,14.253850,181.677167,89.121215
1p5uF_L216uH_C90,169.705627485,389.615,23.231838,216.000,1350.000,536.741363,15.852890,198.620071,91.996521
